Year,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
2019,Kieron Achara,FC,6-8,240,Caledonia Gladiators,Stirling,"2008 NBA Draft, Undrafted",ScotlandEngland
2019,Jawad Adekoya,GF,6-6,190,Plymouth University Raiders,Tinley Park (IL),"2016 NBA Draft, Undrafted",United States
2019,Mo Adepoju,F,6-5,-,Worcester Wolves,N/A,"2019 NBA Draft, Undrafted",Nigeria
2019,Chris Alexander,PG,6-1,185,Sheffield Sharks,Lawton (OK),"2006 NBA Draft, Undrafted",United States
2019,Dii'Jon Allen-Jordan,F,6-5,190,Cheshire Phoenix,Plainfield (NJ),"2016 NBA Draft, Undrafted",United States
2019,Oscar Amancic,PG,6-1,-,Worcester Wolves,N/A,"2018 NBA Draft, Undrafted",Croatia
2019,Jamell Anderson,F,6-7,214,Leicester Riders,Nottingham,"2012 NBA Draft, Undrafted",England
2019,Nathan Ashley,G,6-0,204,London City Royals,London,"2012 NBA Draft, Undrafted",England
2019,Willie Atwood,F,6-7,215,Surrey Scorchers,Memphis (TN),"2016 NBA Draft, Undrafted",United States
2019,Marko Backovic,PF,6-5,197,Sheffield Sharks,Sheffield,"2019 NBA Draft, Undrafted",England
2019,Aaron Badibo,G,6-3,190,London Lions,London,2024 NBA Draft Eligible,England
2019,Ingus Bankevics,GF,6-5,210,Manchester Giants,Auce,"2007 NBA Draft, Undrafted",Latvia
2019,Demario Beck,PF,6-8,220,Surrey Scorchers,Cochran (GA),"2018 NBA Draft, Undrafted",United States
2019,Drago Brcina,SF,6-7,205,Sheffield Sharks,Slovenj Gradec,"2009 NBA Draft, Undrafted",Slovenia
2019,Kervin Bristol,FC,6-10,225,London Lions,Port-au-Prince,"2012 NBA Draft, Undrafted",HaitiUnited States
2019,Matthew Bryan-Amaning,F,6-8,240,London City Royals,London,"2011 NBA Draft, Undrafted",England
2019,Jonny Bunyan,PG,6-0,180,Caledonia Gladiators,Falkirk,"2014 NBA Draft, Undrafted",Scotland
2019,Deandre Burnett,G,6-2,192,Leicester Riders,Miami Gardens (FL),"2019 NBA Draft, Undrafted",United States
2019,Torry Butler,SG,6-6,216,Manchester Giants,Monticello (AR),"2017 NBA Draft, Undrafted",United States
