Year,Position,#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2019,G,1,Joe Ragland,ZVE,22,28.375,28.25,10.75,21.875,0.61875,2.625,8.375,0.3925,4.0,4.625,1.0574999999999999,1.125,4.5,5.625,15.125,2.875,0.125,6.625,5.75
2019,G,2,Marcus Paige,PAR,25,31.25,28.0,9.75,24.125,0.5062500000000001,4.75,13.125,0.45625,3.625,4.75,0.95,1.5,4.875,6.375,9.75,3.25,0.5,3.875,6.25
2019,G,3,Brandis Raley-Ross,CIB,11,26.125,27.375,9.875,22.875,0.54,1.875,6.5,0.35000000000000003,5.75,6.75,1.0574999999999999,2.375,3.625,6.0,5.5,2.375,0.0,3.625,7.0
2019,G,4,Nikola Rebic,MOR,21,30.125,26.625,8.5,18.625,0.57375,2.5,7.25,0.42999999999999994,7.125,9.0,0.9862500000000001,0.625,4.625,5.25,9.375,2.375,0.25,3.875,4.75
2019,G,5,Jan Span,OLI,21,31.625,26.625,8.875,22.0,0.5062500000000001,4.75,13.75,0.42999999999999994,4.0,4.875,1.0174999999999998,1.25,5.375,6.5,9.0,2.375,0.125,5.875,5.625
2019,G,6,Matic Rebec,FMP,19,34.25,26.0,8.875,22.75,0.48875,4.25,13.875,0.385,3.875,5.875,0.83375,0.75,5.75,6.625,12.75,1.25,0.25,6.5,6.625
2019,G,7,Adam Mokoka,MEG,18,34.5,24.25,8.0,20.875,0.47750000000000004,2.75,8.625,0.39875,5.5,8.375,0.83375,2.75,5.25,8.125,6.75,2.625,0.375,6.375,8.375
2019,G,8,Nikola Ivanovic,BUD,8,22.25,23.625,5.125,15.25,0.41625,3.0,7.625,0.48625,10.5,11.875,1.11625,1.25,2.125,3.375,8.875,3.375,0.0,2.5,3.75
2019,G,9,Lovre Basic,ZAD,20,20.5,23.375,8.375,18.25,0.5750000000000001,4.25,10.75,0.48750000000000004,2.375,3.5,0.8550000000000001,0.125,4.25,4.375,15.125,2.25,0.0,6.25,7.625
2019,G,10,Ognjen Carapic,MEG,20,25.75,23.125,6.125,17.625,0.43374999999999997,1.5,7.25,0.25,9.5,12.75,0.92375,2.625,4.75,7.375,9.125,2.875,0.0,5.125,7.0
2019,G,11,Paolo Marinelli,KRK,20,27.0,22.5,7.75,21.0,0.46375,2.875,10.25,0.355,4.0,5.0,1.0075,1.25,3.875,5.125,8.625,1.5,0.375,4.5,7.375
2019,G,12,Domen Bratoz,KRK,20,24.875,21.125,6.625,21.625,0.385,2.375,11.5,0.26375,5.5,6.625,1.0225,2.75,6.0,8.75,8.125,4.5,0.125,6.625,7.5
2019,G,13,Filip Adamovic,IGO,21,30.25,19.375,6.25,16.75,0.46625,3.125,8.75,0.43875,3.75,4.625,1.0262499999999999,1.5,5.375,6.875,12.25,3.0,0.125,5.375,7.5
2019,G,14,Aleksej Nikolic,PAR,21,25.0,19.125,5.25,15.875,0.41625,3.125,10.75,0.36624999999999996,5.375,6.25,1.08,0.75,4.625,5.25,7.0,3.0,0.0,3.875,8.75
2019,G,15,Filip Covic,ZVE,26,21.875,19.125,5.625,15.0,0.47125,2.5,7.75,0.4025,5.25,6.875,0.96125,0.375,4.125,4.5,16.375,1.375,0.0,3.25,9.5
2019,G,16,Aaron Craft,BUD,4,23.0,18.75,5.75,9.75,0.72875,0.875,3.25,0.3125,6.5,6.5,1.25,4.125,5.75,9.75,9.0,6.5,0.0,1.625,11.375
2019,G,17,Karlo Uljarevic,CIB,12,18.125,16.5,4.875,16.125,0.3725,2.375,10.375,0.29125,4.5,6.25,0.9025,0.75,2.125,2.75,9.25,2.75,0.0,7.625,7.875
2019,G,1,Tay Waller,MOR,21,28.25,31.5,11.25,25.625,0.55125,6.125,15.125,0.50375,2.875,3.875,0.9275,1.25,5.625,6.875,4.375,3.0,0.125,2.875,7.625
2019,G,2,Billy Baron,ZVE,29,27.5,31.5,10.5,21.625,0.60875,5.75,13.75,0.5225,4.75,5.5,1.0587499999999999,0.5,5.75,6.25,7.375,2.625,0.0,3.75,4.375
2019,G,3,Nemanja Vranjes,MOR,20,34.875,31.125,8.375,21.5,0.48750000000000004,4.125,11.875,0.42750000000000005,10.25,12.875,0.99,2.625,7.5,10.125,4.5,2.375,0.25,4.375,5.5
2019,G,4,Blaz Mesicek,OLI,9,25.625,30.0,6.875,19.5,0.4375,2.625,7.875,0.41625,13.625,17.0,1.01,1.25,5.5,6.875,5.25,1.0,0.0,7.125,4.875
2019,G,5,Marko Ljubicic,CIB,22,33.625,27.75,8.625,22.25,0.485,2.875,10.25,0.34625000000000006,7.75,11.625,0.82625,1.0,8.5,9.5,9.5,4.5,0.0,4.625,7.25
2019,G,6,Miha Lapornik,OLI,18,33.75,27.75,8.25,18.625,0.555,4.375,10.25,0.5275,6.75,8.625,0.9825,0.875,5.625,6.375,3.625,1.125,0.0,3.5,4.75
2019,G,7,Vanja Marinkovic,PAR,23,35.125,26.0,8.125,20.25,0.5025000000000001,3.5,10.75,0.41000000000000003,6.125,8.125,0.9375,0.375,4.625,5.0,3.75,1.25,0.125,3.0,5.5
2019,G,8,Edwin Jackson,BUD,29,31.25,25.5,8.25,19.375,0.5287499999999999,3.875,10.5,0.4525,5.25,6.25,1.0525,1.75,4.75,6.5,5.375,1.875,0.25,3.125,5.75
2019,G,9,Luka Bozic,ZAD,22,41.875,24.875,8.75,15.125,0.72625,0.625,2.0,0.4,6.625,8.0,1.035,3.625,9.375,12.875,5.5,2.25,0.375,4.375,2.875
2019,G,10,Khadeen Carrington,MOR,6,19.0,23.625,8.5,22.25,0.47750000000000004,0.625,4.625,0.17875,5.875,9.125,0.80375,0.625,7.25,7.875,5.25,2.625,0.0,7.25,4.625
2019,G,11,Nemanja Gordic,BUD,30,30.375,23.25,7.625,18.375,0.52125,2.0,7.375,0.33375,5.875,8.625,0.865,0.375,4.25,4.625,10.75,1.375,0.0,4.125,5.375
2019,G,12,Roko Badzim,OLI,19,18.125,22.625,7.25,17.625,0.5087499999999999,4.75,12.0,0.5,3.5,4.125,1.0525,0.875,5.5,6.375,4.625,1.5,0.0,3.25,3.875
