Year_x,Position,#,Player,Team_x,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,League,Year_y,Pos,HT,WT,Team_y,Birth City,Draft Status,Nationality
2019,G,2,Marcus Paige,PAR,25,31.25,28.0,9.75,24.125,0.5062500000000001,4.75,13.125,0.45625,3.625,4.75,0.95,1.5,4.875,6.375,9.75,3.25,0.5,3.875,6.25,Adriatic ABA,2019,G,6-0,164,KK Partizan,Marion (IA),2016 Rnd 2 Pick 25,United States
2020,G,7,Marcus Paige,PAR,20,27.25,29.375,9.5,19.375,0.61125,6.75,14.0,0.6,3.75,4.125,1.125,0.75,2.875,3.625,5.75,1.75,0.75,2.125,4.5,Adriatic ABA,2019,G,6-0,164,KK Partizan,Marion (IA),2016 Rnd 2 Pick 25,United States
2021,G,20,Marcus Paige,PAR,22,32.25,20.25,6.5,16.125,0.51,4.875,11.75,0.5175,2.25,2.75,1.01,0.625,2.375,3.125,6.375,2.375,0.75,2.625,5.125,Adriatic ABA,2019,G,6-0,164,KK Partizan,Marion (IA),2016 Rnd 2 Pick 25,United States
2019,G,3,Brandis Raley-Ross,CIB,11,26.125,27.375,9.875,22.875,0.54,1.875,6.5,0.35,5.75,6.75,1.0575,2.375,3.625,6.0,5.5,2.375,0.0,3.625,7.0,Adriatic ABA,2019,G,6-3,200,KK Mornar,Gastonia (NC),"2010 NBA Draft, Undrafted",United States
2020,G,27,Brandis Raley-Ross,MOR,13,19.25,14.625,5.125,11.375,0.55875,1.25,3.0,0.5,3.25,6.25,0.655,1.5,5.625,7.125,7.125,1.5,0.625,3.625,9.625,Adriatic ABA,2019,G,6-3,200,KK Mornar,Gastonia (NC),"2010 NBA Draft, Undrafted",United States
2019,G,5,Jan Span,OLI,21,31.625,26.625,8.875,22.0,0.5062500000000001,4.75,13.75,0.4299999999999999,4.0,4.875,1.0174999999999998,1.25,5.375,6.5,9.0,2.375,0.125,5.875,5.625,Adriatic ABA,2023,G,6-1,190,Krka Novo Mesto,Ljubljana,"2014 NBA Draft, Undrafted",Slovenia
2024,G,18,Jan Span,KRK,26,38.875,24.375,8.625,22.375,0.48375,5.0,12.375,0.5125,2.0,2.75,0.9125,0.875,3.0,3.875,13.125,1.375,0.125,6.125,3.75,Adriatic ABA,2023,G,6-1,190,Krka Novo Mesto,Ljubljana,"2014 NBA Draft, Undrafted",Slovenia
2019,G,6,Matic Rebec,FMP,19,34.25,26.0,8.875,22.75,0.48875,4.25,13.875,0.385,3.875,5.875,0.83375,0.75,5.75,6.625,12.75,1.25,0.25,6.5,6.625,Adriatic ABA,2019,G,5-11,150,KK Cibona,Postojna,"2017 NBA Draft, Undrafted",Slovenia
2020,G,21,Matic Rebec,CIB,21,26.25,20.0,7.125,19.625,0.45125,2.625,11.125,0.29,3.25,6.5,0.625,1.5,5.625,7.125,13.25,2.625,0.125,5.625,4.5,Adriatic ABA,2019,G,5-11,150,KK Cibona,Postojna,"2017 NBA Draft, Undrafted",Slovenia
2023,G,29,Matic Rebec,COL,29,17.125,19.625,6.75,15.5,0.55125,3.0,8.875,0.42375,3.0,5.75,0.6575,0.875,5.75,6.625,13.625,1.875,0.0,6.75,7.75,Adriatic ABA,2019,G,5-11,150,KK Cibona,Postojna,"2017 NBA Draft, Undrafted",Slovenia
2024,G,20,Matic Rebec,FMP,13,34.5,24.125,8.5,22.75,0.46875,3.375,12.5,0.33375,3.625,5.0,0.91625,1.0,5.5,6.5,12.5,2.125,0.0,4.625,6.25,Adriatic ABA,2019,G,5-11,150,KK Cibona,Postojna,"2017 NBA Draft, Undrafted",Slovenia
2019,G,8,Nikola Ivanovic,BUD,8,22.25,23.625,5.125,15.25,0.41625,3.0,7.625,0.48625,10.5,11.875,1.11625,1.25,2.125,3.375,8.875,3.375,0.0,2.5,3.75,Adriatic ABA,2019,G,6-3,170,Buducnost,Podgorica,"2016 NBA Draft, Undrafted",Montenegro
2020,G,10,Nikola Ivanovic,BUD,18,28.625,25.5,8.25,18.625,0.55625,3.625,9.625,0.47375,5.25,6.5,1.0,0.625,5.5,6.125,11.0,3.375,0.0,3.0,5.875,Adriatic ABA,2019,G,6-3,170,Buducnost,Podgorica,"2016 NBA Draft, Undrafted",Montenegro
2021,G,4,Nikola Ivanovic,BUD,31,32.75,29.5,8.625,19.875,0.53875,3.125,9.875,0.39125,9.25,10.875,1.06375,1.25,5.125,6.375,11.25,3.25,0.0,3.875,4.125,Adriatic ABA,2019,G,6-3,170,Buducnost,Podgorica,"2016 NBA Draft, Undrafted",Montenegro
2022,G,9,Nikola Ivanovic,ZVE,31,22.25,29.875,8.375,21.125,0.49375,3.75,11.5,0.40125,9.5,11.0,1.07625,1.875,4.5,6.375,12.125,3.25,0.0,4.5,5.5,Adriatic ABA,2019,G,6-3,170,Buducnost,Podgorica,"2016 NBA Draft, Undrafted",Montenegro
2023,G,18,Nikola Ivanovic,ZVE,21,17.125,25.75,6.875,19.0,0.45375,2.75,10.25,0.33125,9.25,10.0,1.14625,0.875,4.0,4.75,11.75,2.875,0.0,2.25,3.75,Adriatic ABA,2019,G,6-3,170,Buducnost,Podgorica,"2016 NBA Draft, Undrafted",Montenegro
2019,G,10,Ognjen Carapic,MEG,20,25.75,23.125,6.125,17.625,0.4337499999999999,1.5,7.25,0.25,9.5,12.75,0.92375,2.625,4.75,7.375,9.125,2.875,0.0,5.125,7.0,Adriatic ABA,2019,G,6-4,165,KK Mega Bemax,Bar,"2020 NBA Draft, Undrafted",Montenegro
