Year,Position,#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2019,G,1,Martin Junakovic,SIB,11.0,39.875,37.125,12.875,29.875,0.53625,2.375,9.0,0.33,9.0,10.75,1.05125,0.875,5.625,6.5,11.75,4.25,0.125,6.875,4.75
2019,G,2,Kresimir Radovcic,ZAB,23.0,34.25,34.375,12.25,27.375,0.56,3.25,9.375,0.42875,6.5,7.75,1.065,1.375,5.75,7.0,8.25,2.625,0.0,5.0,5.0
2019,G,3,Brian Williams,SRKL,19.0,31.625,33.25,13.25,25.875,0.64,1.75,5.5,0.3975,5.0,6.75,0.92625,3.125,5.0,8.125,6.0,3.625,0.25,3.875,5.75
2019,G,4,Justin Cobbs,CED,12.0,27.875,32.5,10.125,23.75,0.53125,2.25,6.0,0.4625,10.125,11.0,1.1475,1.375,3.875,5.125,11.5,1.625,0.0,5.125,5.625
2019,G,5,Mario Ihring,VRI,23.0,40.5,31.0,9.625,21.125,0.5675,2.875,8.375,0.42125,9.0,10.75,1.0525,1.0,8.0,9.125,12.5,2.625,0.375,8.0,4.625
2019,G,6,Brandis Raley-Ross,CIB,11.0,25.125,27.875,9.25,20.375,0.56625,2.75,7.875,0.43124999999999997,6.75,7.375,1.1575,3.0,6.75,9.75,4.875,3.25,0.25,2.75,5.125
2019,G,7,Bruno Markulin,ALK,21.0,37.625,26.75,8.25,22.875,0.45125,4.75,12.875,0.4625,5.5,6.5,1.06625,1.375,4.5,5.875,3.375,1.75,0.125,3.875,4.25
2019,G,8,David Chavlovich,BOS,15.0,30.0,26.25,9.375,19.375,0.60375,4.375,9.375,0.5800000000000001,3.125,4.375,0.91375,1.125,3.0,4.125,5.875,2.5,0.125,3.375,6.0
2019,G,9,Jakov Vladovic,HERM,8.0,38.375,25.625,9.75,19.0,0.64125,3.625,9.0,0.5062500000000001,2.5,2.875,1.04125,1.75,5.625,7.375,7.875,3.625,0.0,5.125,5.125
2019,G,10,Luka Bozic,ZAD,28.0,36.75,24.625,9.0,16.75,0.67125,1.125,3.625,0.375,5.5,7.25,0.96,3.875,10.0,13.875,6.875,1.75,0.75,6.0,4.5
2019,G,11,Nikola Korac,BOS,8.0,40.75,24.125,9.25,18.25,0.6325000000000001,2.75,7.875,0.44125,3.0,3.875,0.95625,1.875,4.875,6.625,10.625,1.875,0.25,7.375,4.375
2019,G,12,Josip Bilinovac,CIB,28.0,28.125,23.75,8.375,15.75,0.66625,4.125,8.625,0.5912499999999999,3.0,3.5,1.0474999999999999,1.875,5.0,6.875,9.0,2.625,0.25,3.5,6.625
2019,G,13,Domagoj Saric,SIB,24.0,27.5,20.75,8.125,17.0,0.5912499999999999,3.25,6.625,0.625,1.375,2.0,0.83375,1.125,3.25,4.375,8.25,1.375,0.0,3.625,5.625
2019,G,14,Borna Kapusta,VEL,25.0,30.0,20.625,6.125,14.75,0.5187499999999999,2.625,7.875,0.41125,5.75,8.0,0.90625,1.75,5.25,7.0,13.75,3.25,0.0,6.875,7.625
