Year,Position,#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2012,PG,1,Domagoj Basic,ZAB,31,21.1,24.6,8.7,18.1,.480,5.2,11.8,.444,2.1,2.2,.933,0.3,2.1,2.4,2.3,1.5,0.1,2.9,3.5
2012,PG,2,Roko Rogic,ALK,30,24.2,23.3,8.0,18.1,.442,1.8,6.5,.276,5.5,6.7,.824,1.4,5.0,6.3,4.1,1.8,0.0,4.2,4.3
2012,PG,3,Franjo Bubalo,ALK,27,29.1,21.4,7.7,16.9,.457,1.6,5.0,.317,4.4,5.7,.766,1.0,2.4,3.4,4.9,1.7,0.1,3.7,3.4
2012,PG,4,Mario Pesut,PUN,30,23.6,19.6,7.1,17.0,.420,1.0,5.3,.179,4.4,7.1,.625,2.6,2.5,5.1,5.2,2.9,0.1,4.1,5.0
2012,PG,5,Mislav Peric,DUB,30,25.7,19.6,6.9,15.3,.453,2.4,6.9,.351,3.3,4.7,.707,0.4,3.1,3.5,2.5,2.1,0.0,5.0,6.7
2012,PG,6,Dontaye Draper,CED,19,29.4,19.5,6.4,13.6,.468,2.0,5.9,.333,4.8,6.8,.709,0.9,3.5,4.5,4.8,4.1,0.3,3.3,4.2
2012,PG,7,Petar Babic,ZAG,10,16.2,18.7,5.9,12.5,.476,2.4,6.8,.348,4.5,5.6,.789,0.3,3.9,4.2,6.2,4.2,0.0,2.1,5.0
2012,PG,8,Srdan Subotic,SPL,33,31.7,18.3,5.6,13.5,.414,1.5,6.2,.243,5.7,6.9,.828,0.6,4.1,4.6,6.3,1.7,0.0,3.3,4.5
2012,PG,9,Matteo Juricic,KVA,29,20.9,17.6,6.2,14.5,.426,3.2,7.8,.408,2.1,2.8,.743,0.8,2.7,3.5,2.5,1.3,0.1,3.3,5.6
2012,PG,10,Marko Car,CED,21,20.4,17.5,6.0,14.7,.412,2.7,7.9,.338,2.7,3.8,.706,0.3,3.2,3.6,4.9,3.1,0.1,4.0,5.3
2012,PG,11,Stefan Zadravec,ZAB,31,17.5,15.3,5.7,12.0,.474,1.9,4.4,.440,2.0,2.8,.719,0.9,3.2,4.1,3.5,2.3,0.1,2.9,5.5
2012,PG,12,Saso Ozbolt,ZAG,14,21.6,14.4,4.8,10.5,.455,2.9,6.2,.462,1.7,2.1,.846,0.8,3.6,4.4,4.6,3.2,0.3,1.9,2.9
2012,PG,13,Josip Glavinic,KRI,30,31.0,13.3,4.6,12.8,.359,1.2,5.9,.202,3.4,4.3,.795,0.3,5.6,5.9,7.9,2.1,0.1,4.5,3.9
2012,PG,14,Uros Zadnik,ZAD,36,15.8,11.6,4.0,12.7,.313,0.8,4.8,.175,2.8,3.9,.717,0.9,3.5,4.4,5.4,3.7,0.1,2.8,5.6
2012,PG,15,Matej Kljaic,SLA,29,16.9,10.9,3.3,9.7,.343,1.9,6.7,.275,2.3,3.4,.686,0.7,1.7,2.3,2.5,1.1,0.0,3.6,7.6
2012,SG,1,Goran Vrbanc,ZAD,33,24.2,28.8,9.1,23.2,.393,3.8,12.1,.313,6.7,8.2,.818,1.4,3.5,4.9,2.8,1.9,0.1,5.2,4.7
2012,SG,2,Ivan Mimica,SPL,33,34.3,26.6,8.4,18.1,.464,2.8,8.1,.353,7.0,8.3,.841,1.0,3.9,4.9,3.1,1.9,0.2,3.4,4.1
2012,SG,3,Ronald Ross,JOL,34,33.9,25.3,10.0,20.9,.478,1.6,4.6,.345,3.7,5.2,.720,2.0,6.0,7.9,6.1,4.0,0.2,4.5,4.4
2012,SG,4,Matija Ceskovic,KVA,25,35.5,24.3,8.5,18.0,.471,3.3,8.5,.386,4.1,5.3,.765,0.2,2.2,2.4,4.1,1.7,0.1,3.9,3.4
