Year_x,Position,#,Player,Team_x,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year_y,Pos,HT,WT,Team_y,Birth City,Draft Status,Nationality,League
2019,PG,1,Martin Junakovic,SIB,11,31.9,29.7,10.3,23.9,0.429,1.9,7.2,0.264,7.2,8.6,0.841,0.7,4.5,5.2,9.4,3.4,0.1,5.5,3.8,2019,SG,6-2,195,GKK Sibenk,Sibenik,"2016 NBA Draft, Undrafted",Croatia,Croatian Basketball League
2020,PG,4,Martin Junakovic,ZAD,16,23.0,24.6,8.3,18.0,0.464,2.3,7.2,0.327,5.6,7.6,0.741,0.8,3.8,4.6,9.2,3.5,0.1,5.5,5.9,2019,SG,6-2,195,GKK Sibenk,Sibenik,"2016 NBA Draft, Undrafted",Croatia,Croatian Basketball League
2021,SG,10,Martin Junakovic,ZAD,38,19.0,20.4,6.8,16.3,0.419,1.9,6.2,0.309,4.8,6.4,0.75,1.1,2.7,3.7,7.6,2.3,0.1,4.1,6.3,2019,SG,6-2,195,GKK Sibenk,Sibenik,"2016 NBA Draft, Undrafted",Croatia,Croatian Basketball League
2022,SG,9,Martin Junakovic,ZAD,38,23.1,20.6,7.2,16.6,0.432,1.4,4.0,0.338,4.9,6.9,0.714,1.1,2.8,3.9,9.4,1.9,0.1,4.0,5.9,2019,SG,6-2,195,GKK Sibenk,Sibenik,"2016 NBA Draft, Undrafted",Croatia,Croatian Basketball League
2019,PG,2,Kresimir Radovcic,ZAB,23,27.4,27.5,9.8,21.9,0.448,2.6,7.5,0.343,5.2,6.2,0.852,1.1,4.6,5.6,6.6,2.1,0.0,4.0,4.0,2019,PG,6-5,194,KK Zabok,Sibenik,"2019 NBA Draft, Undrafted",Croatia,Croatian Basketball League
2021,PG,10,Kresimir Radovcic,CIB,36,19.5,22.1,8.3,17.4,0.478,2.4,6.7,0.357,3.1,4.0,0.763,1.6,3.3,4.9,8.3,1.7,0.1,3.1,4.9,2019,PG,6-5,194,KK Zabok,Sibenik,"2019 NBA Draft, Undrafted",Croatia,Croatian Basketball League
2022,PG,8,Kresimir Radovcic,CIB,30,18.5,21.0,7.6,18.0,0.423,2.4,8.2,0.295,3.3,4.8,0.691,1.3,4.7,6.0,7.4,2.0,0.1,4.4,5.5,2019,PG,6-5,194,KK Zabok,Sibenik,"2019 NBA Draft, Undrafted",Croatia,Croatian Basketball League
2023,PG,20,Kresimir Radovcic,CIB,36,22.3,18.5,6.9,15.7,0.441,2.4,7.5,0.325,2.2,3.8,0.578,0.6,5.0,5.6,8.9,2.4,0.1,3.5,5.5,2019,PG,6-5,194,KK Zabok,Sibenik,"2019 NBA Draft, Undrafted",Croatia,Croatian Basketball League
2024,SG,4,Kresimir Radovcic,CIB,28,34.8,22.9,7.8,18.7,0.42,2.8,9.0,0.311,4.4,5.8,0.763,1.5,5.3,6.8,7.9,1.7,0.1,3.7,3.5,2019,PG,6-5,194,KK Zabok,Sibenik,"2019 NBA Draft, Undrafted",Croatia,Croatian Basketball League
2019,PG,3,Brian Williams,SRKL,19,25.3,26.6,10.6,20.7,0.512,1.4,4.4,0.318,4.0,5.4,0.741,2.5,4.0,6.5,4.8,2.9,0.2,3.1,4.6,2019,PG,6-1,175,KK Skrljevo,Queens (NY),"2014 NBA Draft, Undrafted",United States,Croatian Basketball League
2019,PG,4,Justin Cobbs,CED,12,22.3,26.0,8.1,19.0,0.425,1.8,4.8,0.37,8.1,8.8,0.918,1.1,3.1,4.1,9.2,1.3,0.0,4.1,4.5,2019,PG,6-3,190,Cedevita,Los Angeles (CA),"2014 NBA Draft, Undrafted",United StatesMontenegro,Croatian Basketball League
2019,PG,5,Mario Ihring,VRI,23,32.4,24.8,7.7,16.9,0.454,2.3,6.7,0.337,7.2,8.6,0.842,0.8,6.4,7.3,10.0,2.1,0.3,6.4,3.7,2019,SG,6-4,176,KK Vrijednosnice Osijek,Handlova,"2020 NBA Draft, Undrafted",Slovakia,Croatian Basketball League
