Year,Position,#,Player,Team_x,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Pos,HT,WT,Team_y,Birth City,Draft Status,Nationality,Season,League
2012,PF,1,Tayo Ogedegebe,SUR,32,32.4,25.3,8.7,16.9,0.518,0.9,3.0,0.292,6.9,10.5,0.664,2.9,4.0,6.8,1.9,1.4,0.4,3.9,2.7,F,6-6,210,Surrey Scorchers,London,"2009 NBA Draft, Undrafted",England,2011-2012,British Basketball League
2012,PF,1,Tayo Ogedegebe,SUR,32,32.4,25.3,8.7,16.9,0.518,0.9,3.0,0.292,6.9,10.5,0.664,2.9,4.0,6.8,1.9,1.4,0.4,3.9,2.7,F,6-6,210,Surrey Scorchers,London,"2009 NBA Draft, Undrafted",England,2012-2013,British Basketball League
2012,PF,1,Tayo Ogedegebe,SUR,32,32.4,25.3,8.7,16.9,0.518,0.9,3.0,0.292,6.9,10.5,0.664,2.9,4.0,6.8,1.9,1.4,0.4,3.9,2.7,F,6-6,210,Surrey Scorchers,London,"2009 NBA Draft, Undrafted",England,2013-2014,British Basketball League
2012,PF,1,Tayo Ogedegebe,SUR,32,32.4,25.3,8.7,16.9,0.518,0.9,3.0,0.292,6.9,10.5,0.664,2.9,4.0,6.8,1.9,1.4,0.4,3.9,2.7,F,6-6,210,Surrey Scorchers,London,"2009 NBA Draft, Undrafted",England,2014-2015,British Basketball League
2012,PF,1,Tayo Ogedegebe,SUR,32,32.4,25.3,8.7,16.9,0.518,0.9,3.0,0.292,6.9,10.5,0.664,2.9,4.0,6.8,1.9,1.4,0.4,3.9,2.7,F,6-6,210,Surrey Scorchers,London,"2009 NBA Draft, Undrafted",England,2015-2016,British Basketball League
2012,PF,1,Tayo Ogedegebe,SUR,32,32.4,25.3,8.7,16.9,0.518,0.9,3.0,0.292,6.9,10.5,0.664,2.9,4.0,6.8,1.9,1.4,0.4,3.9,2.7,F,6-6,210,Surrey Scorchers,London,"2009 NBA Draft, Undrafted",England,2016-2017,British Basketball League
2012,PF,1,Tayo Ogedegebe,SUR,32,32.4,25.3,8.7,16.9,0.518,0.9,3.0,0.292,6.9,10.5,0.664,2.9,4.0,6.8,1.9,1.4,0.4,3.9,2.7,F,6-6,210,Surrey Scorchers,London,"2009 NBA Draft, Undrafted",England,2017-2018,British Basketball League
2012,PF,1,Tayo Ogedegebe,SUR,32,32.4,25.3,8.7,16.9,0.518,0.9,3.0,0.292,6.9,10.5,0.664,2.9,4.0,6.8,1.9,1.4,0.4,3.9,2.7,F,6-6,210,Surrey Scorchers,London,"2009 NBA Draft, Undrafted",England,2018-2019,British Basketball League
2012,PF,1,Tayo Ogedegebe,SUR,32,32.4,25.3,8.7,16.9,0.518,0.9,3.0,0.292,6.9,10.5,0.664,2.9,4.0,6.8,1.9,1.4,0.4,3.9,2.7,F,6-6,210,Surrey Scorchers,London,"2009 NBA Draft, Undrafted",England,2019-2020,British Basketball League
2012,PF,1,Tayo Ogedegebe,SUR,32,32.4,25.3,8.7,16.9,0.518,0.9,3.0,0.292,6.9,10.5,0.664,2.9,4.0,6.8,1.9,1.4,0.4,3.9,2.7,F,6-6,210,Surrey Scorchers,London,"2009 NBA Draft, Undrafted",England,2020-2021,British Basketball League
2012,PF,1,Tayo Ogedegebe,SUR,32,32.4,25.3,8.7,16.9,0.518,0.9,3.0,0.292,6.9,10.5,0.664,2.9,4.0,6.8,1.9,1.4,0.4,3.9,2.7,F,6-6,210,Surrey Scorchers,London,"2009 NBA Draft, Undrafted",England,2021-2022,British Basketball League
2012,PF,1,Tayo Ogedegebe,SUR,32,32.4,25.3,8.7,16.9,0.518,0.9,3.0,0.292,6.9,10.5,0.664,2.9,4.0,6.8,1.9,1.4,0.4,3.9,2.7,F,6-6,210,Surrey Scorchers,London,"2009 NBA Draft, Undrafted",England,2022-2023,British Basketball League
2013,SG,5,Tayo Ogedegebe,LON,35,31.7,24.7,8.9,18.4,0.486,1.0,3.9,0.264,5.8,8.5,0.684,2.6,4.9,7.5,2.9,1.6,0.3,4.8,3.3,F,6-6,210,Surrey Scorchers,London,"2009 NBA Draft, Undrafted",England,2011-2012,British Basketball League
2013,SG,5,Tayo Ogedegebe,LON,35,31.7,24.7,8.9,18.4,0.486,1.0,3.9,0.264,5.8,8.5,0.684,2.6,4.9,7.5,2.9,1.6,0.3,4.8,3.3,F,6-6,210,Surrey Scorchers,London,"2009 NBA Draft, Undrafted",England,2012-2013,British Basketball League
2013,SG,5,Tayo Ogedegebe,LON,35,31.7,24.7,8.9,18.4,0.486,1.0,3.9,0.264,5.8,8.5,0.684,2.6,4.9,7.5,2.9,1.6,0.3,4.8,3.3,F,6-6,210,Surrey Scorchers,London,"2009 NBA Draft, Undrafted",England,2013-2014,British Basketball League
2013,SG,5,Tayo Ogedegebe,LON,35,31.7,24.7,8.9,18.4,0.486,1.0,3.9,0.264,5.8,8.5,0.684,2.6,4.9,7.5,2.9,1.6,0.3,4.8,3.3,F,6-6,210,Surrey Scorchers,London,"2009 NBA Draft, Undrafted",England,2014-2015,British Basketball League
2013,SG,5,Tayo Ogedegebe,LON,35,31.7,24.7,8.9,18.4,0.486,1.0,3.9,0.264,5.8,8.5,0.684,2.6,4.9,7.5,2.9,1.6,0.3,4.8,3.3,F,6-6,210,Surrey Scorchers,London,"2009 NBA Draft, Undrafted",England,2015-2016,British Basketball League
2013,SG,5,Tayo Ogedegebe,LON,35,31.7,24.7,8.9,18.4,0.486,1.0,3.9,0.264,5.8,8.5,0.684,2.6,4.9,7.5,2.9,1.6,0.3,4.8,3.3,F,6-6,210,Surrey Scorchers,London,"2009 NBA Draft, Undrafted",England,2016-2017,British Basketball League
2013,SG,5,Tayo Ogedegebe,LON,35,31.7,24.7,8.9,18.4,0.486,1.0,3.9,0.264,5.8,8.5,0.684,2.6,4.9,7.5,2.9,1.6,0.3,4.8,3.3,F,6-6,210,Surrey Scorchers,London,"2009 NBA Draft, Undrafted",England,2017-2018,British Basketball League
2013,SG,5,Tayo Ogedegebe,LON,35,31.7,24.7,8.9,18.4,0.486,1.0,3.9,0.264,5.8,8.5,0.684,2.6,4.9,7.5,2.9,1.6,0.3,4.8,3.3,F,6-6,210,Surrey Scorchers,London,"2009 NBA Draft, Undrafted",England,2018-2019,British Basketball League
2013,SG,5,Tayo Ogedegebe,LON,35,31.7,24.7,8.9,18.4,0.486,1.0,3.9,0.264,5.8,8.5,0.684,2.6,4.9,7.5,2.9,1.6,0.3,4.8,3.3,F,6-6,210,Surrey Scorchers,London,"2009 NBA Draft, Undrafted",England,2019-2020,British Basketball League
