Year,Position,#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2012,G,1,Domagoj Basic,ZAB,31,21.1,24.6,8.7,18.1,0.48,5.2,11.8,0.444,2.1,2.2,0.933,0.3,2.1,2.4,2.3,1.5,0.1,2.9,3.5
2012,G,2,Roko Rogic,ALK,30,24.2,23.3,8.0,18.1,0.442,1.8,6.5,0.276,5.5,6.7,0.824,1.4,5.0,6.3,4.1,1.8,0.0,4.2,4.3
2012,G,3,Franjo Bubalo,ALK,27,29.1,21.4,7.7,16.9,0.457,1.6,5.0,0.317,4.4,5.7,0.766,1.0,2.4,3.4,4.9,1.7,0.1,3.7,3.4
2012,G,4,Mario Pesut,PUN,30,23.6,19.6,7.1,17.0,0.42,1.0,5.3,0.179,4.4,7.1,0.625,2.6,2.5,5.1,5.2,2.9,0.1,4.1,5.0
2012,G,5,Mislav Peric,DUB,30,25.7,19.6,6.9,15.3,0.453,2.4,6.9,0.351,3.3,4.7,0.707,0.4,3.1,3.5,2.5,2.1,0.0,5.0,6.7
2012,G,6,Dontaye Draper,CED,19,29.4,19.5,6.4,13.6,0.468,2.0,5.9,0.333,4.8,6.8,0.709,0.9,3.5,4.5,4.8,4.1,0.3,3.3,4.2
2012,G,7,Petar Babic,ZAG,10,16.2,18.7,5.9,12.5,0.476,2.4,6.8,0.348,4.5,5.6,0.789,0.3,3.9,4.2,6.2,4.2,0.0,2.1,5.0
2012,G,8,Srdan Subotic,SPL,33,31.7,18.3,5.6,13.5,0.414,1.5,6.2,0.243,5.7,6.9,0.828,0.6,4.1,4.6,6.3,1.7,0.0,3.3,4.5
2012,G,9,Matteo Juricic,KVA,29,20.9,17.6,6.2,14.5,0.426,3.2,7.8,0.408,2.1,2.8,0.743,0.8,2.7,3.5,2.5,1.3,0.1,3.3,5.6
2012,G,10,Marko Car,CED,21,20.4,17.5,6.0,14.7,0.412,2.7,7.9,0.338,2.7,3.8,0.706,0.3,3.2,3.6,4.9,3.1,0.1,4.0,5.3
2012,G,11,Stefan Zadravec,ZAB,31,17.5,15.3,5.7,12.0,0.474,1.9,4.4,0.44,2.0,2.8,0.719,0.9,3.2,4.1,3.5,2.3,0.1,2.9,5.5
2012,G,12,Saso Ozbolt,ZAG,14,21.6,14.4,4.8,10.5,0.455,2.9,6.2,0.462,1.7,2.1,0.846,0.8,3.6,4.4,4.6,3.2,0.3,1.9,2.9
2012,G,13,Josip Glavinic,KRI,30,31.0,13.3,4.6,12.8,0.359,1.2,5.9,0.202,3.4,4.3,0.795,0.3,5.6,5.9,7.9,2.1,0.1,4.5,3.9
2012,G,14,Uros Zadnik,ZAD,36,15.8,11.6,4.0,12.7,0.313,0.8,4.8,0.175,2.8,3.9,0.717,0.9,3.5,4.4,5.4,3.7,0.1,2.8,5.6
2012,G,15,Matej Kljaic,SLA,29,16.9,10.9,3.3,9.7,0.343,1.9,6.7,0.275,2.3,3.4,0.686,0.7,1.7,2.3,2.5,1.1,0.0,3.6,7.6
2012,G,1,Goran Vrbanc,ZAD,33,24.2,28.8,9.1,23.2,0.393,3.8,12.1,0.313,6.7,8.2,0.818,1.4,3.5,4.9,2.8,1.9,0.1,5.2,4.7
2012,G,2,Ivan Mimica,SPL,33,34.3,26.6,8.4,18.1,0.464,2.8,8.1,0.353,7.0,8.3,0.841,1.0,3.9,4.9,3.1,1.9,0.2,3.4,4.1
2012,G,3,Ronald Ross,JOL,34,33.9,25.3,10.0,20.9,0.478,1.6,4.6,0.345,3.7,5.2,0.72,2.0,6.0,7.9,6.1,4.0,0.2,4.5,4.4
2012,G,4,Matija Ceskovic,KVA,25,35.5,24.3,8.5,18.0,0.471,3.3,8.5,0.386,4.1,5.3,0.765,0.2,2.2,2.4,4.1,1.7,0.1,3.9,3.4
2012,G,5,Antonio Bicvic,VRI,26,25.8,22.3,8.3,14.5,0.571,1.4,3.0,0.452,4.2,5.9,0.707,1.6,2.6,4.3,3.5,3.6,0.1,2.6,4.1
2012,G,6,Antwain Barbour,CIB,15,22.6,21.8,8.4,15.2,0.551,1.7,4.5,0.375,3.1,5.7,0.55,2.4,5.8,8.2,3.1,2.7,0.7,2.8,3.3
2012,G,7,Ivan Tomas,ZAB,27,23.2,21.6,7.5,17.1,0.439,2.0,7.6,0.263,4.6,6.0,0.769,1.4,3.2,4.6,6.4,2.7,0.2,4.2,3.9
2012,G,8,Hrvoje Puljko,JOL,26,23.3,21.6,7.2,16.9,0.427,2.9,9.4,0.303,4.3,6.0,0.711,0.6,5.8,6.4,3.1,2.8,0.6,3.3,6.8
2012,G,9,Robert Lez,ZAB,34,21.0,21.0,6.6,15.3,0.432,2.4,7.1,0.33,5.5,6.4,0.853,0.4,3.1,3.5,4.3,1.3,0.0,3.2,6.1
2012,G,10,Damir Mulaomerovic,ZAG,11,23.0,19.7,5.9,15.2,0.388,1.1,6.6,0.171,6.8,8.3,0.818,0.6,3.6,4.2,8.5,0.4,0.0,4.2,4.0
2012,G,11,Chris Levour Warren,CED,18,23.9,18.8,6.5,13.6,0.475,1.3,4.8,0.279,4.6,5.3,0.854,2.3,5.3,7.7,3.2,1.9,0.7,4.6,3.9
2012,G,12,Marino Jurjevic,PUN,30,17.5,18.4,6.0,15.3,0.395,3.4,9.8,0.346,2.9,4.6,0.64,1.0,4.1,5.1,1.3,1.9,0.1,1.6,6.1
2012,G,13,Marino Bazdaric,CED,21,25.3,16.7,5.6,12.4,0.453,2.3,5.5,0.41,3.3,4.3,0.766,1.1,7.1,8.1,5.6,1.8,0.0,3.7,4.3
2012,G,14,Davor Kus,CIB,18,22.3,16.6,5.2,13.5,0.381,2.6,7.2,0.367,3.7,5.0,0.738,0.4,2.0,2.4,4.8,2.2,0.0,2.5,4.3
2012,G,15,Petar Maric,PUN,28,28.7,16.5,6.4,12.5,0.51,1.3,3.4,0.368,2.4,3.7,0.661,0.8,3.2,4.0,3.2,1.7,0.1,2.0,4.7
2012,G,16,Luka Katura,JOL,34,22.8,16.1,6.0,14.0,0.429,1.4,5.9,0.242,2.7,3.3,0.796,1.7,2.6,4.3,2.2,2.0,0.2,3.0,5.7
2012,G,17,Damir Rancic,ZAG,14,20.6,15.1,4.8,11.1,0.433,3.5,8.5,0.412,1.3,1.7,0.8,0.7,2.7,3.3,2.8,1.7,0.3,2.5,4.3
2012,G,18,Ivan Milekovic,VRI,29,23.8,14.9,4.9,11.1,0.438,1.4,5.3,0.263,3.8,5.4,0.692,2.2,4.2,6.3,1.9,2.0,0.1,2.5,4.7
2012,G,19,Luka Panduric,VRI,30,34.6,14.5,4.9,9.2,0.535,0.7,1.9,0.366,4.0,5.7,0.694,0.6,4.1,4.8,3.2,1.5,0.0,3.6,4.0
2012,G,20,Ivan Begic,DUB,29,25.7,13.4,5.1,12.0,0.422,1.4,5.0,0.282,1.9,2.8,0.659,1.0,3.5,4.4,1.3,1.2,0.1,2.3,3.5
2012,G,21,Josip Surina,KVA,25,21.1,13.1,5.0,12.8,0.39,2.0,7.4,0.268,1.1,1.7,0.632,1.3,2.3,3.5,1.8,2.4,0.1,3.0,6.8
2012,G,22,Luka Pesut,ZAB,33,16.8,10.2,4.0,7.4,0.541,1.3,3.2,0.405,0.9,1.1,0.769,2.1,4.9,7.0,2.3,1.7,0.1,1.5,4.9
2012,G,23,Andrija Hrkac,KRI,29,15.6,10.0,3.9,9.9,0.398,1.1,3.3,0.323,1.1,1.5,0.714,1.1,1.7,2.8,1.9,1.2,0.4,2.0,7.2
2012,G,24,Petar Zivkovic,SLA,34,18.6,9.1,3.3,8.8,0.379,0.9,3.2,0.286,1.5,3.0,0.513,1.3,2.2,3.5,1.8,1.5,0.1,2.1,5.0
