Year_x,Player,Pos,HT,WT,Team_x,Birth City,Draft Status,Nationality,Year_y,Position,#,Team_y,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2019,Abdul-Malik Abu,F,6-8,240,KK Vrijednosnice Osijek,Boston (MA),"2018 NBA Draft, Undrafted",United StatesNigeria,2019,C,3,VRI,19,29.0,24.1,9.7,16.5,0.584,0.8,1.7,0.45,4.0,7.0,0.575,5.6,9.4,15.0,2.4,0.9,1.3,2.8,3.1
2019,Andro Anzulovic,SG,6-4,200,KK Zabok,Zagreb,"2013 NBA Draft, Undrafted",Croatia,2013,SG,21,ZAB,27,16.6,13.6,4.7,10.7,0.44,2.1,6.6,0.323,2.0,2.9,0.704,1.1,2.9,4.0,4.0,2.7,0.3,2.1,2.8
2019,Andro Anzulovic,SG,6-4,200,KK Zabok,Zagreb,"2013 NBA Draft, Undrafted",Croatia,2014,SG,12,ZAB,26,17.7,14.0,5.1,11.4,0.45,2.5,6.4,0.393,1.3,2.2,0.571,0.6,2.4,3.0,3.4,3.4,0.0,2.8,3.9
2019,Andro Anzulovic,SG,6-4,200,KK Zabok,Zagreb,"2013 NBA Draft, Undrafted",Croatia,2015,SG,15,ZAB,33,23.1,11.2,3.4,10.8,0.316,2.3,7.7,0.295,2.1,2.6,0.829,1.4,2.6,4.0,3.4,2.5,0.3,2.1,4.8
2019,Andro Anzulovic,SG,6-4,200,KK Zabok,Zagreb,"2013 NBA Draft, Undrafted",Croatia,2016,SG,19,ZAB,30,25.1,9.6,3.3,8.8,0.377,1.8,5.4,0.329,1.1,1.8,0.643,1.0,2.8,3.8,3.3,1.9,0.5,1.7,3.6
2019,Andro Anzulovic,SG,6-4,200,KK Zabok,Zagreb,"2013 NBA Draft, Undrafted",Croatia,2019,SG,16,ZAB,24,21.0,9.6,3.0,8.9,0.344,1.5,6.2,0.246,2.0,2.4,0.84,0.8,3.1,3.9,5.6,3.9,0.3,1.8,3.6
2019,Andro Anzulovic,SG,6-4,200,KK Zabok,Zagreb,"2013 NBA Draft, Undrafted",Croatia,2020,SG,21,ZAB,18,23.0,13.1,3.8,9.7,0.393,2.5,7.1,0.361,2.9,3.7,0.781,0.7,4.1,4.7,7.1,2.8,0.2,1.7,3.5
2019,Andro Anzulovic,SG,6-4,200,KK Zabok,Zagreb,"2013 NBA Draft, Undrafted",Croatia,2021,SG,25,ZAB,31,22.8,13.2,3.7,9.4,0.396,2.8,7.3,0.383,3.0,3.5,0.846,0.8,3.8,4.6,4.7,2.2,0.3,1.8,3.9
2019,Andro Anzulovic,SG,6-4,200,KK Zabok,Zagreb,"2013 NBA Draft, Undrafted",Croatia,2023,SG,27,DIN,34,22.2,12.0,3.9,8.8,0.449,2.9,7.3,0.391,1.2,1.5,0.792,0.7,3.8,4.5,5.0,2.4,0.0,1.5,5.3
2020,Andro Anzulovic,SG,6-4,200,KK Zabok,Zagreb,"2013 NBA Draft, Undrafted",Croatia,2013,SG,21,ZAB,27,16.6,13.6,4.7,10.7,0.44,2.1,6.6,0.323,2.0,2.9,0.704,1.1,2.9,4.0,4.0,2.7,0.3,2.1,2.8
