Year,Position,#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2012,PG,1,Kosta Charalampidis,KAOD,22,28.2,26.6,7.9,16.9,.468,2.2,6.0,.377,8.6,9.5,.902,0.6,4.4,5.0,7.4,1.3,0.1,5.0,3.3
2012,PG,2,Vassilis Spanoulis,OLY,31,23.2,24.1,7.9,18.4,.431,2.6,7.7,.336,6.2,7.6,.816,0.7,3.7,4.4,10.3,1.7,0.0,4.7,3.2
2012,PG,3,David Logan,PAN,32,18.0,24.0,8.5,18.7,.453,2.7,7.1,.384,4.3,5.2,.825,0.7,2.7,3.3,3.5,3.6,0.2,2.6,4.7
2012,PG,4,Sarunas Jasikevicius,PAN,35,16.6,23.8,8.8,16.9,.522,2.5,5.4,.462,3.6,4.5,.815,0.5,1.9,2.4,9.1,0.7,0.2,3.7,5.4
2012,PG,5,Mike Taylor,KAV,22,28.1,23.7,8.2,19.2,.429,2.5,7.4,.337,4.8,6.3,.765,1.4,5.0,6.4,3.4,2.2,0.5,5.5,5.4
2012,PG,6,Zack Wright,RETH,22,29.0,22.4,8.8,16.2,.544,0.5,1.6,.333,4.3,6.8,.626,2.9,6.0,9.0,6.3,4.1,0.8,3.6,3.7
2012,PG,7,Marcus Hatten,KOL,34,25.8,20.7,7.1,16.8,.419,1.4,5.5,.260,5.2,6.9,.754,1.6,4.6,6.3,4.2,2.8,0.2,3.4,4.2
2012,PG,8,Nick Calathes,PAN,33,22.0,17.6,7.2,15.2,.476,1.3,4.6,.275,1.9,3.6,.537,0.8,4.2,5.0,6.5,3.7,0.1,4.6,4.9
2012,PG,9,Billy Keys,PAI,34,28.5,17.2,5.1,14.6,.353,2.8,8.3,.339,4.1,4.9,.838,0.8,2.8,3.6,3.5,1.7,0.0,3.0,4.6
2012,PG,10,Christoforos Stefanidis,KAV,26,20.9,17.2,5.0,11.1,.456,2.1,5.6,.381,5.0,6.0,.824,1.3,3.5,4.9,4.6,1.5,0.1,2.5,3.4
2012,PG,11,Boo Davis,ARI,20,28.8,16.9,5.2,14.4,.358,2.0,7.3,.276,4.8,6.0,.792,0.5,4.1,4.6,3.1,2.4,0.1,2.9,4.3
2012,PG,12,D.J. Thompson,IlI,24,29.7,16.4,5.6,17.1,.327,2.4,7.8,.302,2.8,3.8,.737,0.8,2.2,3.0,5.6,2.8,0.0,3.4,4.2
2012,PG,13,Nontas Papantoniou,PER,23,20.0,14.3,4.6,10.4,.440,1.5,4.4,.333,3.6,5.3,.686,1.1,5.5,6.7,3.6,1.7,0.2,4.4,7.1
2012,PG,14,Sakis Karidas,KAOD,20,18.4,13.4,4.7,12.5,.375,1.6,5.2,.300,2.5,3.3,.760,0.9,3.3,4.2,4.8,2.3,0.1,4.8,6.1
2012,PG,15,Dante Stiggers,PAOK,26,18.6,13.2,5.3,12.0,.446,1.3,4.2,.310,1.2,1.7,.706,1.5,3.7,5.1,3.6,1.9,0.5,4.4,4.2
2012,PG,16,Vassilis Xanthopoulos,PAI,34,27.3,12.0,4.7,12.1,.385,1.5,4.5,.326,1.2,2.3,.511,0.7,3.3,3.9,7.9,3.0,0.0,2.8,5.0
