Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
Jubril Adekoya,F,6-7,230,Sheffield Sharks,Tinley Park (IL),"2017 NBA Draft, Undrafted",United States
Fahro Alihodzic,FC,6-10,240,Caledonia Gladiators,Vlasenica,"2014 NBA Draft, Undrafted",Bosnia and HerzegovinaEngland
Teddy Allen,SF,6-6,212,Leicester Riders,Phoenix (AZ),"2022 NBA Draft, Undrafted",United States
Terrell Allen,PG,6-3,180,Sheffield Sharks,Upper Marlboro (MD),"2020 NBA Draft, Undrafted",United States
Jamell Anderson,F,6-7,214,Manchester Giants,Nottingham,"2012 NBA Draft, Undrafted",England
Caleb Asberry,G,6-3,165,Leicester Riders,Pflugerville (TX),"2023 NBA Draft, Undrafted",United States
T.J. Atwood,SG,6-6,203,Plymouth City Patriots,Beaumont (TX),"2020 NBA Draft, Undrafted",United States
Larry Austin,SG,6-2,182,Newcastle Eagles,Springfield (IL),"2019 NBA Draft, Undrafted",United States
Elliot Bailey,F,6-6,198,Surrey Scorchers,Horsham,"2021 NBA Draft, Undrafted",England
Oscar Baldwin,F,6-10,200,Caledonia Gladiators,Grindleford,"2021 NBA Draft, Undrafted",England
Tyrell Bellot-Green,SG,6-7,215,Plymouth City Patriots,Toronto,"2017 NBA Draft, Undrafted",Canada
Mike Bothwell,G,6-3,195,Caledonia Gladiators,Willoughby (OH),"2023 NBA Draft, Undrafted",United States
Mason Bourcier,G,6-4,200,Manchester Giants,Kelowna,"2021 NBA Draft, Undrafted",Canada
Blake Bowman,F,6-5,194,Leicester Riders,Derby,"2023 NBA Draft, Undrafted",England
Levi Bradley,SF,6-7,210,Bristol Flyers,Milwaukee (WI),"2019 NBA Draft, Undrafted",United States
Braelen Bridges,F,6-11,240,Leicester Riders,McDonough (GA),"2023 NBA Draft, Undrafted",United States
Jonny Bunyan,PG,6-0,180,Caledonia Gladiators,Falkirk,"2014 NBA Draft, Undrafted",Scotland
Trent Buttrick,F,6-8,240,Caledonia Gladiators,Bloomsburg (PA),"2022 NBA Draft, Undrafted",United States
Ethan Chargois,PF,6-9,231,Cheshire Phoenix,Tulsa (OK),"2022 NBA Draft, Undrafted",United States
Nedas Cholevinskas,F,6-4,202,Surrey Scorchers,N/A,2027 NBA Draft Eligible,EnglandLithuania
Cam Christon,G,6-6,190,Cheshire Phoenix,Allen (TX),"2023 NBA Draft, Undrafted",United States
Max Cooper,F,6-6,231,Bristol Flyers,Minnetonka (MN),"2020 NBA Draft, Undrafted",United States
Quin Cooper,F,6-5,185,Surrey Scorchers,Covington (LA),"2015 NBA Draft, Undrafted",United States
Cameron Copeland,F,6-7,185,Plymouth City Patriots,Douglasville (GA),"2023 NBA Draft, Undrafted",United States
Christian Cunningham,F,6-7,215,Bristol Flyers,Albuquerque (NM),"2019 NBA Draft, Undrafted",United States
Jules Dang Akodo,PG,6-2,190,Plymouth City Patriots,Yaounde,"2018 NBA Draft, Undrafted",CameroonEngland
Darrius Defoe,PF,6-9,220,Newcastle Eagles,London,"2006 NBA Draft, Undrafted",DominicaEngland
Sam Dekker,SF,6-9,230,London Lions,Sheboygan (WI),2015 Rnd 1 Pick 18,United States
Malcolm Delpeche,C,6-8,215,Newcastle Eagles,Wilmington (DE),"2017 NBA Draft, Undrafted",United States
Marcus Delpeche,F,6-7,215,Sheffield Sharks,Wilmington (DE),"2017 NBA Draft, Undrafted",United States
Lachlan Timothy Dent,PG,6-0,174,London Lions,Campbelltown,"2022 NBA Draft, Undrafted",Australia
Joshua Djanogly,C,6-8,215,London Lions,London,"2022 NBA Draft, Undrafted",England
Ian DuBose,G,6-4,210,Caledonia Gladiators,Durham (NC),"2021 NBA Draft, Undrafted",United States
Elvisi Dusha,G,6-2,184,Plymouth City Patriots,London,"2016 NBA Draft, Undrafted",EnglandAlbania
R.J. Eytle-Rock,GF,6-4,225,Sheffield Sharks,London,"2023 NBA Draft, Undrafted",England
Mason Faulkner,SG,6-1,190,Plymouth City Patriots,Glasgow (KY),"2022 NBA Draft, Undrafted",United States
Rodney Glasgow,PG,5-10,170,Sheffield Sharks,Olney (MD),"2014 NBA Draft, Undrafted",United States
Cam Gooden,G,5-11,175,Surrey Scorchers,Frisco (TX),"2023 NBA Draft, Undrafted",United States
Mathew Goodwin,G,6-2,-,Manchester Giants,N/A,2027 NBA Draft Eligible,England
Rowell Graham,SF,6-6,214,Bristol Flyers,London,"2016 NBA Draft, Undrafted",England
Donte Grantham,PF,6-8,215,London Lions,Martinsburg (WV),"2018 NBA Draft, Undrafted",United States
Malek Green,F,6-7,220,Sheffield Sharks,Cincinnati (OH),"2023 NBA Draft, Undrafted",United States
Quade Green,PG,6-0,170,Caledonia Gladiators,Philadelphia (PA),"2021 NBA Draft, Undrafted",United States
Tajh Green,F,6-8,215,Newcastle Eagles,Columbia (SC),"2022 NBA Draft, Undrafted",United States
Brad Greene,C,6-11,270,Bristol Flyers,Lone Pine (CA),"2022 NBA Draft, Undrafted",United States
