Year,Position,#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2012,PG,1,Cameron Rundles,LEI,35,33.7,27.7,10.5,23.2,.453,3.1,8.3,.373,3.5,6.1,.584,1.3,3.9,5.1,6.2,1.4,0.0,3.5,2.4
2012,PG,2,Paul Gause,NEW,32,25.2,26.7,9.8,21.3,.461,2.3,6.7,.345,4.8,7.0,.678,2.4,6.4,8.9,6.2,3.3,0.5,4.3,5.6
2012,PG,3,Jeremy Bell,UCP,32,36.6,25.3,9.2,21.9,.421,1.1,4.3,.245,5.9,7.6,.769,1.2,4.8,6.1,3.9,2.1,0.0,3.4,3.2
2012,PG,4,Jimmy Langhurst,OHS,27,35.5,24.9,8.3,17.6,.473,3.1,6.8,.456,5.2,5.6,.920,1.3,4.1,5.4,3.8,1.2,0.0,3.1,2.1
2012,PG,5,Adam Brown,CHE,33,38.5,24.6,9.7,21.9,.443,1.7,5.1,.338,3.4,4.1,.826,1.4,4.2,5.6,6.3,2.6,0.1,5.1,3.7
2012,PG,6,Stefan Gill,LON,29,23.1,22.0,7.8,19.8,.395,3.3,9.8,.336,3.1,3.9,.796,1.1,4.0,5.1,6.2,2.0,0.1,4.7,5.4
2012,PG,7,Sherrad Prezzie-Blue,WOR,31,37.9,20.8,7.4,16.0,.463,3.1,8.2,.375,2.9,3.7,.791,1.1,3.2,4.3,6.0,1.7,0.0,2.9,2.5
2012,PG,8,Drew Lasker,SUR,23,31.8,19.3,7.1,15.5,.458,0.7,2.9,.244,4.4,6.5,.677,2.0,6.6,8.5,3.6,2.2,0.2,3.7,3.3
2012,PG,9,D.J. Glavan,DUR,21,29.6,17.1,7.2,16.5,.435,1.2,4.3,.268,1.5,2.5,.606,1.3,3.2,4.5,4.9,1.8,0.2,2.2,2.9
2012,PG,10,Nuno Pedroso,LON,29,25.1,15.6,4.2,13.3,.313,2.2,8.1,.279,5.0,5.8,.864,0.9,5.5,6.4,6.0,1.1,0.1,3.6,4.7
2012,PG,11,Devan Bailey,MER,29,32.4,12.8,4.6,11.9,.388,0.8,3.5,.235,2.8,4.0,.692,1.6,4.3,5.9,6.7,1.6,0.3,5.2,5.8
2012,PG,12,Anthony Martin,UCP,31,16.4,12.2,4.6,13.1,.353,0.5,2.9,.161,2.5,4.0,.619,2.0,4.2,6.2,10.5,1.7,0.5,3.7,4.3
2012,SG,1,Demarius Bolds,LON,29,34.8,32.5,12.4,25.9,.480,1.9,5.7,.333,5.8,7.4,.781,2.7,5.4,8.1,6.7,3.9,0.4,6.1,4.9
2012,SG,2,Bradd Wierzbicki,LEI,35,28.7,29.3,10.9,22.9,.477,3.1,8.0,.389,4.3,5.8,.738,0.9,3.1,4.0,4.4,1.6,0.0,2.2,1.5
2012,SG,3,Joe Chapman,NEW,30,35.3,27.4,9.9,21.8,.456,4.7,12.1,.390,2.8,4.3,.653,1.2,3.8,5.0,5.4,1.0,0.2,4.8,3.0
2012,SG,4,Myles Hesson,MER,29,28.4,26.7,9.5,21.7,.438,2.3,6.8,.336,5.5,8.8,.623,6.2,7.3,13.5,2.1,2.0,1.2,5.0,5.8
2012,SG,5,Tommy Freeman,WOR,30,35.2,26.2,7.7,18.8,.409,4.5,11.7,.384,6.4,7.4,.864,1.1,4.2,5.3,3.7,0.9,0.0,3.0,3.4
2012,SG,6,Mychal Green,CAL,31,34.2,25.5,9.3,20.9,.444,2.6,7.1,.369,4.3,5.5,.785,2.3,6.1,8.3,6.2,2.0,0.4,3.8,3.0
2012,SG,7,Martelle McLemore,SUR,32,31.5,24.6,9.5,23.6,.404,2.1,8.0,.268,3.4,5.1,.664,3.7,4.9,8.5,3.1,1.9,0.2,2.8,4.7
2012,SG,8,Julius Joseph,SUR,30,23.4,21.1,7.2,18.4,.390,1.9,8.3,.231,4.9,7.2,.676,2.1,3.8,6.0,2.5,1.0,0.1,2.9,4.6
2012,SG,9,Danny Huffor,CAL,33,25.9,21.1,8.8,20.4,.430,1.4,6.0,.234,2.2,2.9,.750,2.5,5.9,8.4,1.3,2.5,0.2,2.4,4.0
2012,SG,10,Paul Elderkin,DUR,27,27.2,21.0,7.8,21.8,.360,3.3,10.7,.311,2.0,2.9,.689,1.6,3.3,5.0,4.6,2.4,0.2,3.8,5.0
2012,SG,11,Matthew Otten,MER,29,26.5,20.6,8.5,20.5,.416,1.7,5.9,.287,1.8,3.1,.580,2.9,5.1,8.0,3.0,2.1,0.2,4.5,4.7
2012,SG,12,Ralph Bucci,DUR,29,29.1,18.5,6.8,15.2,.447,2.4,6.7,.364,2.4,3.2,.768,3.0,7.9,10.9,6.3,2.1,0.2,2.8,2.4
2012,SG,13,Christopher Pearce,DUR,28,15.3,18.5,7.5,18.1,.416,1.5,4.9,.295,2.0,3.9,.514,4.0,3.3,7.3,2.5,2.5,0.0,1.7,2.9
2012,SG,14,James Jones,UCP,32,27.1,18.5,7.3,17.0,.430,2.9,8.8,.327,1.0,1.4,.720,1.5,4.4,5.9,6.0,1.5,0.2,2.7,3.4
2012,SG,15,James Griffiths,MER,27,15.0,15.0,5.4,14.0,.390,1.3,6.4,.204,2.8,3.7,.774,2.1,3.7,5.8,3.0,1.2,0.0,3.1,7.2
2012,SG,16,Carl Josey,LON,27,17.5,14.9,5.8,14.3,.407,2.0,7.3,.278,1.2,3.0,.414,1.7,3.9,5.6,2.9,1.6,0.4,3.2,4.7
2012,SG,17,Zachariah Gachette,OHS,32,15.5,14.8,6.5,17.3,.374,0.4,2.6,.148,1.4,3.0,.484,2.4,4.2,6.7,1.7,0.9,1.2,4.2,5.9
2012,SG,18,Andrew Bridge,NEW,35,22.9,14.1,4.9,11.6,.425,1.7,5.0,.345,2.5,3.2,.792,2.2,5.7,7.9,2.3,2.6,0.4,3.1,4.3
2012,SG,19,Keith Page,CHE,26,19.9,12.1,4.1,12.1,.338,0.7,4.5,.163,3.2,4.5,.708,1.2,3.1,4.3,3.5,1.5,0.1,3.4,5.7
2012,SG,20,Fabulous Flournoy,NEW,35,29.1,9.2,3.8,8.2,.466,0.0,0.2,.000,1.5,2.4,.627,3.5,7.4,10.9,6.8,1.8,1.2,4.0,4.2
2012,SG,21,Colin Sing,OHS,31,17.9,8.2,3.3,9.4,.349,0.6,3.1,.194,1.0,1.6,.667,3.8,7.3,11.1,1.5,1.0,0.4,2.4,5.5
2012,SF,1,Michael Ojo,UCP,27,25.4,25.0,8.3,19.9,.419,3.9,10.2,.384,4.4,4.9,.900,2.0,4.5,6.5,1.3,1.2,0.1,2.6,5.0
2012,SF,2,Colin O'Reilly,CHE,30,39.8,21.3,8.2,18.3,.451,2.5,7.0,.356,2.3,3.1,.753,3.4,6.8,10.1,4.5,1.6,0.3,3.1,2.6
2012,SF,3,Ayron Hardy,LEI,35,34.2,21.0,9.0,13.7,.657,0.1,0.6,.125,2.9,4.0,.730,3.3,8.4,11.7,7.3,3.9,1.5,3.5,3.6
2012,SF,4,Lehmon Colbert,UCP,29,31.8,19.4,8.0,16.0,.502,0.7,3.3,.203,2.8,5.7,.486,3.6,7.3,10.9,4.8,0.6,0.5,2.7,3.6
2012,SF,5,Marlon Capers,MER,27,20.9,19.2,8.6,17.2,.500,0.1,0.4,.200,2.0,2.9,.676,3.0,5.5,8.5,1.7,0.8,0.5,2.0,6.0
2012,SF,6,Andrew Wedemire,CAL,33,27.4,18.6,6.8,15.0,.457,1.3,4.5,.298,3.5,4.5,.776,4.0,6.3,10.3,2.8,1.1,0.2,3.0,5.5
2012,SF,7,Sterling Davis,CAL,30,27.6,15.3,5.5,14.7,.375,1.5,4.7,.321,2.7,3.9,.691,2.4,5.1,7.5,3.0,1.3,0.5,2.7,4.6
2012,SF,8,Carlos Fernandez,WOR,30,22.1,13.5,5.7,14.9,.380,0.5,2.9,.175,1.7,3.8,.442,3.1,5.9,9.0,6.1,2.1,0.2,3.7,3.8
2012,SF,9,Atiba Lyons,OHS,24,21.8,9.7,3.7,10.8,.339,0.2,1.7,.105,2.2,4.6,.480,2.2,4.4,6.6,3.0,1.0,0.4,3.1,4.9
