Year_x,Position,#,Player,Team_x,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year_y,Pos,HT,WT,Team_y,Birth City,Draft Status,Nationality,League
2019,G,2,Scottie Wilbekin,MAC,33.0,29.875,34.375,11.5,26.75,0.54,6.5,16.875,0.47875,4.75,5.75,1.03625,1.375,4.75,6.125,9.625,3.0,0.0,4.75,3.625,2019,G,6-2,176,Maccabi FOX Tel Aviv,Gainesville (FL),"2014 NBA Draft, Undrafted",United StatesTurkey,Israeli BSL
2020,G,3,Scottie Wilbekin,MAC,27.0,31.625,30.75,10.0,24.0,0.5175,6.625,17.125,0.4875,4.25,4.75,1.11125,0.5,4.625,5.25,11.75,2.5,0.0,5.25,4.0,2019,G,6-2,176,Maccabi FOX Tel Aviv,Gainesville (FL),"2014 NBA Draft, Undrafted",United StatesTurkey,Israeli BSL
2021,G,2,Scottie Wilbekin,MAC,27.0,32.25,38.0,12.75,28.75,0.55375,7.375,17.625,0.525,5.125,6.125,1.05625,0.375,5.25,5.625,9.0,2.5,0.0,4.25,3.125,2019,G,6-2,176,Maccabi FOX Tel Aviv,Gainesville (FL),"2014 NBA Draft, Undrafted",United StatesTurkey,Israeli BSL
2022,G,7,Scottie Wilbekin,MAC,30.0,35.375,28.375,8.5,23.375,0.45875,5.25,15.875,0.4125,6.0,6.875,1.08375,0.375,5.0,5.375,8.125,2.375,0.125,2.625,4.0,2019,G,6-2,176,Maccabi FOX Tel Aviv,Gainesville (FL),"2014 NBA Draft, Undrafted",United StatesTurkey,Israeli BSL
2019,G,3,John DiBartolomeo,MAC,37.0,28.0,30.75,9.375,21.75,0.54125,4.875,13.75,0.4425,7.0,7.875,1.1125,2.125,6.125,8.25,7.5,3.625,0.375,3.875,5.0,2019,G,6-0,175,Maccabi FOX Tel Aviv,Westport (CT),"2013 NBA Draft, Undrafted",United StatesIsrael,Israeli BSL
2021,G,20,John DiBartolomeo,MAC,34.0,21.625,19.375,6.125,18.125,0.42375,3.625,11.5,0.3875,3.625,4.0,1.12125,2.0,5.625,7.625,7.75,2.625,0.125,3.375,7.25,2019,G,6-0,175,Maccabi FOX Tel Aviv,Westport (CT),"2013 NBA Draft, Undrafted",United StatesIsrael,Israeli BSL
2022,G,13,John DiBartolomeo,MAC,32.0,23.375,23.25,7.125,17.0,0.5225,4.875,12.5,0.49,4.125,4.75,1.09,1.125,6.875,8.0,6.625,2.75,0.25,2.5,5.375,2019,G,6-0,175,Maccabi FOX Tel Aviv,Westport (CT),"2013 NBA Draft, Undrafted",United StatesIsrael,Israeli BSL
2023,G,19,John DiBartolomeo,MAC,34.0,26.375,22.375,7.0,17.875,0.4875,4.75,12.875,0.4549999999999999,3.75,4.625,1.0225,2.125,6.0,8.125,6.0,2.875,0.0,2.25,6.875,2019,G,6-0,175,Maccabi FOX Tel Aviv,Westport (CT),"2013 NBA Draft, Undrafted",United StatesIsrael,Israeli BSL
2019,G,6,J'Covan Brown,HAPJ,29.0,26.5,29.125,10.0,25.5,0.49375,4.25,12.5,0.4299999999999999,4.75,5.625,1.05625,1.5,5.125,6.75,12.875,1.375,0.125,5.375,7.0,2019,G,6-1,197,Hapoel Bank Yahav Jerusalem,Port Arthur (TX),"2012 NBA Draft, Undrafted",United States,Israeli BSL
2020,G,1,J'Covan Brown,HAPJ,17.0,32.75,35.375,10.5,24.625,0.5325,4.875,11.75,0.5175,9.5,11.375,1.04125,1.375,5.25,6.625,13.5,2.0,0.25,4.375,5.0,2019,G,6-1,197,Hapoel Bank Yahav Jerusalem,Port Arthur (TX),"2012 NBA Draft, Undrafted",United States,Israeli BSL
2022,G,8,J'Covan Brown,HAP,24.0,38.125,27.875,9.875,21.125,0.58125,4.0,9.875,0.5062500000000001,4.125,4.875,1.08,0.25,4.625,4.875,11.375,2.75,0.125,4.375,4.625,2019,G,6-1,197,Hapoel Bank Yahav Jerusalem,Port Arthur (TX),"2012 NBA Draft, Undrafted",United States,Israeli BSL
2023,G,9,J'Covan Brown,HAP,32.0,35.375,28.625,9.0,19.625,0.57375,4.25,10.25,0.51625,6.375,7.25,1.10125,1.125,6.75,7.875,14.0,2.0,0.25,3.875,4.625,2019,G,6-1,197,Hapoel Bank Yahav Jerusalem,Port Arthur (TX),"2012 NBA Draft, Undrafted",United States,Israeli BSL
2019,G,8,Paul Stoll,ASH,30.0,41.625,27.625,8.25,20.875,0.4925,5.375,15.25,0.4399999999999999,5.75,6.75,1.0625,1.625,4.375,6.125,13.875,5.25,0.0,7.875,5.75,2019,G,5-11,175,Maccabi Ashdod,Lansing (MI),"2008 NBA Draft, Undrafted",United StatesMexico,Israeli BSL
2020,G,4,Paul Stoll,ASH,16.0,41.375,30.375,8.625,21.25,0.505,6.0,16.375,0.4575,7.125,8.875,1.01,1.125,5.5,6.625,15.875,4.25,0.375,7.0,6.25,2019,G,5-11,175,Maccabi Ashdod,Lansing (MI),"2008 NBA Draft, Undrafted",United StatesMexico,Israeli BSL
2021,G,17,Paul Stoll,HAP,13.0,31.0,22.75,6.0,16.75,0.4449999999999999,5.25,14.375,0.4549999999999999,5.625,6.375,1.1025,0.75,4.625,5.375,13.0,3.125,0.125,6.5,9.875,2019,G,5-11,175,Maccabi Ashdod,Lansing (MI),"2008 NBA Draft, Undrafted",United StatesMexico,Israeli BSL
2019,G,10,Raviv Limonad,HAP,34.0,34.0,24.75,8.75,20.5,0.53,2.125,5.75,0.4549999999999999,5.375,7.0,0.9575,1.625,4.25,5.875,11.5,1.625,0.125,5.5,5.0,2019,G,6-3,195,Ironi Nes Ziona,Natanya,"2006 NBA Draft, Undrafted",Israel,Israeli BSL
2020,G,21,Raviv Limonad,IRO,31.0,33.0,21.625,7.75,19.375,0.5025000000000001,1.75,5.75,0.38,4.25,5.375,0.98,1.0,4.0,5.0,11.5,2.0,0.0,5.75,5.5,2019,G,6-3,195,Ironi Nes Ziona,Natanya,"2006 NBA Draft, Undrafted",Israel,Israeli BSL
2021,G,34,Raviv Limonad,IRO,28.0,18.25,10.875,4.0,12.875,0.38375,0.75,4.0,0.23125,2.25,3.5,0.78125,1.75,4.375,6.125,10.125,2.0,0.125,4.75,7.0,2019,G,6-3,195,Ironi Nes Ziona,Natanya,"2006 NBA Draft, Undrafted",Israel,Israeli BSL
2019,G,11,Tamir Blatt,HAPJ,36.0,31.25,23.75,7.75,20.0,0.48875,5.875,15.0,0.49125,2.25,3.375,0.83375,0.75,3.125,4.0,12.875,2.0,0.0,5.875,3.25,2019,G,6-3,180,Hapoel Bank Yahav Jerusalem,Netanya,"2019 NBA Draft, Undrafted",Israel,Israeli BSL
2020,G,12,Tamir Blatt,HAPJ,27.0,29.375,25.25,8.375,19.625,0.535,6.5,15.25,0.53625,1.875,2.5,0.92625,0.625,4.25,4.875,14.875,1.75,0.0,4.5,3.0,2019,G,6-3,180,Hapoel Bank Yahav Jerusalem,Netanya,"2019 NBA Draft, Undrafted",Israel,Israeli BSL
2021,G,15,Tamir Blatt,HAPJ,31.0,35.625,25.625,8.0,20.75,0.48,5.25,14.0,0.475,4.375,5.5,1.01625,0.5,5.125,5.625,16.625,1.875,0.125,5.375,3.375,2019,G,6-3,180,Hapoel Bank Yahav Jerusalem,Netanya,"2019 NBA Draft, Undrafted",Israel,Israeli BSL
2019,G,12,Iftah Ziv,NAH,33.0,34.0,23.625,8.25,21.25,0.48875,2.25,7.25,0.37875,4.875,7.0,0.8575,1.75,8.0,9.75,8.875,3.625,0.75,6.0,7.375,2019,G,6-1,190,Hapoel Galil Gilboa,Haifa,"2017 NBA Draft, Undrafted",Israel,Israeli BSL
2020,G,9,Iftah Ziv,GAL,33.0,33.625,26.375,9.75,22.625,0.53875,1.125,6.0,0.24125,5.75,8.5,0.8599999999999999,1.875,6.125,8.0,9.125,3.875,0.5,4.875,6.875,2019,G,6-1,190,Hapoel Galil Gilboa,Haifa,"2017 NBA Draft, Undrafted",Israel,Israeli BSL
2021,G,13,Iftah Ziv,GAL,34.0,34.375,27.25,9.0,21.5,0.52125,2.625,7.875,0.41625,6.625,8.875,0.9425,2.0,8.75,10.75,9.625,4.25,0.25,6.125,5.25,2019,G,6-1,190,Hapoel Galil Gilboa,Haifa,"2017 NBA Draft, Undrafted",Israel,Israeli BSL
2022,G,16,Iftah Ziv,MAC,32.0,22.375,20.625,6.875,20.125,0.4299999999999999,1.875,8.75,0.2675,4.875,6.375,0.9625,2.25,7.25,9.5,9.875,3.875,0.375,4.375,7.75,2019,G,6-1,190,Hapoel Galil Gilboa,Haifa,"2017 NBA Draft, Undrafted",Israel,Israeli BSL
2023,G,14,Iftah Ziv,MAC,32.0,20.625,25.0,7.875,19.75,0.49875,3.75,9.875,0.47375,5.625,6.875,1.02125,2.875,7.5,10.375,12.25,4.5,0.5,6.75,5.0,2019,G,6-1,190,Hapoel Galil Gilboa,Haifa,"2017 NBA Draft, Undrafted",Israel,Israeli BSL
2019,G,13,"Lenzelle Smith, Jr.",EIL,15.0,40.625,22.75,8.25,18.0,0.57375,2.25,7.25,0.38125,4.125,5.5,0.91625,1.5,7.0,8.5,10.375,3.0,0.125,4.25,4.25,2019,G,6-4,210,Hapoel Tel Aviv,Zion (IL),"2014 NBA Draft, Undrafted",United States,Israeli BSL
2020,G,19,"Lenzelle Smith, Jr.",HAP,17.0,37.75,21.875,7.625,19.625,0.48375,3.0,10.0,0.3775,3.625,6.0,0.76,1.875,5.0,6.875,8.25,2.125,0.0,3.875,4.375,2019,G,6-4,210,Hapoel Tel Aviv,Zion (IL),"2014 NBA Draft, Undrafted",United States,Israeli BSL
2019,G,14,Amit Gershon,BEER,36.0,18.875,22.75,6.5,20.0,0.4075,5.75,16.0,0.44875,3.875,4.375,1.12125,2.75,3.125,5.875,4.0,3.125,0.25,2.875,7.625,2019,G,6-3,194,Hapoel Galil Gilboa,Hadera,"2017 NBA Draft, Undrafted",Israel,Israeli BSL
2020,G,26,Amit Gershon,GAL,29.0,22.5,12.625,4.375,12.75,0.4275,3.125,9.5,0.40625,0.75,0.875,1.09375,1.375,5.625,7.0,3.625,2.125,0.375,2.25,8.625,2019,G,6-3,194,Hapoel Galil Gilboa,Hadera,"2017 NBA Draft, Undrafted",Israel,Israeli BSL
2021,G,18,Amit Gershon,GAL,36.0,18.0,20.5,6.5,16.875,0.4825,5.0,13.75,0.4549999999999999,2.5,2.875,1.1,0.75,3.625,4.25,2.5,1.0,0.375,2.5,7.25,2019,G,6-3,194,Hapoel Galil Gilboa,Hadera,"2017 NBA Draft, Undrafted",Israel,Israeli BSL
2022,G,18,Amit Gershon,HAPJ,28.0,14.625,22.0,7.0,16.25,0.53375,5.0,10.625,0.5825,3.125,3.5,1.11875,1.25,3.25,4.625,2.875,1.25,0.375,4.25,8.625,2019,G,6-3,194,Hapoel Galil Gilboa,Hadera,"2017 NBA Draft, Undrafted",Israel,Israeli BSL
2023,G,24,Amit Gershon,EIL,27.0,31.5,18.625,6.0,15.25,0.49125,3.625,10.0,0.45375,3.125,4.0,0.9725,0.5,5.25,5.75,5.0,1.625,0.0,4.0,6.875,2019,G,6-3,194,Hapoel Galil Gilboa,Hadera,"2017 NBA Draft, Undrafted",Israel,Israeli BSL
2019,G,15,Chanan Colman,BEER,35.0,34.0,20.75,6.625,16.5,0.49875,5.125,12.5,0.5087499999999999,2.375,3.125,0.95,2.125,4.375,6.375,5.75,3.25,0.25,3.875,7.125,2020,G,6-2,202,Hapoel Haifa,Gladsaxe,"2006 NBA Draft, Undrafted",DenmarkIsrael,Israeli BSL
2021,G,29,Chanan Colman,HH,17.0,22.25,16.875,5.625,11.875,0.58375,3.625,9.125,0.48875,2.125,2.125,1.25,1.25,3.75,5.0,6.0,1.375,0.375,2.625,9.0,2020,G,6-2,202,Hapoel Haifa,Gladsaxe,"2006 NBA Draft, Undrafted",DenmarkIsrael,Israeli BSL
2019,G,16,Frederic Bourdillon,EIL,37.0,29.25,20.75,7.0,15.625,0.55875,3.875,10.125,0.48,2.875,3.75,0.93125,1.25,4.25,5.5,3.625,2.75,0.375,2.375,6.125,2019,G,6-4,190,Maccabi FOX Tel Aviv,Grasse,"2013 NBA Draft, Undrafted",France,Israeli BSL
2020,G,29,Frederic Bourdillon,MRL,12.0,31.125,17.25,5.875,15.0,0.48375,3.625,10.625,0.425,2.0,3.625,0.6950000000000001,1.75,3.25,5.0,6.625,3.625,0.625,2.25,6.625,2019,G,6-4,190,Maccabi FOX Tel Aviv,Grasse,"2013 NBA Draft, Undrafted",France,Israeli BSL
2021,G,31,Frederic Bourdillon,HAP,34.0,29.5,16.375,4.75,12.25,0.4875,2.5,7.625,0.405,4.375,5.625,0.97,1.0,6.375,7.375,6.0,3.375,0.25,2.875,7.0,2019,G,6-4,190,Maccabi FOX Tel Aviv,Grasse,"2013 NBA Draft, Undrafted",France,Israeli BSL
2022,G,22,Frederic Bourdillon,HAP,30.0,23.375,16.125,4.375,11.625,0.47,3.25,9.25,0.4312499999999999,4.125,4.5,1.16125,1.125,5.0,6.25,4.25,1.875,0.25,1.875,8.125,2019,G,6-4,190,Maccabi FOX Tel Aviv,Grasse,"2013 NBA Draft, Undrafted",France,Israeli BSL
2023,G,28,Frederic Bourdillon,HAP,20.0,20.5,13.125,4.375,13.375,0.41125,3.25,11.5,0.3575,1.125,1.25,1.07125,1.875,5.5,7.375,3.875,3.25,0.375,1.625,7.875,2019,G,6-4,190,Maccabi FOX Tel Aviv,Grasse,"2013 NBA Draft, Undrafted",France,Israeli BSL
