Year,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
2019,Amit Abo,G,6-0,180,Maccabi Ashdod,Kfar Saba,"2021 NBA Draft, Undrafted",Israel
2019,Tomer Abramovitch,G,6-0,-,Ironi Nes Ziona,N/A,"2023 NBA Draft, Undrafted",Israel
2019,Mohamed Abuarisha,GF,6-7,200,Hapoel Beer Sheva,Hadera,"2021 NBA Draft, Undrafted",Israel
2019,Quincy Acy,F,6-7,240,Maccabi FOX Tel Aviv,Tyler (TX),2012 Rnd 2 Pick 7,United States
2019,Raz Adam,F,6-3,-,Hapoel Tel Aviv,N/A,"2021 NBA Draft, Undrafted",Israel
2019,Jeff Adrien,F,6-7,245,Ironi Nahariya,Brookline (MA),"2009 NBA Draft, Undrafted",United States
2019,Caleb Agada,GF,6-3,209,Hapoel Beer Sheva,Ottawa,"2016 NBA Draft, Undrafted",CanadaNigeria
2019,Amit Aharoni,G,6-1,-,Maccabi FOX Tel Aviv,N/A,2024 NBA Draft Eligible,Israel
2019,Noam Akrish,G,6-7,198,Ironi Nahariya,N/A,"2023 NBA Draft, Undrafted",Israel
2019,Eidan Alber,G,6-5,191,Ironi Nes Ziona,N/A,"2022 NBA Draft, Undrafted",Israel
2019,Joe Alexander,F,6-8,230,Hapoel Unet Holon,Kaohsiung,2008 Rnd 1 Pick 8,United StatesIsrael
2019,Ivan Almeida,GF,6-6,215,Ironi Nahariya,Praia,"2011 NBA Draft, Undrafted",Cape VerdePortugal
2019,Amit Alon,G,6-1,-,Maccabi Bazan Haifa,N/A,"2022 NBA Draft, Undrafted",Israel
2019,Ben Altit,FC,6-8,190,Maccabi Rishon Lezion,Tel Aviv,"2015 NBA Draft, Undrafted",Israel
2019,Shahar Amir,G,6-2,-,Hapoel Eilat,N/A,"2021 NBA Draft, Undrafted",Israel
2019,Gil Amitay,G,6-6,200,Maccabi Bazan Haifa,Petah Tikva,"2011 NBA Draft, Undrafted",Israel
2019,Lotan Amsalem,F,6-7,-,Hapoel Tel Aviv,N/A,"2023 NBA Draft, Undrafted",Israel
2019,Eric Anderson,FC,6-8,235,Maccabi Bazan Haifa,Newark (NJ),"2015 NBA Draft, Undrafted",United States
2019,Andrew Andrews,G,6-2,200,Maccabi Bazan Haifa,Portland (OR),"2016 NBA Draft, Undrafted",United States
2019,Adam Ariel,F,6-5,187,Maccabi Rishon Lezion,Jerusalem,"2016 NBA Draft, Undrafted",Israel
2019,Netanel Artzi,F,6-6,196,Hapoel Galil Gilboa,Haifa,"2019 NBA Draft, Undrafted",Israel
2019,Tomer Asayag,G,6-1,-,Maccabi Bazan Haifa,N/A,"2021 NBA Draft, Undrafted",Israel
2019,Yarden Ashkenazi,G,6-4,195,Hapoel Eilat,Eilat,2026 NBA Draft Eligible,Israel
2019,Yonatan Atias,C,6-9,-,Maccabi FOX Tel Aviv,N/A,"2023 NBA Draft, Undrafted",Israel
2019,Deni Avdija,G,6-9,210,Maccabi FOX Tel Aviv,Beit Zera,2020 Rnd 1 Pick 9,Israel
2019,Noam Avivi,F,6-9,224,Maccabi Rishon Lezion,Tel Aviv,"2021 NBA Draft, Undrafted",Israel
2019,Itay BInman,G,5-10,-,Hapoel Tel Aviv,N/A,"2023 NBA Draft, Undrafted",Israel
2019,Niv Baloul,F,6-8,198,Maccabi Rishon Lezion,N/A,"2020 NBA Draft, Undrafted",Israel
2019,Amir Bell,G,6-4,190,Hapoel Beer Sheva,East Brunswick (NJ),"2018 NBA Draft, Undrafted",United States
2019,Omer Ben David,G,6-2,-,Hapoel Tel Aviv,N/A,"2023 NBA Draft, Undrafted",Israel
2019,Zuf Ben Moshe,G,6-4,190,Maccabi Ashdod,Tel Aviv,"2019 NBA Draft, Undrafted",Israel
2019,Nave Ben Shemen,F,6-7,-,Hapoel Eilat,N/A,"2022 NBA Draft, Undrafted",Israel
2019,Ofek Ben Yaakov,F,6-7,202,Ironi Nahariya,N/A,"2016 NBA Draft, Undrafted",Israel
2019,Avi Ben-Chimol,G,6-5,198,Hapoel Eilat,Kfar Saba,"2007 NBA Draft, Undrafted",Israel
2019,ZIv Ben-Zvi,G,6-2,-,Hapoel Eilat,Tel Aviv,"2014 NBA Draft, Undrafted",Israel
2019,Gil Beni,G,6-2,174,Hapoel Galil Gilboa,Tel Aviv,"2020 NBA Draft, Undrafted",Israel
2019,Tarik Black,F,6-9,250,Maccabi FOX Tel Aviv,Memphis (TN),"2014 NBA Draft, Undrafted",United States
2019,Tamir Blatt,G,6-3,180,Hapoel Bank Yahav Jerusalem,Netanya,"2019 NBA Draft, Undrafted",Israel
2019,Oz Blayzer,F,6-7,208,Maccabi Rishon Lezion,Tiberias,"2014 NBA Draft, Undrafted",Israel
2019,Carmel Bouchman,F,6-8,215,Maccabi Ashdod,Tel Aviv,"2013 NBA Draft, Undrafted",Israel
2019,Frederic Bourdillon,G,6-4,190,Maccabi FOX Tel Aviv,Grasse,"2013 NBA Draft, Undrafted",France
2019,Suleiman Braimoh,F,6-8,229,Hapoel Bank Yahav Jerusalem,Benin City,"2011 NBA Draft, Undrafted",NigeriaUnited States
2019,Oded David Brandwein,G,6-1,182,Maccabi Ashdod,Petah Tikva,"2010 NBA Draft, Undrafted",Israel
2019,Taylor Braun,G,6-7,210,Hapoel Beer Sheva,Newberg (OR),"2014 NBA Draft, Undrafted",United States
2019,Michael Brisker,G,6-2,176,Hapoel Tel Aviv,Tel Aviv,"2020 NBA Draft, Undrafted",Israel
2019,Gilbert Brown,F,6-6,215,Hapoel Eilat,Harrisburg (PA),"2011 NBA Draft, Undrafted",United States
2019,J'Covan Brown,G,6-1,197,Hapoel Bank Yahav Jerusalem,Port Arthur (TX),"2012 NBA Draft, Undrafted",United States
2019,Evan Bruinsma,F,6-8,214,Hapoel Beer Sheva,New Era (MI),"2014 NBA Draft, Undrafted",United States
2019,Elijah Bryant,G,6-5,210,Maccabi FOX Tel Aviv,Hoschton (GA),"2018 NBA Draft, Undrafted",United States
2019,Da'Sean Butler,F,6-7,230,Hapoel Beer Sheva,Newark (NJ),2010 Rnd 2 Pick 12,United States
2019,Angelo Caloiaro,F,6-8,225,Maccabi FOX Tel Aviv,San Jose (CA),"2012 NBA Draft, Undrafted",United States
2019,Jordan Caroline,F,6-7,235,Hapoel Eilat,Champaign (IL),"2019 NBA Draft, Undrafted",United States
2019,Lior Carreira,F,6-6,222,Ironi Nes Ziona,Kfar Saba,"2019 NBA Draft, Undrafted",Israel
2019,Ben Carter,F,6-9,230,Hapoel Eilat,Las Vegas (NV),"2018 NBA Draft, Undrafted",United StatesIsrael
2019,Omri Casspi,F,6-9,225,Maccabi FOX Tel Aviv,Holon,2009 Rnd 1 Pick 23,Israel
2019,Troy Caupain,G,6-4,210,Hapoel Unet Holon,Midlothian (VA),"2017 NBA Draft, Undrafted",United States
2019,T.J. Cline,F,6-9,230,Hapoel Unet Holon,Plano (TX),"2017 NBA Draft, Undrafted",United StatesIsrael
2019,Sandy Cohen III,G,6-6,200,Maccabi FOX Tel Aviv,Green Bay (WI),"2019 NBA Draft, Undrafted",United States
2019,Adi Cohen,G,5-10,176,Hapoel Bank Yahav Jerusalem,N/A,"2015 NBA Draft, Undrafted",Israel
2019,Jake Cohen,FC,6-10,235,Maccabi FOX Tel Aviv,Berwyn (PA),"2013 NBA Draft, Undrafted",United StatesIsrael
2019,Tomer Cohen,G,6-3,-,Ironi Nahariya,N/A,"2019 NBA Draft, Undrafted",Israel
2019,David Cohn,G,6-2,168,Maccabi Bazan Haifa,Elmhurst (IL),"2018 NBA Draft, Undrafted",United States
2019,Al'lonzo Coleman,F,6-8,255,Maccabi Ashdod,Charlotte (NC),"2012 NBA Draft, Undrafted",United States
2019,Shavon Coleman,F,6-5,195,Hapoel Unet Holon,Thibodaux (LA),"2014 NBA Draft, Undrafted",United States
2019,Tim Coleman,F,6-5,210,Hapoel Galil Gilboa,Union (NJ),"2017 NBA Draft, Undrafted",United States
2019,Nestor Colmenares,F,6-8,235,Maccabi Bazan Haifa,Carabobo,"2010 NBA Draft, Undrafted",Venezuela
2019,Daequan Cook,G,6-5,205,Ironi Nes Ziona,Dayton (OH),2007 Rnd 1 Pick 21,United States
2019,Or Cornelius,F,6-6,198,Hapoel Beer Sheva,N/A,"2019 NBA Draft, Undrafted",Israel
2019,Rom Cornelius,G,6-6,-,Hapoel Beer Sheva,N/A,"2015 NBA Draft, Undrafted",Israel
2019,Isaiah Cousins,G,6-4,191,Hapoel Bank Yahav Jerusalem,Mount Vernon (NY),2016 Rnd 2 Pick 29,United States
2019,Cor-J Cox,GF,6-5,190,Maccabi Rishon Lezion,Washington (NC),"2012 NBA Draft, Undrafted",United States
2019,Zac Cuthbertson,F,6-7,185,Maccabi Ashdod,Pleasant Hill (NC),"2019 NBA Draft, Undrafted",United States
2019,Harol Dadon,G,6-4,-,Hapoel Unet Holon,N/A,"2020 NBA Draft, Undrafted",Israel
2019,Kyvon Davenport,F,6-8,215,Hapoel Eilat,Gainesville (GA),"2019 NBA Draft, Undrafted",United States
2019,Ido Davidi,G,6-4,198,Hapoel Eilat,N/A,"2018 NBA Draft, Undrafted",Israel
2019,Jordan Davis,G,6-2,185,Hapoel Tel Aviv,Las Vegas (NV),"2019 NBA Draft, Undrafted",United StatesAzerbaijan
2019,Paul Delaney,G,6-2,220,Maccabi Ashdod,Decatur (GA),"2009 NBA Draft, Undrafted",United States
2019,Angel Delgado,C,6-10,230,Hapoel Unet Holon,Bajos de Haina,"2018 NBA Draft, Undrafted",Dominican Republic
2019,John DiBartolomeo,G,6-0,175,Maccabi FOX Tel Aviv,Westport (CT),"2013 NBA Draft, Undrafted",United StatesIsrael
2019,Noah Dickerson,F,6-8,245,Maccabi Ashdod,Atlanta (GA),"2019 NBA Draft, Undrafted",United States
2019,Tyler Dorsey,G,6-5,183,Maccabi FOX Tel Aviv,Los Angeles (CA),2017 Rnd 2 Pick 11,United StatesGreece
2019,Guy Dotan,G,5-10,-,Hapoel Bank Yahav Jerusalem,Jerusalem,"2013 NBA Draft, Undrafted",Israel
2019,Stu Douglass,G,6-3,185,Maccabi Ashdod,Carmel (IN),"2012 NBA Draft, Undrafted",United States
2019,Noam Shimon Dovrat,G,6-5,-,Maccabi Rishon Lezion,N/A,2024 NBA Draft Eligible,Israel
2019,Milton Doyle,G,6-4,185,Hapoel Eilat,Chicago (IL),"2017 NBA Draft, Undrafted",United States
2019,Dolev Drapic,G,6-3,-,Maccabi Ashdod,N/A,"2014 NBA Draft, Undrafted",Israel
2019,Tal Michael Dunne,G,6-6,231,Ironi Nes Ziona,Aberystwyth,"2009 NBA Draft, Undrafted",WalesIsrael
2019,Noam Edri,F,6-6,-,Hapoel Eilat,Eilat,2027 NBA Draft Eligible,Israel
2019,Isaiah Eisendorf,F,6-6,220,Hapoel Tel Aviv,Los Angeles (CA),"2018 NBA Draft, Undrafted",United States
2019,Ben Eisenhardt,F,6-10,215,Hapoel Beer Sheva,Bainbridge Island (WA),"2014 NBA Draft, Undrafted",United States
2019,Lior Eliyahu,F,6-7,225,Maccabi Ashdod,Ramat Gan,2006 Rnd 2 Pick 14,Israel
2019,James Feldeine,G,6-4,190,Hapoel Bank Yahav Jerusalem,New York (NY),"2010 NBA Draft, Undrafted",United StatesDominican Republic
2019,Anthony Fisher,G,6-3,185,Maccabi Bazan Haifa,Alpharetta (GA),"2008 NBA Draft, Undrafted",United States
2019,Corey Fisher,G,6-1,200,Ironi Nes Ziona,Bronx (NY),"2011 NBA Draft, Undrafted",United States
2019,Ido Flaisher,C,6-10,230,Hapoel Galil Gilboa,Tel Aviv,"2018 NBA Draft, Undrafted",Israel
2019,Marcus Foster,G,6-3,205,Hapoel Unet Holon,Wichita Falls (TX),"2018 NBA Draft, Undrafted",United States
2019,Josh Freund,F,6-7,244,Maccabi Ashdod,Charlotte (NC),"2019 NBA Draft, Undrafted",United States
2019,Joe Furstinger,F,6-10,225,Hapoel Beer Sheva,Rancho Santa Margarita (CA),"2018 NBA Draft, Undrafted",United States
2019,Tony Gaffney,F,6-8,215,Ironi Nahariya,Berkley (MA),"2009 NBA Draft, Undrafted",United States
2019,Ori Garmizo,F,6-8,-,Hapoel Galil Gilboa,N/A,"2016 NBA Draft, Undrafted",Israel
2019,Jamal Geli,GF,6-5,218,Hapoel Galil Gilboa,Beaumont (TX),"2014 NBA Draft, Undrafted",United States
2019,Amit Gershon,G,6-3,194,Hapoel Galil Gilboa,Hadera,"2017 NBA Draft, Undrafted",Israel
2019,Tomer Ginat,F,6-6,215,Hapoel Tel Aviv,Nahariya,"2016 NBA Draft, Undrafted",Israel
2019,Dor Goldenberg,F,6-8,-,Maccabi Ashdod,N/A,"2017 NBA Draft, Undrafted",Israel
2019,Ofir Goldsztejn,F,6-8,220,Ironi Nes Ziona,N/A,"2023 NBA Draft, Undrafted",Israel
2019,Larry Gordon,GF,6-5,216,Hapoel Eilat,Pomona (CA),"2009 NBA Draft, Undrafted",United States
2019,Jerai Grant,FC,6-8,220,Maccabi Bazan Haifa,Bowie (MD),"2011 NBA Draft, Undrafted",United States
2019,Geoffrey Gray,G,6-2,-,Hapoel Eilat,Newton (MA),"2019 NBA Draft, Undrafted",United States
2019,Malcolm Griffin,G,6-4,210,Hapoel Tel Aviv,Chicago (IL),"2014 NBA Draft, Undrafted",United States
2019,Golan Gutt,G,6-5,206,Ironi Nes Ziona,Ramat Gan,"2016 NBA Draft, Undrafted",Israel
2019,Hen Halfon,F,6-5,-,Maccabi Rishon Lezion,N/A,"2018 NBA Draft, Undrafted",Israel
2019,Jimmy Hall,F,6-8,235,Hapoel Unet Holon,Brooklyn (NY),"2017 NBA Draft, Undrafted",United States
2019,Alex Hamilton,G,6-4,195,Maccabi Rishon Lezion,Chipley (FL),"2016 NBA Draft, Undrafted",United States
2019,Jordan Hamilton,F,6-7,220,Hapoel Tel Aviv,Los Angeles (CA),2011 Rnd 1 Pick 26,United States
2019,Zach Hankins,C,7-0,245,Maccabi Rishon Lezion,Charlevoix (MI),"2019 NBA Draft, Undrafted",United States
2019,Yotam Hanochi,F,6-10,218,Hapoel Galil Gilboa,Afula,"2022 NBA Draft, Undrafted",Israel
2019,Ido Harel,G,6-1,-,Hapoel Eilat,N/A,2025 NBA Draft Eligible,Israel
2019,Omer Harel,G,6-1,187,Hapoel Tel Aviv,N/A,"2022 NBA Draft, Undrafted",Israel
2019,Manny Harris,G,6-5,185,Hapoel Unet Holon,Detroit (MI),"2010 NBA Draft, Undrafted",United States
2019,D'Angelo Harrison,F,6-4,202,Maccabi Rishon Lezion,Missouri City (TX),"2015 NBA Draft, Undrafted",United States
2019,Shlomo Harrush,G,6-1,170,Hapoel Unet Holon,Kfar Saba,"2009 NBA Draft, Undrafted",Israel
2019,Raziel Hayun,F,6-4,187,Hapoel Eilat,Eilat,2026 NBA Draft Eligible,Israel
2019,Sek Henry,G,6-4,200,Hapoel Tel Aviv,Lynwood (CA),"2010 NBA Draft, Undrafted",United States
2019,LaDontae Henton,F,6-6,215,Maccabi Ashdod,Lansing (MI),"2015 NBA Draft, Undrafted",United States
2019,Philip Hertz,G,6-4,194,Hapoel Beer Sheva,Gentofte,"2014 NBA Draft, Undrafted",Denmark
2019,Malcolm Hill,G,6-6,220,Hapoel Bank Yahav Jerusalem,Belleville (IL),"2017 NBA Draft, Undrafted",United States
2019,J.R. Holder,F,6-6,180,Maccabi Ashdod,Atlanta (GA),"2017 NBA Draft, Undrafted",United States
2019,John Holland,F,6-5,205,Hapoel Bank Yahav Jerusalem,Bronx (NY),"2011 NBA Draft, Undrafted",United StatesPuerto Rico
2019,Jeremy Hollowell,F,6-8,220,Ironi Nes Ziona,Indianapolis (IN),"2017 NBA Draft, Undrafted",United States
2019,Richard Howell,F,6-8,257,Hapoel Unet Holon,Marietta (GA),"2013 NBA Draft, Undrafted",United StatesIsrael
2019,Roi Huber,G,6-1,168,Hapoel Unet Holon,Kfar Saba,"2019 NBA Draft, Undrafted",Israel
2019,Othello Hunter,FC,6-8,225,Maccabi FOX Tel Aviv,Winston-Salem (NC),"2008 NBA Draft, Undrafted",United States
2019,Roy Indik,G,5-11,-,Hapoel Eilat,N/A,"2022 NBA Draft, Undrafted",Israel
2019,Aaron Jackson,G,6-4,185,Maccabi FOX Tel Aviv,Hartford (CT),"2009 NBA Draft, Undrafted",United States
2019,John Jenkins,G,6-4,206,Hapoel Eilat,Nashville (TN),2012 Rnd 1 Pick 23,United States
2019,Elijah Johnson,G,6-0,190,Maccabi Ashdod,Las Vegas (NV),"2013 NBA Draft, Undrafted",United States
2019,Jaylen Johnson,F,6-9,230,Hapoel Unet Holon,Ypsilanti (MI),"2017 NBA Draft, Undrafted",United States
2019,Elishay Kadir,F,6-6,220,Hapoel Tel Aviv,Tel Aviv,"2009 NBA Draft, Undrafted",Israel
2019,DeAndre Kane,G,6-5,210,Maccabi FOX Tel Aviv,Pittsburgh (PA),"2014 NBA Draft, Undrafted",United States
2019,James Kelly,F,6-8,240,Maccabi Rishon Lezion,Ann Arbor (MI),"2016 NBA Draft, Undrafted",United States
2019,Israel Kolomoisky,G,6-5,210,Maccabi Rishon Lezion,Geneva,"2019 NBA Draft, Undrafted",Switzerland
2019,Ron Koper,G,5-9,-,Hapoel Galil Gilboa,N/A,"2022 NBA Draft, Undrafted",Israel
2019,Daniel Koperberg,C,6-10,231,Hapoel Tel Aviv,Saint Petersburg,"2019 NBA Draft, Undrafted",RussiaIsrael
2019,Egor Koulechov,F,6-5,205,Ironi Nahariya,Volgograd,"2018 NBA Draft, Undrafted",RussiaIsrael
2019,Danel Kozahinof,G,5-10,-,Maccabi Rishon Lezion,N/A,"2023 NBA Draft, Undrafted",Israel
2019,Chen Kraunik,G,6-3,-,Hapoel Beer Sheva,Be'er Ya'akov,"2023 NBA Draft, Undrafted",Israel
2019,Andriy Kulish,F,6-7,190,Hapoel Beer Sheva,Dnipropetrovsk,"2014 NBA Draft, Undrafted",Ukraine
2019,Mindaugas Kupsas,C,7-1,231,Hapoel Bank Yahav Jerusalem,Kaunas,"2013 NBA Draft, Undrafted",Lithuania
2019,Noam Laish,G,6-2,187,Hapoel Beer Sheva,Be'er Ya'akov,"2015 NBA Draft, Undrafted",Israel
2019,David Laury,F,6-9,245,Hapoel Tel Aviv,East Orange (NJ),"2015 NBA Draft, Undrafted",United States
2019,"Anthony Lawrence, Jr.",F,6-7,210,Hapoel Beer Sheva,St. Petersburg (FL),"2019 NBA Draft, Undrafted",United States
2019,Shahar Lazar,G,6-3,200,Hapoel Tel Aviv,Emunim,2026 NBA Draft Eligible,Israel
2019,Nimrod Levi,FC,6-8,190,Hapoel Bank Yahav Jerusalem,Ramat Gan,"2017 NBA Draft, Undrafted",Israel
2019,Tomer Levinson,C,6-9,205,Maccabi Ashdod,Be'er Ya'akov,"2022 NBA Draft, Undrafted",Israel
2019,Raviv Limonad,G,6-3,195,Ironi Nes Ziona,Natanya,"2006 NBA Draft, Undrafted",Israel
2019,Nate Linhart,F,6-7,215,Hapoel Beer Sheva,Gahanna (OH),"2009 NBA Draft, Undrafted",United States
2019,Trent Lockett,F,6-5,209,Hapoel Bank Yahav Jerusalem,Golden Valley (MN),"2013 NBA Draft, Undrafted",United States
2019,Jermaine Love-Roberts,G,6-2,175,Hapoel Unet Holon,Chicago Heights (IL),"2012 NBA Draft, Undrafted",United States
2019,Shalev Shlomo Lugashi,G,6-4,-,Ironi Nahariya,N/A,"2023 NBA Draft, Undrafted",Israel
2019,Mark Lyons,G,6-1,200,Hapoel Tel Aviv,Schenectady (NY),"2013 NBA Draft, Undrafted",United States
2019,Shelvin Mack,G,6-3,203,Hapoel Bank Yahav Jerusalem,Lexington (KY),2011 Rnd 2 Pick 4,United States
2019,Yam Madar,G,6-3,180,Hapoel Tel Aviv,Beit Dagan,2020 Rnd 2 Pick 17,Israel
2019,Rafi Manco,F,6-5,185,Hapoel Eilat,Jerusalem,"2016 NBA Draft, Undrafted",Israel
2019,Karam Mashour,GF,6-6,210,Hapoel Tel Aviv,Nazareth,"2015 NBA Draft, Undrafted",Israel
2019,Nathaniel Mason,G,6-2,185,Hapoel Eilat,Decatur (GA),"2018 NBA Draft, Undrafted",United States
2019,Jerel McNeal,G,6-3,200,Ironi Nahariya,Chicago (IL),"2009 NBA Draft, Undrafted",United States
2019,Niv Misgav,G,6-0,176,Ironi Nahariya,N/A,"2017 NBA Draft, Undrafted",Israel
2019,Liad Mishan,GF,6-4,-,Maccabi Rishon Lezion,N/A,"2019 NBA Draft, Undrafted",Israel
2019,Akil Mitchell,F,6-9,250,Hapoel Galil Gilboa,Charlotte (NC),"2014 NBA Draft, Undrafted",United StatesPanama
2019,Luka Mitrovic,F,6-8,200,Hapoel Bank Yahav Jerusalem,Novi Sad,2015 Rnd 2 Pick 30,Serbia
2019,Darryl Monroe,F,6-7,228,Maccabi Rishon Lezion,Virginia Beach (VA),"2009 NBA Draft, Undrafted",United States
2019,Jonathan Mor,FC,6-9,220,Maccabi Bazan Haifa,Ramat Gan,"2017 NBA Draft, Undrafted",Israel
2019,Shir Moraidi,F,6-8,200,Hapoel Unet Holon,Holon,2026 NBA Draft Eligible,Israel
2019,Daniel Najar,G,6-4,-,Maccabi Bazan Haifa,N/A,"2023 NBA Draft, Undrafted",Israel
2019,Eyal Nankin,F,6-7,210,Hapoel Galil Gilboa,Ra'anana,2025 NBA Draft Eligible,Israel
2019,Ike Ofoegbu,GF,6-8,225,Maccabi Ashdod,San Antonio (TX),"2007 NBA Draft, Undrafted",United StatesNigeria
2019,Yogev Ohayon,G,6-2,190,Hapoel Unet Holon,Safed,"2009 NBA Draft, Undrafted",Israel
2019,Cameron Oliver,C,6-8,225,Ironi Nes Ziona,Sacramento (CA),"2017 NBA Draft, Undrafted",United States
2019,Guy Palatin,G,6-4,-,Hapoel Unet Holon,N/A,"2022 NBA Draft, Undrafted",Israel
2019,Nikos Pappas,G,6-4,200,Hapoel Bank Yahav Jerusalem,Amarousio,"2012 NBA Draft, Undrafted",Greece
2019,Jeremy Pargo,G,6-2,219,Hapoel Bank Yahav Jerusalem,Chicago (IL),"2009 NBA Draft, Undrafted",United States
2019,Tal-Or Peled,G,6-5,-,Maccabi Rishon Lezion,N/A,2024 NBA Draft Eligible,Israel
2019,John Petrucelli,G,6-4,190,Hapoel Beer Sheva,Hicksville (NY),"2014 NBA Draft, Undrafted",United StatesItaly
2019,Tarik Phillip,G,6-3,185,Hapoel Bank Yahav Jerusalem,Brooklyn (NY),"2017 NBA Draft, Undrafted",United StatesEngland
2019,Raviv Pitshon,F,6-8,-,Ironi Nes Ziona,Holon,"2011 NBA Draft, Undrafted",Israel
2019,Guy Pnini,F,6-6,215,Hapoel Unet Holon,Tel Aviv,"2005 NBA Draft, Undrafted",Israel
2019,Rodney Purvis,G,6-4,205,Hapoel Tel Aviv,Raleigh (NC),"2017 NBA Draft, Undrafted",United States
2019,Amir Reuven,G,5-11,-,Hapoel Galil Gilboa,N/A,"2020 NBA Draft, Undrafted",Israel
2019,Daniel Reuven,G,6-3,194,Hapoel Eilat,N/A,"2021 NBA Draft, Undrafted",Israel
2019,Jalen Reynolds,F,6-10,238,Maccabi FOX Tel Aviv,Livonia (MI),"2016 NBA Draft, Undrafted",United States
2019,Rayvonte Rice,F,6-4,220,Hapoel Eilat,Champaign (IL),"2015 NBA Draft, Undrafted",United States
