Year,Position,#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2005,PG,1,Jason Rowe,HYT,30,35.9,26.5,9.1,19.5,.468,3.4,8.7,.390,4.9,5.7,.852,1.0,3.7,4.6,8.4,3.1,0.0,4.7,2.9
2005,PG,2,Terrell Lyday,LYV,36,32.9,25.8,9.0,18.0,.499,3.2,7.5,.422,4.7,6.0,.791,1.0,4.5,5.5,6.4,2.5,0.5,3.4,3.9
2005,PG,3,Marcus Wilson,GRV,23,31.0,25.0,8.0,17.5,.454,3.2,8.7,.372,5.9,6.5,.897,0.5,1.8,2.2,4.2,1.0,0.1,2.5,3.2
2005,PG,4,Afik Nissim,STR,37,19.7,24.4,8.3,17.9,.465,4.4,9.6,.455,3.4,4.2,.825,0.6,3.2,3.8,5.4,1.6,0.0,2.9,3.5
2005,PG,5,Mire Chatman,PAU,27,32.8,23.3,8.5,17.9,.473,2.2,6.7,.331,4.2,6.0,.700,1.0,4.2,5.2,8.8,3.5,0.2,3.4,2.7
2005,PG,6,Hollis Price,LEM,26,26.7,21.9,7.5,16.6,.450,3.5,8.8,.394,3.5,3.9,.895,1.2,4.3,5.5,7.0,2.3,0.0,4.5,3.6
2005,PG,7,Andrzej Pluta,CEC,30,28.6,21.1,7.4,17.8,.418,2.6,7.9,.324,3.7,4.2,.880,0.4,2.3,2.7,4.4,1.2,0.0,5.0,5.5
2005,PG,8,Babacar Cisse,JAV,27,31.4,20.3,8.6,19.3,.444,1.4,5.4,.253,1.9,2.7,.702,1.6,4.3,6.0,10.1,1.8,0.0,4.6,3.1
2005,PG,9,Jimmal Ball,CHO,31,30.6,20.2,7.6,17.0,.449,1.3,4.3,.306,3.5,4.9,.729,1.9,4.2,6.1,7.1,2.7,0.1,2.7,3.1
2005,PG,10,Regis Racine,CLER,31,19.2,19.2,5.9,13.9,.424,2.5,7.4,.337,4.9,5.5,.897,1.7,1.5,3.2,5.0,1.8,0.1,4.6,6.2
2005,PG,11,Vincent Massingue,NAN,32,23.5,19.0,8.0,12.1,.663,0.0,0.0,.000,2.9,5.8,.505,4.7,6.8,11.5,2.4,1.9,0.6,3.6,7.0
2005,PG,12,Meir Tapiro,NAN,36,24.5,18.5,7.8,18.0,.435,1.4,5.9,.239,1.5,2.0,.750,1.0,5.7,6.6,11.5,2.2,0.2,4.9,4.5
2005,PG,13,Maurice Bailey,NAN,38,24.0,17.9,5.9,13.8,.427,2.1,5.9,.357,4.0,5.5,.721,0.8,2.2,3.0,5.3,2.2,0.1,4.1,3.6
2005,PG,14,Michael Mokongo,CHA,29,18.7,16.4,5.3,12.5,.426,2.0,5.2,.390,3.8,5.1,.741,0.4,2.7,3.1,5.7,1.7,0.0,2.4,2.8
2005,PG,15,Gauthier Darrigand,CLER,31,17.0,15.8,4.6,15.2,.299,3.0,9.0,.333,3.7,5.0,.745,1.0,2.6,3.6,6.1,2.9,0.0,4.7,6.1
2005,PG,16,Pape-Philippe Amagou,LEM,33,20.3,15.8,4.9,12.3,.395,2.7,7.5,.352,3.4,4.8,.701,0.9,2.0,2.9,5.9,1.3,0.2,3.7,5.6
2005,PG,17,Ludovic Chelle,ROA,27,23.7,15.6,5.5,16.4,.338,2.4,8.4,.286,2.1,2.6,.800,1.0,3.2,4.2,2.8,1.5,0.0,3.1,2.8
2005,PG,18,John Linehan,PLV,28,27.6,14.2,4.9,12.6,.389,0.6,3.5,.175,3.8,4.5,.847,1.4,2.4,3.8,7.7,4.5,0.0,3.5,5.7
2005,PG,19,Eric Micoud,DIJ,28,32.7,13.7,4.0,9.7,.414,3.2,7.4,.430,2.5,2.7,.922,0.9,2.4,3.3,6.6,1.0,0.0,3.2,3.0
2005,PG,20,Laurent Pluvy,SLH,30,31.8,13.6,4.2,11.1,.376,2.2,6.7,.321,3.1,3.7,.849,1.0,4.2,5.2,8.4,2.2,0.1,3.6,4.1
2005,PG,21,Aymeric Jeanneau,STR,37,26.0,13.2,4.2,8.6,.494,1.3,3.1,.413,3.4,4.7,.716,0.6,3.2,3.8,8.2,1.7,0.2,4.2,4.8
2005,PG,22,Steeve Essart,JLB,32,31.9,12.9,4.2,9.2,.462,1.0,3.5,.293,3.4,4.6,.745,0.6,2.2,2.8,8.1,1.7,0.1,2.8,2.3
2005,PG,23,Steeve Bourgeois,JAV,24,15.8,11.0,4.0,9.0,.451,1.3,3.4,.370,1.6,2.3,.722,0.6,2.8,3.4,6.3,2.3,0.0,2.0,5.7
2005,PG,24,Regis Boissie,RCB,28,21.6,10.8,3.6,8.6,.426,1.0,3.1,.308,2.5,2.9,.865,0.6,3.6,4.2,6.7,2.5,0.0,3.5,4.5
2005,PG,25,Kiaku Tomaku,RCB,24,20.5,10.4,3.7,7.4,.500,0.6,1.9,.300,2.4,2.8,.862,1.7,3.7,5.4,5.9,2.4,0.1,3.3,5.9
2005,PG,26,Moncade Frederic,CEC,29,21.1,8.3,2.9,7.0,.411,0.4,2.8,.139,2.1,2.7,.771,0.4,2.9,3.3,7.0,2.2,0.1,3.5,6.0
2005,SG,1,Rowan Barrett,DIJ,27,34.0,31.2,10.8,21.9,.494,3.9,8.2,.474,5.7,6.6,.858,1.2,4.4,5.7,4.4,1.5,0.1,3.9,4.6
