Year,Position,#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2005,PG,1,Guillaume Sene,LEM,2,3.5,0.0,0.0,13.7,.000,0.0,6.9,.000,0.0,0.0,.000,0.0,6.9,6.9,13.7,20.6,0.0,6.9,0.0
2005,PG,2,Romain Duport,SLH,1,1.0,0.0,0.0,48.0,.000,0.0,48.0,.000,0.0,0.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,PG,3,Oumarou Toure,JAV,1,3.0,0.0,0.0,16.0,.000,0.0,16.0,.000,0.0,0.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0
2005,PG,4,Jean-Philippe Bourdon,SLH,2,1.5,0.0,0.0,0.0,.000,0.0,0.0,.000,0.0,0.0,.000,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
2005,PG,5,Robert Rothbart,PLV,1,1.0,0.0,0.0,0.0,.000,0.0,0.0,.000,0.0,0.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,PG,6,Kris Morlende,CHA,2,8.0,0.0,0.0,6.0,.000,0.0,0.0,.000,0.0,0.0,.000,3.0,3.0,6.0,0.0,3.0,0.0,3.0,0.0
2005,PG,7,Kelvin Pena,JAV,2,5.5,0.0,0.0,26.2,.000,0.0,13.1,.000,0.0,0.0,.000,4.4,0.0,4.4,0.0,0.0,0.0,4.4,4.4
2005,PG,8,Marvin Willoughby,PAU,2,6.0,0.0,0.0,12.0,.000,0.0,0.0,.000,0.0,0.0,.000,4.0,4.0,8.0,0.0,4.0,0.0,4.0,8.0
2005,PG,9,Benoit Menguy,SLH,2,2.5,0.0,0.0,0.0,.000,0.0,0.0,.000,0.0,0.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0
2005,PG,10,Mahamoud Diakite,ROA,1,1.0,0.0,0.0,0.0,.000,0.0,0.0,.000,0.0,0.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,PG,11,A'nsi Lema,PLV,2,1.5,0.0,0.0,0.0,.000,0.0,0.0,.000,0.0,0.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
