"Year_x","Position","#","Player","Team_x","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","Year_y","Pos","HT","WT","Team_y","Birth City","Draft Status","Nationality","League"
2019,G,1,Thomas Heurtel,FCB,41.0,27.25,35.625,12.875,24.25,0.66125,3.375,8.5,0.50625,6.5,7.625,1.0725,0.625,5.25,5.875,14.875,2.5,0.0,6.375,5.875,2019,G,"6-2",180,Barca,Pau,"2010 NBA Draft, Undrafted",France,Spanish ACB
2021,G,35,Thomas Heurtel,FCB,14.0,22.75,19.375,7.75,18.125,0.53625,2.125,6.375,0.41625,1.625,2.125,0.9725,0.25,5.125,5.375,15.375,2.875,0.0,5.875,2.875,2019,G,"6-2",180,Barca,Pau,"2010 NBA Draft, Undrafted",France,Spanish ACB
2022,G,12,Thomas Heurtel,RMB,26.0,22.125,28.125,10.125,24.0,0.53,5.0,10.625,0.57875,2.875,3.25,1.1,1.125,7.0,8.25,14.25,1.875,0.125,6.25,4.375,2019,G,"6-2",180,Barca,Pau,"2010 NBA Draft, Undrafted",France,Spanish ACB
2019,G,2,Nicolas Laprovittola,JOV,36.0,38.125,33.75,10.875,23.25,0.585,4.75,11.875,0.4925,7.25,9.125,0.99,0.625,4.375,4.875,12.5,2.125,0.125,9.125,5.25,2019,PG,"6-4",180,Real Madrid,Buenos Aires,"2012 NBA Draft, Undrafted",Argentina,Spanish ACB
2020,G,16,Nicolas Laprovittola,RMB,26.0,18.875,24.0,7.5,18.625,0.5025,4.875,10.75,0.57125,4.125,5.625,0.9125,0.875,6.75,7.625,11.5,1.5,0.0,6.0,4.75,2019,PG,"6-4",180,Real Madrid,Buenos Aires,"2012 NBA Draft, Undrafted",Argentina,Spanish ACB
2021,G,18,Nicolas Laprovittola,RMB,32.0,25.625,27.75,9.0,20.125,0.5625,5.25,12.25,0.53125,4.375,5.25,1.0525,0.5,6.625,7.125,11.375,1.375,0.0,4.625,5.5,2019,PG,"6-4",180,Real Madrid,Buenos Aires,"2012 NBA Draft, Undrafted",Argentina,Spanish ACB
2022,G,14,Nicolas Laprovittola,FCB,44.0,25.25,27.75,9.0,20.5,0.54875,5.0,13.375,0.465,4.625,5.25,1.12,1.0,4.125,5.0,7.5,2.5,0.25,4.75,5.875,2019,PG,"6-4",180,Real Madrid,Buenos Aires,"2012 NBA Draft, Undrafted",Argentina,Spanish ACB
2023,G,7,Nicolas Laprovittola,FCB,42.0,28.375,32.75,10.5,23.0,0.57,5.375,12.875,0.51875,6.375,7.625,1.0625,1.25,4.75,6.0,10.125,1.5,0.0,5.25,5.25,2019,PG,"6-4",180,Real Madrid,Buenos Aires,"2012 NBA Draft, Undrafted",Argentina,Spanish ACB
2024,G,10,Nicolas Laprovittola,FCB,22.0,26.125,31.875,9.625,23.125,0.52,4.875,13.375,0.44875,7.75,9.375,1.04125,1.0,3.5,4.5,9.625,2.375,0.0,8.0,5.0,2019,PG,"6-4",180,Real Madrid,Buenos Aires,"2012 NBA Draft, Undrafted",Argentina,Spanish ACB
2019,G,3,Sergio Llull,RMB,34.0,27.0,29.5,10.125,25.5,0.49625,5.375,15.25,0.43625,3.875,5.125,0.9475,0.375,5.375,5.625,10.25,1.75,0.0,4.625,4.125,2019,PG,"6-3",190,Real Madrid,Mahon,"2009 Rnd 2 Pick 4",Spain,Spanish ACB
2020,G,1,Sergio Llull,RMB,19.0,25.5,35.375,11.75,27.5,0.53375,5.875,16.125,0.45625,6.0,6.625,1.13375,0.125,3.25,3.375,8.0,2.0,0.25,5.375,4.75,2019,PG,"6-3",190,Real Madrid,Mahon,"2009 Rnd 2 Pick 4",Spain,Spanish ACB
