Year,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
2019,Alex Abreu,G,5-10,180,Giessen 46ers,Bayamon (PR),"2015 NBA Draft, Undrafted",Puerto Rico
2019,Ismet Akpinar,G,6-4,176,Bayern Munich,Hamburg,"2017 NBA Draft, Undrafted",Germany
2019,Jacob Albrecht,F,6-8,220,BG Goettingen,N/A,"2017 NBA Draft, Undrafted",Germany
2019,Julian Albus,F,6-4,198,s.Oliver Baskets,Tubingen,"2014 NBA Draft, Undrafted",Germany
2019,Bryce Alford,G,6-3,185,Medi Bayreuth,Albuquerque (NM),"2017 NBA Draft, Undrafted",United States
2019,Noah Allen,GF,6-7,215,s.Oliver Baskets,Pacific Grove (CA),"2017 NBA Draft, Undrafted",United States
2019,Terry Allen,F,6-8,240,BG Goettingen,Houston (TX),"2016 NBA Draft, Undrafted",United States
2019,Robin Amaize,G,6-2,176,EWE Baskets Oldenburg,Giessen,"2016 NBA Draft, Undrafted",Germany
2019,Kyan Anderson,G,5-11,175,BG Goettingen,Fort Worth (TX),"2015 NBA Draft, Undrafted",United States
2019,Mihajlo Andric,F,6-7,187,BG Goettingen,Kragujevac,"2016 NBA Draft, Undrafted",Serbia
2019,Darion Atkins,F,6-8,235,Brose Baskets Bamberg,Clinton (MD),"2015 NBA Draft, Undrafted",United States
2019,Jordan Barnett,F,6-7,215,Giessen 46ers,St. Louis (MO),"2018 NBA Draft, Undrafted",United States
2019,Danilo Barthel,F,6-10,220,Bayern Munich,Heidelberg,"2013 NBA Draft, Undrafted",Germany
2019,Daniel Baslyk,F,6-5,190,Mitteldeutscher BC,Vilnius,"2023 NBA Draft, Undrafted",Lithuania
2019,Beau Beech,F,6-9,215,Hamburg Towers,Ponte Vedra Beach (FL),"2016 NBA Draft, Undrafted",United States
2019,Maximilian Begue,GF,6-4,188,Fraport Skyliners,Darmstadt,"2023 NBA Draft, Undrafted",Germany
2019,Niklas Bilski,G,6-0,168,Basketball Lowen Braunschweig,Hanau,"2020 NBA Draft, Undrafted",Germany
2019,Kilian Binapfl,G,6-5,176,Telekom Baskets Bonn,Munich,"2022 NBA Draft, Undrafted",Germany
2019,Gerry Blakes,G,6-4,195,EWE Baskets Oldenburg,Inglewood (CA),"2016 NBA Draft, Undrafted",United States
2019,Fabian Bleck,F,6-6,211,HARKO Merlins Crailsheim,Hagen,"2015 NBA Draft, Undrafted",Germany
2019,Nathan Boothe,C,6-9,240,EWE Baskets Oldenburg,Gurnee (IL),"2016 NBA Draft, Undrafted",United States
2019,Skyler Bowlin,G,6-3,170,s.Oliver Baskets,Paragould (AR),"2011 NBA Draft, Undrafted",United States
2019,Hans Brase,F,6-9,229,MHP Riesen,Clover (SC),"2018 NBA Draft, Undrafted",United StatesGermany
2019,T.J. Bray,G,6-5,207,Bayern Munich,New Berlin (WI),"2014 NBA Draft, Undrafted",United States
2019,David Brembly,G,6-6,207,MHP Riesen,Cologne,"2015 NBA Draft, Undrafted",Germany
2019,Lorenz Brenneke,F,6-9,190,ALBA Berlin,Berlin,"2022 NBA Draft, Undrafted",Germany
2019,Nicolas Bretzel,F,7-0,250,Ratiopharm Ulm,N/A,"2021 NBA Draft, Undrafted",Germany
2019,Martin Breunig,F,6-8,210,Telekom Baskets Bonn,Leverkusen,"2016 NBA Draft, Undrafted",Germany
2019,Isaiah Briscoe,G,6-3,210,Ratiopharm Ulm,Union (NJ),"2017 NBA Draft, Undrafted",United States
2019,Alec Brown,C,7-1,235,Telekom Baskets Bonn,Winona (MN),2014 Rnd 2 Pick 20,United States
2019,Stephen Brown,G,5-11,165,Giessen 46ers,Manassas (VA),"2018 NBA Draft, Undrafted",United States
2019,Evan Bruinsma,F,6-8,214,Medi Bayreuth,New Era (MI),"2014 NBA Draft, Undrafted",United States
2019,John Bryant,C,6-10,282,Giessen 46ers,San Pablo (CA),"2009 NBA Draft, Undrafted",United States
2019,Kevin Bryant,GF,6-5,205,BG Goettingen,Ulm,"2018 NBA Draft, Undrafted",Germany
