Year,Position,#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,League
2019,G,1,Will Cummings,EWE,37,37.625,42.375,13.75,27.25,0.63375,3.125,8.5,0.46125,11.75,14.125,1.035,0.875,5.25,6.25,8.5,3.375,0.25,4.0,4.75,German BBL
2019,G,2,Deandre Lansdowne,BLB,34,40.25,34.625,12.5,28.25,0.55,4.75,12.625,0.4675,5.0,6.5,0.9750000000000001,1.5,4.75,6.25,6.75,2.875,0.25,3.875,4.875,German BBL
2019,G,3,Tyrese Rice,BRO,37,36.0,33.0,11.0,24.625,0.5575,5.0,13.5,0.46375,6.125,7.25,1.04625,0.625,4.0,4.625,13.125,1.5,0.0,5.875,4.0,German BBL
2019,G,4,Michael Stockton,GOE,33,37.5,32.75,11.375,24.625,0.57875,2.625,6.875,0.48625,7.375,8.375,1.08875,1.0,5.125,6.125,14.0,2.125,0.125,5.75,5.5,German BBL
2019,G,5,Max Landis,GIE,28,27.625,32.0,9.5,21.25,0.55625,5.0,11.5,0.54625,8.0,9.0,1.115,0.5,2.5,3.0,6.25,1.125,0.0,3.375,6.375,German BBL
2019,G,6,Josh Mayo,TBB,35,34.375,31.5,9.0,19.25,0.5825,6.875,14.0,0.61625,6.625,7.625,1.0875,0.875,3.875,4.875,7.375,1.25,0.0,3.25,4.625,German BBL
2019,G,7,Jordan Hulls,OLI,28,30.625,31.5,10.875,21.625,0.625,6.75,14.25,0.59,3.0,3.125,1.2149999999999999,1.25,4.875,6.125,7.75,3.125,0.125,4.375,4.875,German BBL
2019,G,8,Chris Warren,EIS,34,40.625,31.125,10.5,20.875,0.63125,4.25,10.0,0.53,5.75,6.5,1.12375,0.625,4.375,5.0,10.125,2.0,0.0,5.125,5.0,German BBL
2019,G,9,Dewayne Russell,CRA,32,27.5,31.0,10.625,23.375,0.56625,3.125,8.5,0.4625,6.625,8.875,0.9375,0.875,4.75,5.625,11.375,2.5,0.125,5.875,5.75,German BBL
2019,G,10,David Bell,GIE,25,28.75,30.875,10.0,21.375,0.5850000000000001,6.5,14.625,0.55375,4.25,5.0,1.0675,0.625,4.625,5.25,4.375,1.25,0.125,3.5,6.375,German BBL
2019,G,11,Josh Young,RAS,38,30.625,29.75,10.25,23.125,0.5575,4.25,11.75,0.45375,4.875,6.0,1.02125,1.625,4.0,5.625,7.125,2.625,0.375,3.625,7.0,German BBL
2019,G,12,Petteri Koponen,BAY,40,22.75,29.75,9.625,21.125,0.56625,6.0,13.875,0.54375,4.5,5.25,1.09125,0.375,3.75,4.25,6.25,1.375,0.125,3.375,4.5,German BBL
2019,G,13,David Stockton,BAY,20,25.125,29.25,10.25,21.375,0.60375,5.25,11.375,0.57625,3.375,3.875,1.10625,1.0,4.375,5.375,12.25,2.5,0.125,6.25,7.75,German BBL
2019,G,14,Brady Heslip,FRA,11,32.75,29.125,10.0,22.125,0.56625,7.125,15.875,0.55875,2.125,2.25,1.13625,0.625,3.375,4.0,4.375,0.875,0.0,1.875,3.125,German BBL
2019,G,15,Lamont Jones,LUD,31,33.375,28.0,10.375,25.0,0.5175,1.75,7.125,0.30625,5.625,6.625,1.0574999999999999,1.5,3.25,4.75,5.5,1.625,0.125,3.125,5.25,German BBL
2019,G,16,Patrick Miller,RUL,32,30.0,28.0,9.875,22.75,0.54125,0.75,4.875,0.18125,7.625,10.125,0.94,1.5,4.125,5.75,11.25,2.625,0.25,5.875,5.625,German BBL
2019,G,17,Frank Turner,CRA,33,35.25,26.375,9.25,18.625,0.62125,1.5,4.25,0.46125,6.375,8.0,0.9875,0.75,4.0,4.75,12.875,3.125,0.125,6.0,3.75,German BBL
2019,G,18,Joshiko Saibou,BER,34,18.75,26.25,9.125,19.375,0.5874999999999999,3.25,8.5,0.48625,4.875,6.0,1.0050000000000001,2.5,4.125,6.625,5.0,2.25,0.25,4.0,5.625,German BBL
2019,G,19,Cameron Wells,OLI,34,34.0,24.375,9.375,20.125,0.58125,1.375,3.875,0.44499999999999995,4.25,4.75,1.115,0.125,3.5,3.625,12.5,1.75,0.625,3.5,3.625,German BBL
2019,G,20,Ismet Akpinar,RUL,37,29.875,24.25,7.625,17.375,0.5475,4.0,10.25,0.48875,5.0,6.0,1.05125,1.25,3.375,4.5,7.625,1.25,0.125,4.0,5.875,German BBL
2019,G,21,Jovan Novak,BC,30,37.125,23.875,7.0,16.0,0.54875,4.375,10.375,0.5225,5.5,7.125,0.9762500000000001,1.625,4.375,6.0,14.625,2.625,0.125,6.25,3.375,German BBL
2019,G,22,Trae Bell-Haynes,FRA,15,20.5,22.25,7.375,17.125,0.53625,0.75,3.625,0.25,6.875,7.625,1.1287500000000001,3.625,5.875,9.5,9.5,2.25,0.0,7.625,6.625,German BBL
2019,G,23,Maodo Lo,BAY,41,24.375,21.75,8.125,16.25,0.6225,2.75,7.25,0.47625,2.75,3.375,1.0274999999999999,0.5,4.375,4.875,8.375,2.25,0.125,4.5,6.75,German BBL
2019,G,24,Dru Joyce,SCJ,33,34.875,21.625,8.125,19.5,0.5187499999999999,2.875,8.75,0.41000000000000003,2.625,4.75,0.7112499999999999,1.25,5.0,6.25,13.5,2.125,0.375,5.375,6.75,German BBL
2019,G,25,T.J. DiLeo,TBB,37,29.75,21.0,8.125,17.875,0.5675,2.375,7.0,0.42875,2.375,3.125,0.9450000000000001,0.75,4.0,4.75,11.625,2.625,0.375,3.75,4.25,German BBL
2019,G,26,Stefan Peno,BER,16,29.875,20.625,7.875,17.875,0.54875,0.75,3.125,0.3125,4.125,6.125,0.83375,2.625,4.5,7.25,15.25,3.5,0.125,6.125,3.25,German BBL
2019,G,27,Bastian Doreth,BAY,34,26.5,15.625,5.125,10.625,0.605,4.625,9.125,0.625,0.75,0.75,1.25,0.875,4.375,5.375,6.0,1.25,0.0,3.25,6.0,German BBL
2019,G,28,Max DiLeo,RAS,39,26.5,14.75,4.75,12.0,0.5,2.375,6.5,0.44999999999999996,2.875,3.5,1.0162499999999999,2.375,3.875,6.25,5.0,4.125,0.125,3.25,7.0,German BBL
2019,G,1,Jason Clark,FRA,30,33.375,32.5,11.875,24.25,0.61,4.625,10.75,0.53375,4.25,5.375,1.0037500000000001,1.25,4.375,5.625,6.375,1.625,0.25,4.75,5.125,German BBL
