Year,Position,#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2019,G,1,William Hatcher,PAOK,23.0,30.375,16.75,5.375,11.625,0.5750000000000001,2.5,5.75,0.53125,3.5,4.5,0.97875,0.25,1.75,2.0,3.875,0.875,0.0,1.625,3.25
2019,G,2,Ryan Harrow,PER,18.0,29.125,15.75,5.875,12.375,0.5974999999999999,1.25,3.375,0.45875,2.625,3.5,0.95,0.75,2.25,3.0,6.0,1.0,0.125,3.0,1.375
2019,G,3,Stevie Browning,KOL,26.0,32.875,15.625,6.25,14.625,0.53625,2.25,6.375,0.44499999999999995,0.875,1.25,0.865,0.875,3.375,4.25,3.0,0.625,0.125,2.5,2.875
2019,G,4,Lefteris Bochoridis,ARI,23.0,31.625,14.25,5.125,12.875,0.50125,1.625,5.25,0.3775,2.375,3.75,0.7975,1.125,3.875,5.0,3.25,0.875,0.25,3.5,4.25
2019,G,5,Nontas Papantoniou,PAI,22.0,37.25,14.125,4.625,12.25,0.46875,1.75,6.0,0.36874999999999997,3.125,4.5,0.8599999999999999,0.625,3.125,3.875,4.875,1.75,0.0,3.125,3.75
2019,G,6,Elijah Johnson,RETH,15.0,31.625,14.0,5.375,13.125,0.5175,2.25,6.125,0.45625,0.875,1.0,1.14625,0.875,2.875,3.75,2.875,1.375,0.0,2.875,3.625
2019,G,7,Jermaine Love-Roberts,HOL,28.0,31.25,13.875,4.875,9.875,0.61375,0.875,2.0,0.5275,3.25,3.75,1.08875,0.5,2.875,3.25,2.5,1.75,0.125,2.375,3.25
2019,G,8,Jerry Smith,LAR,28.0,29.375,13.75,4.0,10.25,0.49125,1.375,4.5,0.38375,4.25,5.375,1.00875,0.625,2.5,3.125,2.875,1.125,0.25,2.5,3.0
2019,G,9,Demarius Bolds,KYM,6.0,34.375,13.5,5.25,13.75,0.47375,1.25,4.0,0.395,1.875,2.5,0.9375,0.625,4.375,5.0,2.875,2.125,0.25,2.875,4.375
2019,G,10,Nick Calathes,PAN,27.0,28.375,12.25,4.5,10.125,0.5475,2.0,5.125,0.47250000000000003,1.375,1.75,1.0137500000000002,0.5,3.875,4.25,10.25,1.75,0.0,3.5,2.875
