Year,Position,#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2019,PG,1,William Hatcher,PAOK,23,24.3,26.5,8.5,18.5,.460,3.9,9.1,.425,5.6,7.1,.783,0.3,2.8,3.2,6.1,1.3,0.0,2.7,5.1
2019,PG,2,Ryan Harrow,PER,18,23.3,25.9,9.7,20.4,.478,2.1,5.6,.367,4.4,5.7,.760,1.1,3.8,4.9,9.8,1.7,0.1,4.9,2.2
2019,PG,3,Stevie Browning,KOL,26,26.3,22.8,9.1,21.2,.429,3.3,9.3,.356,1.3,1.8,.692,1.3,4.8,6.2,4.4,1.0,0.1,3.6,4.2
2019,PG,4,Jerry Smith,LAR,28,23.5,22.4,6.6,16.7,.393,2.3,7.4,.307,7.0,8.7,.807,0.9,4.2,5.1,4.6,1.8,0.4,4.2,5.0
2019,PG,5,Lefteris Bochoridis,ARI,23,25.3,21.7,7.8,19.6,.401,2.4,7.9,.302,3.6,5.7,.638,1.7,5.9,7.5,4.9,1.3,0.4,5.4,6.4
2019,PG,6,Jermaine Love-Roberts,HOL,28,25.0,21.3,7.5,15.2,.491,1.3,3.1,.422,5.1,5.8,.871,0.7,4.4,5.1,3.9,2.6,0.3,3.7,5.1
2019,PG,7,Elijah Johnson,RETH,15,25.3,21.2,8.2,19.8,.414,3.4,9.3,.365,1.4,1.5,.917,1.4,4.3,5.7,4.4,2.0,0.0,4.4,5.4
2019,PG,8,Nick Calathes,PAN,27,22.7,20.6,7.5,17.1,.438,3.3,8.7,.378,2.3,2.9,.811,0.8,6.5,7.3,17.3,3.0,0.1,5.9,4.8
2019,PG,9,Demarius Bolds,KYM,6,27.5,18.9,7.3,19.2,.379,1.7,5.5,.316,2.6,3.5,.750,0.9,6.1,7.0,4.1,2.9,0.3,4.1,6.1
2019,PG,10,Nontas Papantoniou,PAI,22,29.8,18.2,5.9,15.8,.375,2.3,7.7,.295,4.0,5.9,.688,0.9,4.1,5.0,6.2,2.2,0.1,4.0,4.8
2019,PG,11,Gary Talton,HOL,22,22.6,17.9,6.6,15.8,.415,3.0,6.7,.449,1.8,2.5,.731,1.4,4.1,5.5,5.7,1.3,0.1,3.2,3.0
2019,PG,12,Jordan Callahan,PER,28,17.7,17.7,6.7,16.4,.408,3.1,8.5,.364,1.2,1.7,.706,0.5,3.6,4.1,6.9,1.9,0.0,3.3,4.8
2019,PG,13,Tyrone Brazelton,LAR,24,25.1,17.5,5.7,17.0,.336,1.8,7.0,.261,4.2,5.3,.803,0.6,3.8,4.5,8.1,1.6,0.0,5.1,4.4
2019,PG,14,Michail Lountzis,LAV,21,17.9,17.3,5.7,12.2,.469,1.7,5.7,.289,4.2,5.2,.805,1.1,5.1,6.2,5.7,1.9,0.4,4.0,5.7
2019,PG,15,Oleksandr Lypovyy,PROM,36,24.2,17.2,6.1,13.8,.442,3.5,8.9,.389,1.5,2.9,.509,1.9,5.1,7.0,4.2,2.3,0.4,2.4,5.6
2019,PG,16,Kee-Kee Clark,PER,7,18.6,15.5,5.2,11.1,.467,2.2,7.0,.316,3.0,3.7,.800,0.4,2.6,3.0,5.9,2.2,0.0,4.1,3.3
2019,PG,17,Janis Strelnieks,OLY,13,19.8,15.3,5.4,12.9,.420,1.9,7.3,.256,2.6,2.8,.933,0.6,3.2,3.7,6.7,2.1,0.4,0.7,3.7
2019,PG,18,Brandon Brown,PAI,4,27.5,15.3,5.2,18.8,.279,2.6,9.2,.286,2.2,3.1,.714,2.2,4.4,6.5,6.1,0.9,0.0,2.2,3.9
2019,PG,19,Nikolaos Gikias,PROM,35,18.3,13.3,4.6,16.0,.286,2.2,9.2,.236,2.0,2.8,.703,0.8,4.0,4.8,10.1,2.1,0.0,5.6,6.2
2019,PG,20,Antonios Koniaris,PAOK,26,18.2,12.7,4.3,12.2,.350,2.5,7.2,.352,1.6,2.1,.762,1.4,3.8,5.3,7.5,2.0,0.2,3.5,5.7
2019,PG,21,Teddy Okereafor,HOL,29,16.6,10.3,3.9,11.1,.348,1.0,3.8,.263,1.6,2.0,.800,1.6,5.0,6.6,5.6,2.9,0.0,3.4,5.2
2019,PG,22,Nontas Papantoniou,PAOK,2,9.9,7.3,2.4,14.5,.167,2.4,14.5,.167,0.0,0.0,.000,0.0,4.8,4.8,7.3,0.0,0.0,9.7,2.4
2019,SG,1,Steve Burtt,RETH,26,33.0,27.6,8.0,18.3,.439,3.9,10.0,.385,7.7,9.2,.841,0.7,2.2,2.9,4.5,1.0,0.1,3.6,3.3
2019,SG,2,Davion Berry,PAI,23,35.3,27.4,8.4,19.8,.424,2.9,8.6,.336,7.7,10.0,.769,1.3,5.3,6.6,4.4,0.9,0.1,3.3,3.5
2019,SG,3,Nikos Pappas,PAN,13,19.8,26.7,8.4,16.8,.500,4.7,9.9,.472,5.2,6.2,.848,0.7,3.0,3.7,6.2,2.6,0.0,2.6,4.8
2019,SG,4,Doron Lamb,LAV,26,26.6,25.7,9.1,19.4,.470,3.3,7.2,.466,4.2,5.6,.750,1.5,3.6,5.1,4.6,0.8,0.1,3.0,4.4
2019,SG,5,Keith Langford,PAN,21,19.1,24.2,8.9,19.8,.448,3.2,8.8,.370,3.2,5.2,.628,0.8,5.4,6.2,6.2,2.4,0.2,1.9,4.6
2019,SG,6,Javontae Hawkins,HOL,29,25.2,22.3,7.6,16.4,.464,1.9,5.7,.333,5.2,6.7,.775,1.9,5.6,7.5,2.4,1.8,0.2,3.4,4.9
2019,SG,7,Vassilis Spanoulis,OLY,15,20.6,22.2,7.9,20.1,.395,3.6,11.7,.307,2.8,4.4,.643,1.2,4.7,5.9,11.2,1.7,0.0,5.0,3.6
2019,SG,8,Giannoulis Larentzakis,ATH,34,23.8,22.0,7.1,17.8,.399,2.4,7.8,.303,5.4,6.6,.820,1.2,4.4,5.6,6.1,2.5,0.4,4.4,5.2
2019,SG,9,Nigel Williams-Goss,OLY,23,25.0,21.6,8.0,18.0,.444,2.3,5.8,.400,3.3,3.8,.867,0.9,3.9,4.8,8.8,1.5,0.0,2.8,2.7
