Year,Position,#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2019,G,1,Semaj Christon,BEER,8.0,35.75,39.25,13.125,29.625,0.5525,4.5,11.25,0.49375,8.625,11.0,0.9825,1.25,3.125,4.5,8.375,3.375,0.25,4.75,4.75
2019,G,2,Scottie Wilbekin,MAC,33.0,29.875,34.375,11.5,26.75,0.54,6.5,16.875,0.47875,4.75,5.75,1.03625,1.375,4.75,6.125,9.625,3.0,0.0,4.75,3.625
2019,G,3,John DiBartolomeo,MAC,37.0,28.0,30.75,9.375,21.75,0.54125,4.875,13.75,0.4425,7.0,7.875,1.1125,2.125,6.125,8.25,7.5,3.625,0.375,3.875,5.0
2019,G,4,Cam Long,MRL,37.0,40.875,29.25,9.375,22.0,0.53,3.75,10.25,0.45499999999999996,6.875,9.25,0.93375,2.125,4.5,6.625,7.5,2.5,0.25,4.75,3.875
2019,G,5,Gary Browne,IRO,36.0,35.875,29.25,9.75,23.375,0.5175,3.75,9.375,0.49375,6.125,8.125,0.93125,2.375,7.625,10.0,10.375,2.5,0.25,5.75,4.625
2019,G,6,J'Covan Brown,HAPJ,29.0,26.5,29.125,10.0,25.5,0.49375,4.25,12.5,0.42999999999999994,4.75,5.625,1.05625,1.5,5.125,6.75,12.875,1.375,0.125,5.375,7.0
2019,G,7,Mike Dixon,BHS,17.0,30.875,29.125,10.25,25.0,0.5137499999999999,4.625,11.125,0.5125,4.0,4.375,1.1287500000000001,1.125,4.125,5.25,10.375,4.125,0.0,6.625,6.125
2019,G,8,Paul Stoll,ASH,30.0,41.625,27.625,8.25,20.875,0.49250000000000005,5.375,15.25,0.43999999999999995,5.75,6.75,1.0625,1.625,4.375,6.125,13.875,5.25,0.0,7.875,5.75
2019,G,9,Dallas Moore,HAP,6.0,35.625,27.375,10.125,20.75,0.615,3.5,8.125,0.54375,3.5,4.25,1.04125,1.375,3.5,4.875,3.875,2.5,0.0,4.25,4.25
2019,G,10,Raviv Limonad,HAP,34.0,34.0,24.75,8.75,20.5,0.53,2.125,5.75,0.45499999999999996,5.375,7.0,0.9575,1.625,4.25,5.875,11.5,1.625,0.125,5.5,5.0
2019,G,11,Tamir Blatt,HAPJ,36.0,31.25,23.75,7.75,20.0,0.48875,5.875,15.0,0.49125,2.25,3.375,0.83375,0.75,3.125,4.0,12.875,2.0,0.0,5.875,3.25
2019,G,12,Iftah Ziv,NAH,33.0,34.0,23.625,8.25,21.25,0.48875,2.25,7.25,0.37875,4.875,7.0,0.8575,1.75,8.0,9.75,8.875,3.625,0.75,6.0,7.375
2019,G,13,"Lenzelle Smith, Jr.",EIL,15.0,40.625,22.75,8.25,18.0,0.57375,2.25,7.25,0.38125,4.125,5.5,0.91625,1.5,7.0,8.5,10.375,3.0,0.125,4.25,4.25
2019,G,14,Amit Gershon,BEER,36.0,18.875,22.75,6.5,20.0,0.40750000000000003,5.75,16.0,0.44875,3.875,4.375,1.12125,2.75,3.125,5.875,4.0,3.125,0.25,2.875,7.625
2019,G,15,Chanan Colman,BEER,35.0,34.0,20.75,6.625,16.5,0.49875,5.125,12.5,0.5087499999999999,2.375,3.125,0.95,2.125,4.375,6.375,5.75,3.25,0.25,3.875,7.125
2019,G,16,Frederic Bourdillon,EIL,37.0,29.25,20.75,7.0,15.625,0.55875,3.875,10.125,0.48,2.875,3.75,0.93125,1.25,4.25,5.5,3.625,2.75,0.375,2.375,6.125
2019,G,17,Yogev Ohayon,HAPJ,33.0,21.375,20.125,6.5,15.125,0.53375,2.625,8.125,0.41125,4.5,6.125,0.905,2.0,6.75,8.75,8.875,3.375,0.125,4.5,8.875
2019,G,18,Marquis Wright,MRL,7.0,28.0,18.75,7.625,23.25,0.41000000000000003,0.75,6.875,0.13875,2.625,4.25,0.795,2.25,7.625,9.875,13.0,5.375,0.0,7.625,6.125
2019,G,19,Shlomo Harrush,HAP,36.0,26.25,18.25,6.0,16.5,0.45125,3.25,10.125,0.40375,3.0,3.75,1.01125,1.25,5.5,6.625,6.375,1.875,0.125,3.0,6.875
2019,G,20,Niv Misgav,NAH,31.0,21.5,15.375,5.0,14.0,0.44999999999999996,2.375,7.25,0.41000000000000003,2.875,3.25,1.12125,1.625,3.875,5.5,6.0,2.125,0.25,4.625,9.5
2019,G,1,James Feldeine,HAPJ,36.0,33.125,37.875,12.375,28.375,0.5425,5.125,13.875,0.45875,8.125,9.875,1.02,1.875,5.75,7.5,8.0,2.75,0.5,3.75,4.375
2019,G,2,Ian Miller,GAL,29.0,32.25,35.875,12.0,28.875,0.52125,6.375,15.625,0.5125,5.375,6.5,1.03375,0.875,4.625,5.5,6.125,2.125,0.25,5.75,6.125
2019,G,3,Corey Walden,HAP,35.0,38.75,35.75,10.125,20.25,0.62375,3.875,9.5,0.51125,11.625,13.125,1.1025,0.625,6.5,7.125,9.625,2.5,0.125,6.125,5.5
2019,G,4,Chris Dowe,IRO,37.0,34.125,30.625,9.75,21.25,0.5725,2.625,7.375,0.43999999999999995,8.625,10.25,1.04,2.75,5.625,8.375,6.5,2.5,0.75,4.125,5.875
2019,G,5,Khalif Wyatt,HAP,10.0,33.375,28.5,7.625,21.625,0.4425,4.0,12.125,0.41625,9.25,11.25,1.025,0.5,3.625,4.0,12.625,2.875,0.0,4.75,6.5
2019,G,6,Michael Roll,MAC,37.0,24.375,28.375,10.625,21.125,0.625,4.375,9.125,0.5912499999999999,2.875,3.25,1.12125,1.5,5.375,6.875,8.375,1.125,0.125,3.375,5.125
2019,G,7,Jamal Shuler,HAP,36.0,30.375,26.25,8.75,21.75,0.505,4.5,12.375,0.45125,4.25,4.75,1.1075,1.125,5.5,6.625,5.75,2.625,0.25,3.0,6.875
2019,G,8,Alex Hamilton,MRL,31.0,38.25,25.625,9.0,23.25,0.48375,1.625,6.875,0.28875,6.125,8.5,0.905,1.5,6.625,8.0,10.0,3.125,0.875,5.125,3.25
2019,G,9,Jerel McNeal,HAP,30.0,39.0,25.375,9.125,21.5,0.5287499999999999,1.875,6.5,0.37124999999999997,5.25,7.0,0.93125,1.75,5.5,7.25,6.875,3.625,1.375,6.125,6.25
2019,G,10,Bar Timor,HAPJ,37.0,23.0,25.0,8.875,20.375,0.54625,3.375,10.75,0.38875,3.75,5.625,0.8400000000000001,1.875,5.0,6.875,4.375,2.5,0.125,3.5,6.625
2019,G,11,Orr Leumi,BHS,33.0,20.75,22.125,7.5,19.125,0.48875,3.875,10.25,0.47,3.375,4.375,0.96875,0.375,3.25,3.625,5.375,1.875,0.375,5.625,7.375
2019,G,12,James Robinson,BHS,24.0,31.375,21.875,8.0,20.625,0.48250000000000004,2.0,7.875,0.31625000000000003,4.0,5.125,0.96125,0.75,6.75,7.625,7.625,1.5,0.125,3.375,5.125
