Year_x,Position,#,Player,Team_x,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,League,Year_y,Pos,HT,WT,Team_y,Birth City,Draft Status,Nationality
2019,G,1,Tomas Delininkaitis,NEP,44,22.125,35.5,10.125,21.375,0.59375,7.5,16.25,0.5800000000000001,7.625,8.25,1.14625,0.625,4.625,5.25,6.125,2.125,0.0,4.5,6.875,Lithuanian LKL,2019,G,6-3,176,Neptunas,Klaipeda,"2004 NBA Draft, Undrafted",Lithuania
2020,G,2,Tomas Delininkaitis,NEP,20,19.375,30.25,8.75,20.5,0.53125,6.75,15.5,0.5475,6.0,7.125,1.0475,0.25,1.75,1.875,3.125,1.875,0.0,4.125,6.25,Lithuanian LKL,2019,G,6-3,176,Neptunas,Klaipeda,"2004 NBA Draft, Undrafted",Lithuania
2022,G,18,Tomas Delininkaitis,JUV,17,15.625,22.625,6.25,16.375,0.47375,5.125,14.125,0.4499999999999999,5.125,5.625,1.125,0.625,4.5,5.125,4.0,2.875,0.25,4.5,7.625,Lithuanian LKL,2019,G,6-3,176,Neptunas,Klaipeda,"2004 NBA Draft, Undrafted",Lithuania
2019,G,2,Ken Brown,DZU,35,31.125,33.75,11.125,25.875,0.535,5.25,14.25,0.4649999999999999,6.25,7.125,1.09375,0.875,5.625,6.5,9.0,2.0,0.125,5.875,6.25,Lithuanian LKL,2019,G,5-10,160,Lietkabelis,St. Louis (MO),"2012 NBA Draft, Undrafted",United States
2019,G,3,Chauncey Collins,KED,20,33.25,33.125,11.0,25.375,0.545,4.75,13.75,0.4299999999999999,6.375,8.0,0.98625,1.25,5.625,6.875,6.875,1.75,0.0,5.25,4.125,Lithuanian LKL,2019,G,6-1,175,Dzukija,Oklahoma City (OK),"2017 NBA Draft, Undrafted",United States
2020,G,3,Chauncey Collins,DZU,20,40.125,29.875,9.5,22.375,0.5287499999999999,5.0,13.25,0.47875,6.0,8.5,0.8787499999999999,1.0,6.75,7.75,6.5,1.25,0.375,4.375,4.125,Lithuanian LKL,2019,G,6-1,175,Dzukija,Oklahoma City (OK),"2017 NBA Draft, Undrafted",United States
2024,G,16,Chauncey Collins,MAZ,27,32.125,23.875,6.5,19.25,0.42,3.5,12.625,0.35125,7.375,10.0,0.92375,1.0,4.125,5.0,6.125,1.875,0.375,3.75,6.25,Lithuanian LKL,2019,G,6-1,175,Dzukija,Oklahoma City (OK),"2017 NBA Draft, Undrafted",United States
2019,G,5,Ignas Vaitkus,SIA,30,33.0,27.75,9.875,23.375,0.53,3.125,9.5,0.42,4.75,6.0,0.98125,0.875,9.875,10.75,4.5,2.0,0.375,4.0,4.5,Lithuanian LKL,2019,F,6-2,145,Juventus,Siauliai,"2015 NBA Draft, Undrafted",Lithuania
2020,G,14,Ignas Vaitkus,JUV,20,27.875,20.375,6.875,17.875,0.47875,2.625,8.625,0.39125,4.0,5.0,1.0137500000000002,0.75,6.0,6.875,5.5,1.75,0.625,5.125,5.875,Lithuanian LKL,2019,F,6-2,145,Juventus,Siauliai,"2015 NBA Draft, Undrafted",Lithuania
2021,F,6,Ignas Vaitkus,JUV,34,33.5,27.25,9.625,19.875,0.6025,3.25,8.75,0.4599999999999999,4.75,5.75,1.04875,1.0,8.375,9.375,6.75,2.375,0.875,5.0,4.375,Lithuanian LKL,2019,F,6-2,145,Juventus,Siauliai,"2015 NBA Draft, Undrafted",Lithuania
2022,F,13,Ignas Vaitkus,JUV,28,29.0,21.375,7.375,16.5,0.55875,2.125,6.5,0.405,4.375,5.375,1.035,1.375,7.625,9.0,5.5,2.25,0.5,3.25,4.5,Lithuanian LKL,2019,F,6-2,145,Juventus,Siauliai,"2015 NBA Draft, Undrafted",Lithuania
2023,F,26,Ignas Vaitkus,PZV,30,37.125,18.625,6.625,14.375,0.5750000000000001,1.5,5.625,0.33125,3.875,4.625,1.06625,0.75,7.5,8.25,2.875,1.375,0.5,4.125,3.875,Lithuanian LKL,2019,F,6-2,145,Juventus,Siauliai,"2015 NBA Draft, Undrafted",Lithuania
2024,F,10,Ignas Vaitkus,KED,24,34.375,25.0,8.5,16.5,0.6425000000000001,1.5,5.875,0.3275,6.5,8.5,0.9675,1.625,7.875,9.5,4.875,1.875,0.125,6.0,4.5,Lithuanian LKL,2019,F,6-2,145,Juventus,Siauliai,"2015 NBA Draft, Undrafted",Lithuania
2019,G,9,Dovis Bickauskis,JUV,39,35.25,21.75,6.5,17.375,0.46375,2.875,7.75,0.46625,5.875,7.25,1.015,1.5,4.375,5.875,12.125,3.25,0.25,5.5,4.5,Lithuanian LKL,2019,G,6-2,167,Lietuvos Rytas,Siauliai,"2015 NBA Draft, Undrafted",Lithuania
2020,G,20,Dovis Bickauskis,LIE,24,24.875,16.875,5.5,15.0,0.4625,2.875,8.125,0.4425,2.875,4.25,0.8450000000000001,1.625,5.5,7.125,8.0,3.25,0.125,3.875,5.25,Lithuanian LKL,2019,G,6-2,167,Lietuvos Rytas,Siauliai,"2015 NBA Draft, Undrafted",Lithuania
2021,G,17,Dovis Bickauskis,LIE,43,24.875,21.25,7.375,17.625,0.5275,3.0,8.0,0.47125,3.375,3.875,1.09125,1.5,4.625,6.125,10.5,3.75,0.25,4.25,5.75,Lithuanian LKL,2019,G,6-2,167,Lietuvos Rytas,Siauliai,"2015 NBA Draft, Undrafted",Lithuania
