Year,Position,#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2019,G,1,"Marcus LoVett, Jr.",SLOB,18.0,39.5,25.75,9.5,17.75,0.67125,3.25,6.625,0.61875,3.375,4.25,0.9875,0.5,3.375,3.875,5.375,1.625,0.125,4.125,2.875
2019,G,2,Marko Radonjic,PAZ,33.0,42.125,22.5,7.625,18.0,0.53,2.75,8.75,0.4025,4.375,5.375,1.0137500000000002,1.375,4.125,5.5,6.875,1.875,0.0,3.25,3.625
2019,G,3,Dukan Dukanovic,MET,17.0,44.875,21.0,7.625,14.5,0.65375,1.375,4.0,0.40875,4.5,6.125,0.93375,1.25,5.5,6.75,6.375,3.625,0.125,3.125,2.75
2019,G,4,Strahinja Jovanovic,SWIS,23.0,41.0,20.875,6.375,13.625,0.59,1.375,4.375,0.40125,6.625,8.625,0.9675,0.75,4.5,5.25,7.25,1.75,0.0,4.125,2.5
2019,G,5,Jagos Matijasevic,BEO,18.0,34.125,18.25,6.375,15.5,0.51625,1.375,5.25,0.33375,4.125,5.625,0.9099999999999999,1.375,4.25,5.5,5.375,1.875,0.125,4.0,4.125
2019,G,6,Bogdan Dragovic,DUN,17.0,36.375,17.25,5.875,15.25,0.48250000000000004,2.25,5.875,0.485,3.125,4.25,0.9425,1.125,4.125,5.25,4.625,1.375,0.5,5.125,4.375
2019,G,7,Krsto Bjelica,ZLAT,33.0,35.875,15.875,5.75,12.375,0.5850000000000001,1.0,4.0,0.3275,3.25,4.25,0.9575,1.375,4.5,5.75,4.375,1.5,0.125,3.25,3.0
2019,G,8,Novak Music,BEO,30.0,34.125,15.75,5.375,11.75,0.57875,1.125,3.25,0.41125,3.875,5.625,0.8512500000000001,0.625,3.625,4.25,6.25,2.625,0.375,3.5,4.0
2019,G,9,Tracy Abrams,SLOB,6.0,25.5,15.25,5.25,11.5,0.56875,1.25,3.125,0.5,3.5,4.125,1.0625,0.875,1.25,2.125,4.0,2.125,0.0,2.5,3.375
2019,G,10,Nikola Kocovic,BOR,34.0,29.625,14.875,4.625,8.875,0.65375,1.375,3.625,0.48750000000000004,4.125,5.0,1.0374999999999999,0.375,2.75,3.0,3.25,1.625,0.0,2.25,2.25
2019,G,11,Ilija Dokovic,BOR,31.0,31.75,14.875,4.75,11.5,0.51125,3.125,8.375,0.45625,2.375,2.625,1.09875,0.5,2.25,2.75,5.625,0.875,0.0,2.75,2.625
2019,G,12,Adam Mokoka,MEG,12.0,37.25,14.75,5.5,11.625,0.5912499999999999,1.75,5.5,0.40125,2.0,3.0,0.8187500000000001,2.0,3.125,5.125,5.75,1.875,0.375,3.375,3.25
