Year,Position,#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2019,G,1,Tu Holloway,IBB,21.0,42.75,25.125,8.0,17.0,0.5862499999999999,2.125,6.375,0.405,7.125,8.75,1.0274999999999999,0.5,2.875,3.5,5.875,1.75,0.125,3.0,2.625
2019,G,2,Quim Colom,BAHC,27.0,40.375,19.5,5.875,14.625,0.50125,3.0,8.25,0.45875,4.625,5.75,1.01,0.5,3.375,3.875,7.5,1.125,0.0,3.375,2.125
2019,G,3,Shane Larkin,EFE,24.0,34.625,18.875,6.125,13.25,0.57375,2.5,6.625,0.45875,4.25,4.5,1.17875,0.875,2.5,3.5,5.625,1.875,0.125,2.5,2.375
2019,G,4,Alexander Perez Kaufmann,BVS,29.0,39.75,18.375,6.5,14.0,0.57875,2.125,5.75,0.4575,3.25,3.875,1.055,0.375,3.0,3.375,7.0,1.125,0.125,2.5,2.75
2019,G,5,Diante Garrett,TOF,20.0,40.125,18.25,7.5,15.25,0.615,1.75,5.375,0.40750000000000003,1.5,2.125,0.8825,0.75,3.375,4.0,7.875,1.625,0.125,3.25,2.375
2019,G,6,Erving Walker,PIN,28.0,37.375,15.125,4.375,12.5,0.4375,2.375,7.0,0.41125,4.0,5.25,0.95375,0.25,1.375,1.625,4.125,0.875,0.0,2.5,1.875
2019,G,7,Kostas Sloukas,FEN,30.0,33.875,14.625,5.0,8.875,0.70125,1.875,4.25,0.56875,2.875,3.125,1.11875,0.375,2.5,2.875,6.0,1.25,0.0,2.875,2.25
2019,G,8,Tai Webster,GAL,31.0,33.875,13.75,5.375,12.625,0.5287499999999999,1.25,3.625,0.42125,1.875,2.625,0.90875,0.5,3.25,3.75,4.5,1.125,0.125,2.875,2.625
2019,G,9,Ray McCallum,DBI,7.0,30.25,12.875,4.5,11.375,0.48875,1.375,2.5,0.7137499999999999,2.5,2.875,1.09375,0.875,2.5,3.375,5.0,0.125,0.125,2.5,2.0
2019,G,10,Ali Muhammed,FEN,38.0,27.75,12.75,4.375,9.25,0.5912499999999999,2.625,6.0,0.54625,1.375,1.625,1.05,0.875,2.125,3.0,2.875,1.0,0.0,1.375,2.625
2019,G,11,Danny Gibson,DEM,19.0,36.0,12.75,4.625,10.5,0.55875,2.625,6.0,0.54375,0.75,1.0,0.8599999999999999,0.375,1.75,2.125,4.75,0.875,0.0,2.375,3.125
2019,G,12,Earl Calloway,AFYO,24.0,36.125,12.625,4.5,10.125,0.55125,2.75,6.625,0.52125,1.0,1.125,1.0225,1.0,3.25,4.125,5.875,1.625,0.125,2.625,2.5
2019,G,13,Mitchell Wilbekin,SAK,12.0,32.375,12.0,4.375,11.0,0.5,1.625,4.75,0.40750000000000003,1.625,2.25,0.90875,0.875,1.75,2.625,2.875,0.625,0.125,1.75,2.25
