Year_x,Position,#,Player,Team_x,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year_y,Pos,HT,WT,Team_y,Birth City,Draft Status,Nationality,League
2019,G,1,Tu Holloway,IBB,21.0,42.75,25.125,8.0,17.0,0.5862499999999999,2.125,6.375,0.405,7.125,8.75,1.0275,0.5,2.875,3.5,5.875,1.75,0.125,3.0,2.625,2020,G,6-0,190,Ormanspor Genc Ankara,Hempstead (NY),"2012 NBA Draft, Undrafted",United States,Turkish BSL
2021,G,3,Tu Holloway,OGA,30.0,38.5,18.625,5.25,12.0,0.54875,1.5,4.5,0.42875,6.625,7.125,1.16125,0.75,3.125,3.75,7.5,0.875,0.25,3.0,2.5,2020,G,6-0,190,Ormanspor Genc Ankara,Hempstead (NY),"2012 NBA Draft, Undrafted",United States,Turkish BSL
2019,G,3,Shane Larkin,EFE,24.0,34.625,18.875,6.125,13.25,0.57375,2.5,6.625,0.45875,4.25,4.5,1.17875,0.875,2.5,3.5,5.625,1.875,0.125,2.5,2.375,2019,G,5-11,175,Anadolu Efes,Cincinnati (OH),2013 Rnd 1 Pick 18,United StatesTurkey,Turkish BSL
2020,G,10,Shane Larkin,EFE,10.0,29.625,16.125,5.375,12.5,0.5375,2.375,7.75,0.3825,3.0,3.125,1.2,1.125,2.25,3.375,5.0,1.75,0.125,2.125,1.75,2019,G,5-11,175,Anadolu Efes,Cincinnati (OH),2013 Rnd 1 Pick 18,United StatesTurkey,Turkish BSL
2021,G,22,Shane Larkin,EFE,23.0,23.625,10.25,3.125,7.375,0.5237499999999999,2.25,5.625,0.51,1.75,2.125,1.0575,0.125,2.125,2.375,4.0,0.75,0.0,1.5,1.0,2019,G,5-11,175,Anadolu Efes,Cincinnati (OH),2013 Rnd 1 Pick 18,United StatesTurkey,Turkish BSL
2022,G,14,Shane Larkin,EFE,31.0,31.375,14.75,4.375,10.375,0.5325,3.0,7.5,0.50375,3.0,3.25,1.1275,0.375,3.125,3.5,6.25,1.0,0.125,2.875,1.5,2019,G,5-11,175,Anadolu Efes,Cincinnati (OH),2013 Rnd 1 Pick 18,United StatesTurkey,Turkish BSL
2023,G,18,Shane Larkin,EFE,28.0,34.0,14.125,4.375,9.875,0.5625,2.5,7.0,0.45625,2.75,3.25,1.05875,0.375,3.0,3.375,5.625,1.5,0.125,2.25,1.875,2019,G,5-11,175,Anadolu Efes,Cincinnati (OH),2013 Rnd 1 Pick 18,United StatesTurkey,Turkish BSL
2019,G,4,Alexander Perez Kaufmann,BVS,29.0,39.75,18.375,6.5,14.0,0.57875,2.125,5.75,0.4575,3.25,3.875,1.055,0.375,3.0,3.375,7.0,1.125,0.125,2.5,2.75,2020,G,6-3,190,Fenerbahce Beko,San Diego (CA),"2015 NBA Draft, Undrafted",United StatesMexico,Turkish BSL
2021,G,27,Alexander Perez Kaufmann,FEN,10.0,25.5,8.0,2.875,6.5,0.5525,0.75,2.25,0.41625,1.5,2.125,0.8825,0.125,1.75,1.875,5.0,1.25,0.0,1.625,3.125,2020,G,6-3,190,Fenerbahce Beko,San Diego (CA),"2015 NBA Draft, Undrafted",United StatesMexico,Turkish BSL
2022,G,25,Alexander Perez Kaufmann,TUR,25.0,34.0,10.875,4.0,10.375,0.48875,1.25,3.75,0.4225,1.5,2.0,0.915,0.75,3.125,3.75,8.0,1.0,0.375,3.375,3.625,2020,G,6-3,190,Fenerbahce Beko,San Diego (CA),"2015 NBA Draft, Undrafted",United StatesMexico,Turkish BSL
2023,G,9,Alexander Perez Kaufmann,TOR,24.0,41.625,17.0,5.875,13.625,0.53625,1.875,5.625,0.4325,3.375,3.75,1.1125,0.375,3.0,3.5,9.375,1.5,0.0,3.25,4.0,2020,G,6-3,190,Fenerbahce Beko,San Diego (CA),"2015 NBA Draft, Undrafted",United StatesMexico,Turkish BSL
2019,G,7,Kostas Sloukas,FEN,30.0,33.875,14.625,5.0,8.875,0.70125,1.875,4.25,0.56875,2.875,3.125,1.11875,0.375,2.5,2.875,6.0,1.25,0.0,2.875,2.25,2019,G,6-2,210,Fenerbahce Beko,Thessaloniki,"2012 NBA Draft, Undrafted",Greece,Turkish BSL
2020,G,13,Kostas Sloukas,FEN,14.0,40.625,13.875,3.75,9.0,0.52,1.875,4.5,0.525,4.5,4.875,1.1575,0.5,3.125,3.625,8.625,1.75,0.125,2.625,1.75,2019,G,6-2,210,Fenerbahce Beko,Thessaloniki,"2012 NBA Draft, Undrafted",Greece,Turkish BSL
2019,G,8,Tai Webster,GAL,31.0,33.875,13.75,5.375,12.625,0.5287499999999999,1.25,3.625,0.42125,1.875,2.625,0.90875,0.5,3.25,3.75,4.5,1.125,0.125,2.875,2.625,2019,G,6-2,180,Galatasaray,Auckland,"2017 NBA Draft, Undrafted",New Zealand,Turkish BSL
2020,G,14,Tai Webster,GAL,18.0,31.75,13.625,5.375,11.625,0.5800000000000001,1.25,4.25,0.3687499999999999,1.625,2.25,0.87125,0.5,2.625,3.0,5.125,1.125,0.125,3.0,2.75,2019,G,6-2,180,Galatasaray,Auckland,"2017 NBA Draft, Undrafted",New Zealand,Turkish BSL
2023,G,23,Tai Webster,SOC,12.0,24.875,10.375,3.875,8.75,0.55,1.375,3.625,0.46375,1.375,2.5,0.6775,0.25,2.25,2.375,3.375,0.875,0.0,3.0,2.625,2019,G,6-2,180,Galatasaray,Auckland,"2017 NBA Draft, Undrafted",New Zealand,Turkish BSL
2019,G,10,Ali Muhammed,FEN,38.0,27.75,12.75,4.375,9.25,0.5912499999999999,2.625,6.0,0.54625,1.375,1.625,1.05,0.875,2.125,3.0,2.875,1.0,0.0,1.375,2.625,2019,G,5-10,160,Fenerbahce Beko,Chicago (IL),"2006 NBA Draft, Undrafted",United StatesTurkey,Turkish BSL
2020,G,27,Ali Muhammed,FEN,23.0,21.375,6.25,2.125,5.625,0.48125,1.25,3.875,0.41625,0.625,0.625,1.14625,0.375,2.625,3.0,2.625,1.25,0.0,1.125,1.625,2019,G,5-10,160,Fenerbahce Beko,Chicago (IL),"2006 NBA Draft, Undrafted",United StatesTurkey,Turkish BSL
2021,G,27,Ali Muhammed,FEN,31.0,19.625,7.875,2.75,6.25,0.545,1.5,4.125,0.46125,0.875,1.0,1.0575,0.375,1.75,2.125,2.25,0.875,0.0,1.125,1.625,2019,G,5-10,160,Fenerbahce Beko,Chicago (IL),"2006 NBA Draft, Undrafted",United StatesTurkey,Turkish BSL
2019,G,14,T.J. Campbell,TUR,31.0,38.25,11.625,4.0,10.125,0.49,3.0,7.375,0.49875,0.75,1.0,0.865,0.625,2.125,2.75,5.625,1.0,0.0,1.5,3.625,2019,G,5-9,190,Turk Telekom,Phoenix (AZ),"2010 NBA Draft, Undrafted",United States,Turkish BSL
2020,G,20,T.J. Campbell,TUR,21.0,36.0,10.75,3.5,8.125,0.5287499999999999,2.5,5.875,0.5225,1.375,1.875,0.9275,0.375,1.75,2.25,4.375,0.875,0.0,1.75,3.375,2019,G,5-9,190,Turk Telekom,Phoenix (AZ),"2010 NBA Draft, Undrafted",United States,Turkish BSL
2022,G,23,T.J. Campbell,AFYO,10.0,43.75,12.625,4.25,12.0,0.4425,2.5,8.0,0.39125,1.625,1.875,1.08375,0.625,3.375,4.0,6.625,0.75,0.0,4.5,3.125,2019,G,5-9,190,Turk Telekom,Phoenix (AZ),"2010 NBA Draft, Undrafted",United States,Turkish BSL
2019,G,15,Mehmet Yagmur,IBB,25.0,34.75,11.25,4.125,9.875,0.52,1.75,5.125,0.4125,1.375,1.75,0.9925,1.0,3.625,4.75,5.5,1.5,0.0,2.125,3.5,2019,G,6-1,187,Sigortam.net ITU Bakiroy,Izmir,"2009 NBA Draft, Undrafted",Turkey,Turkish BSL
2020,G,25,Mehmet Yagmur,ITU,22.0,34.125,8.375,3.125,6.875,0.5575,1.375,3.75,0.48125,0.875,1.25,0.8150000000000001,0.5,2.75,3.25,5.5,2.0,0.0,2.0,2.5,2019,G,6-1,187,Sigortam.net ITU Bakiroy,Izmir,"2009 NBA Draft, Undrafted",Turkey,Turkish BSL
2021,G,32,Mehmet Yagmur,BES,26.0,20.75,4.625,1.5,4.25,0.42625,0.875,3.0,0.3625,0.875,1.0,1.1875,0.625,1.625,2.25,3.375,0.5,0.0,1.0,2.75,2019,G,6-1,187,Sigortam.net ITU Bakiroy,Izmir,"2009 NBA Draft, Undrafted",Turkey,Turkish BSL
2022,G,35,Mehmet Yagmur,BES,24.0,14.125,3.25,1.0,2.875,0.4625,0.625,1.75,0.44125,0.5,0.875,0.78125,0.625,1.5,2.125,1.375,0.625,0.0,0.75,2.625,2019,G,6-1,187,Sigortam.net ITU Bakiroy,Izmir,"2009 NBA Draft, Undrafted",Turkey,Turkish BSL
2023,G,38,Mehmet Yagmur,TUR,25.0,6.375,1.0,0.375,1.25,0.365,0.25,0.875,0.3475,0.125,0.25,0.625,0.25,0.625,0.875,0.25,0.25,0.0,0.25,1.375,2019,G,6-1,187,Sigortam.net ITU Bakiroy,Izmir,"2009 NBA Draft, Undrafted",Turkey,Turkish BSL
2019,G,16,Can Ogut,GAZ,28.0,35.875,10.75,3.375,8.875,0.47125,2.0,6.0,0.42,2.0,2.375,1.065,0.5,2.5,3.0,7.0,1.75,0.0,3.0,3.5,2019,G,5-10,-,Royal Hali Gaziantep,Malatya,"2014 NBA Draft, Undrafted",Turkey,Turkish BSL
2020,G,22,Can Ogut,GAZ,17.0,30.75,9.0,2.75,6.875,0.51125,2.0,5.25,0.46875,1.375,1.625,1.08,0.125,2.25,2.25,5.75,1.125,0.125,2.0,3.125,2019,G,5-10,-,Royal Hali Gaziantep,Malatya,"2014 NBA Draft, Undrafted",Turkey,Turkish BSL
2021,G,19,Can Ogut,GAZ,30.0,34.5,11.375,3.875,9.5,0.5075000000000001,2.75,7.0,0.48625,1.0,1.25,0.99125,0.25,2.375,2.625,8.125,1.375,0.0,2.875,3.375,2019,G,5-10,-,Royal Hali Gaziantep,Malatya,"2014 NBA Draft, Undrafted",Turkey,Turkish BSL
2022,G,28,Can Ogut,TUR,27.0,24.75,7.125,2.5,5.375,0.5874999999999999,1.5,3.5,0.55,0.625,0.875,0.92125,0.25,2.25,2.5,4.125,1.0,0.0,2.0,2.875,2019,G,5-10,-,Royal Hali Gaziantep,Malatya,"2014 NBA Draft, Undrafted",Turkey,Turkish BSL
2023,G,30,Can Ogut,GAZ,26.0,20.75,5.375,1.75,4.375,0.5087499999999999,1.125,3.125,0.4425,0.625,0.875,0.9725,0.25,1.125,1.375,3.875,0.75,0.0,1.25,2.75,2019,G,5-10,-,Royal Hali Gaziantep,Malatya,"2014 NBA Draft, Undrafted",Turkey,Turkish BSL
2019,G,17,Kartal Ozmizrak,DBI,25.0,24.375,10.5,3.75,7.5,0.6125,2.25,5.0,0.555,0.875,1.125,0.97875,0.25,2.5,2.75,3.625,1.0,0.0,1.125,2.125,2019,G,6-2,163,Darussafaka Basketbol Istanbul,Bakirkoy,"2017 NBA Draft, Undrafted",Turkey,Turkish BSL
2020,G,19,Kartal Ozmizrak,DBI,21.0,27.25,11.25,3.625,9.25,0.48875,2.125,6.0,0.4337499999999999,2.0,2.5,0.9825,0.625,2.125,2.625,4.5,1.375,0.125,1.125,2.375,2019,G,6-2,163,Darussafaka Basketbol Istanbul,Bakirkoy,"2017 NBA Draft, Undrafted",Turkey,Turkish BSL
2022,G,26,Kartal Ozmizrak,BAHC,25.0,27.5,9.875,3.125,7.625,0.5062500000000001,1.75,4.875,0.43875,2.0,2.5,0.95625,0.375,2.5,2.875,5.5,0.75,0.0,1.875,2.375,2019,G,6-2,163,Darussafaka Basketbol Istanbul,Bakirkoy,"2017 NBA Draft, Undrafted",Turkey,Turkish BSL
2023,G,21,Kartal Ozmizrak,BAHC,15.0,32.0,12.375,3.875,9.0,0.5325,2.375,5.5,0.54875,2.25,2.875,0.96375,0.875,2.875,3.625,4.375,0.5,0.125,1.875,2.625,2019,G,6-2,163,Darussafaka Basketbol Istanbul,Bakirkoy,"2017 NBA Draft, Undrafted",Turkey,Turkish BSL
2019,G,18,Tolga Gecim,BVS,25.0,29.75,10.125,3.75,9.625,0.47875,1.875,5.375,0.44375,0.875,1.125,0.96625,0.625,3.375,4.0,4.25,0.5,0.125,1.875,2.0,2019,G,6-8,200,Anadolu Efes,Seyhan,"2018 NBA Draft, Undrafted",Turkey,Turkish BSL
2020,G,29,Tolga Gecim,EFE,23.0,19.375,5.5,2.125,5.125,0.5325,0.625,2.375,0.34875,0.5,0.875,0.83375,0.5,2.75,3.25,3.5,0.5,0.125,0.875,1.5,2019,G,6-8,200,Anadolu Efes,Seyhan,"2018 NBA Draft, Undrafted",Turkey,Turkish BSL
2021,G,31,Tolga Gecim,EFE,30.0,14.75,4.625,1.625,3.25,0.64125,0.625,1.5,0.52125,0.75,1.25,0.7324999999999999,0.25,1.75,2.0,2.375,0.25,0.0,1.0,1.25,2019,G,6-8,200,Anadolu Efes,Seyhan,"2018 NBA Draft, Undrafted",Turkey,Turkish BSL
2022,G,31,Tolga Gecim,EFE,14.0,17.625,4.75,1.5,3.875,0.49375,1.125,2.625,0.5,0.625,0.75,1.09375,0.5,1.75,2.375,2.75,0.375,0.125,1.125,0.875,2019,G,6-8,200,Anadolu Efes,Seyhan,"2018 NBA Draft, Undrafted",Turkey,Turkish BSL
2023,G,33,Tolga Gecim,TOF,13.0,15.875,3.625,1.125,4.125,0.34875,0.625,2.625,0.32375,0.625,0.875,0.9725,0.375,1.25,1.625,2.25,0.375,0.125,1.0,1.5,2019,G,6-8,200,Anadolu Efes,Seyhan,"2018 NBA Draft, Undrafted",Turkey,Turkish BSL
2019,G,20,Kenan Sipahi,BES,27.0,27.125,8.0,2.875,6.5,0.55,0.75,2.375,0.41625,1.5,2.25,0.83375,0.75,3.5,4.25,4.375,1.375,0.125,2.0,3.375,2020,G,6-6,195,Fenerbahce Beko,Pristina,"2017 NBA Draft, Undrafted",KosovoTurkey,Turkish BSL
2021,G,28,Kenan Sipahi,FEN,35.0,19.75,7.625,2.75,6.75,0.5087499999999999,1.0,3.0,0.42125,1.125,1.625,0.8887499999999999,0.375,1.875,2.25,3.375,0.625,0.0,1.625,2.375,2020,G,6-6,195,Fenerbahce Beko,Pristina,"2017 NBA Draft, Undrafted",KosovoTurkey,Turkish BSL
2022,G,15,Kenan Sipahi,BES,17.0,39.125,14.75,4.5,11.375,0.50375,1.375,4.75,0.3712499999999999,4.25,5.625,0.925,1.0,3.125,4.125,9.375,1.5,0.125,3.0,3.5,2020,G,6-6,195,Fenerbahce Beko,Pristina,"2017 NBA Draft, Undrafted",KosovoTurkey,Turkish BSL
2023,G,24,Kenan Sipahi,PIN,37.0,30.25,10.375,3.75,9.25,0.505,1.125,4.0,0.3575,1.75,2.25,0.98125,1.0,3.125,4.0,5.25,1.125,0.125,1.75,3.0,2020,G,6-6,195,Fenerbahce Beko,Pristina,"2017 NBA Draft, Undrafted",KosovoTurkey,Turkish BSL
2019,G,22,Safak Edge,SAK,15.0,31.5,6.875,2.625,7.75,0.41625,1.25,4.5,0.3475,0.5,0.875,0.75,0.5,1.375,1.875,3.125,0.875,0.0,2.625,1.625,2019,G,6-2,186,Turk Telekom,Dursunbey,"2014 NBA Draft, Undrafted",Turkey,Turkish BSL
2020,G,38,Safak Edge,TUR,22.0,15.5,3.25,1.25,4.125,0.365,0.75,2.75,0.33125,0.125,0.125,0.83375,0.125,0.125,0.375,1.5,0.375,0.0,1.125,1.25,2019,G,6-2,186,Turk Telekom,Dursunbey,"2014 NBA Draft, Undrafted",Turkey,Turkish BSL
2022,G,34,Safak Edge,AFYO,13.0,23.5,3.5,1.375,5.125,0.33,0.75,3.625,0.26375,0.0,0.0,0.0,0.25,1.0,1.125,1.875,0.125,0.0,1.5,1.875,2019,G,6-2,186,Turk Telekom,Dursunbey,"2014 NBA Draft, Undrafted",Turkey,Turkish BSL
2019,G,23,Serkan Mentese,AFYO,27.0,21.875,5.75,2.125,5.625,0.46125,1.125,3.5,0.41625,0.5,0.75,0.735,0.625,1.625,2.25,3.75,1.25,0.0,1.625,2.125,2020,G,5-11,168,Socar Petkimspor,,"2013 NBA Draft, Undrafted",Turkey,Turkish BSL
2022,G,41,Serkan Mentese,MERK,11.0,9.125,1.5,0.625,1.75,0.41625,0.375,1.375,0.3125,0.0,0.0,0.0,0.625,0.625,1.375,1.375,0.25,0.0,0.625,1.125,2020,G,5-11,168,Socar Petkimspor,,"2013 NBA Draft, Undrafted",Turkey,Turkish BSL
