Year,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
2019,Yigit Abdullahoglu,G,6-2,-,Demir Insaat Buyukcekmece,N/A,"2021 NBA Draft, Undrafted",Turkey
2019,Mahir Agva,C,6-9,231,Darussafaka Basketbol Istanbul,Reutlingen,"2018 NBA Draft, Undrafted",Germany
2019,Mert Akay,G,6-6,180,Darussafaka Basketbol Istanbul,Beyoglu,"2022 NBA Draft, Undrafted",Turkey
2019,Yunus Akcay,G,6-3,180,Sigortam.net ITU Bakiroy,Istanbul,"2011 NBA Draft, Undrafted",Turkey
2019,Tevfik Akdamar,F,6-8,-,Bursaspor,Cesme,"2016 NBA Draft, Undrafted",Turkey
2019,Ismet Akpinar,G,6-4,176,Besiktas Icrypex,Hamburg,"2017 NBA Draft, Undrafted",Germany
2019,Berkan Aksu,F,6-9,-,Tofas SC,Gaziosmanpasa,"2023 NBA Draft, Undrafted",Turkey
2019,Thomas Akyazili,G,6-2,180,Bahcesehir Koleji,Mortsel,"2018 NBA Draft, Undrafted",Belgium
2019,Metehan Akyel,C,6-9,172,Royal Hali Gaziantep,Izmit,"2018 NBA Draft, Undrafted",Turkey
2019,Cenk Akyol,G,6-4,200,Sigortam.net ITU Bakiroy,Kadikoy,2005 Rnd 2 Pick 29,Turkey
2019,Eray Akyuz,G,6-2,187,Teksut Bandirma,Manisa,"2022 NBA Draft, Undrafted",Turkey
2019,Ahmad Al Dwairi,G,7-0,267,Fenerbahce Beko,Istanbul,"2015 NBA Draft, Undrafted",TurkeyJordan
2019,Omer Al,G,6-0,175,Besiktas Icrypex,Mersin,"2020 NBA Draft, Undrafted",Turkey
2019,Peyton Aldridge,F,6-8,225,Afyonkarahisar Belediye,Warren (OH),"2018 NBA Draft, Undrafted",United States
2019,Mert Alemdar,G,6-1,192,Ormanspor Genc Ankara,Ankara,"2013 NBA Draft, Undrafted",Turkey
2019,Mehmet Alemdaroglu,F,6-8,210,Afyonkarahisar Belediye,Balikesir,"2018 NBA Draft, Undrafted",Turkey
2019,Can Altintig,G,6-5,205,Bahcesehir Koleji,Bursa,"2009 NBA Draft, Undrafted",Turkey
2019,James Anderson,GF,6-6,210,Anadolu Efes,El Dorado (AR),2010 Rnd 1 Pick 20,United States
2019,Andrew Andrews,G,6-2,200,Demir Insaat Buyukcekmece,Portland (OR),"2016 NBA Draft, Undrafted",United States
2019,Marko Arapovic,C,6-9,231,Galatasaray,Zagreb,"2018 NBA Draft, Undrafted",Croatia
2019,Ege Arar,C,6-10,227,Galatasaray,Seyhan,"2018 NBA Draft, Undrafted",Turkey
2019,Sean Armand,G,6-5,200,Bahcesehir Koleji,Brooklyn (NY),"2014 NBA Draft, Undrafted",United States
2019,Egehan Arna,F,6-8,195,Fenerbahce Beko,Kadikoy,"2019 NBA Draft, Undrafted",Turkey
2019,Ender Arslan,G,6-2,170,Bursaspor,Istanbul,"2005 NBA Draft, Undrafted",Turkey
2019,Yigit Arslan,G,6-5,190,Galatasaray,Osmangazi,"2018 NBA Draft, Undrafted",Turkey
2019,Berke Atar,F,6-11,220,Teksut Bandirma,Konak,"2021 NBA Draft, Undrafted",Turkey
2019,Ata Atsuren,G,6-3,192,Tofas SC,Nilufer,2025 NBA Draft Eligible,Turkey
2019,Zach Auguste,F,6-10,239,Galatasaray,Marlborough (MA),"2016 NBA Draft, Undrafted",United States
2019,Berke Aygunduz,G,6-5,-,Pinar Karsiyaka,N/A,"2020 NBA Draft, Undrafted",Turkey
2019,Luka Babic,F,6-6,190,Ormanspor Genc Ankara,Split,"2013 NBA Draft, Undrafted",Croatia
2019,Dogus Balbay,G,6-1,175,Anadolu Efes,Kadikoy,"2011 NBA Draft, Undrafted",Turkey
2019,Kamar Baldwin,G,6-1,190,Turk Telekom,Winder (GA),"2020 NBA Draft, Undrafted",United States
