Year,#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2001,1,Alphonso Ford,PER,12,34.5,26.0,9.7,17.8,.542,1.3,3.5,.357,5.4,6.3,.867,1.5,2.6,4.1,2.7,1.1,0.3,2.8,2.8
2001,2,Dejan Tomasevic,BUD,12,34.3,22.9,8.8,14.0,.625,0.0,0.3,.000,5.4,9.4,.575,5.0,6.5,11.5,3.1,2.0,1.0,3.0,2.8
2001,3,Panagiotis Liadelis,PAOK,13,33.4,22.7,7.2,14.2,.503,0.5,1.8,.304,7.8,9.3,.843,0.2,2.5,2.7,1.5,0.5,0.0,1.8,2.2
2001,4,Louis Bullock,VER,11,31.6,22.0,7.1,14.4,.494,2.3,5.5,.417,5.5,6.7,.824,0.5,2.1,2.5,3.2,1.9,0.2,1.3,2.2
2001,5,Jameil Rich,LUG,10,33.5,21.5,8.2,17.6,.466,1.7,4.8,.354,3.4,4.9,.694,1.3,1.6,2.9,2.7,3.7,0.0,3.5,3.0
2001,6,Sani Becirovic,OLI,15,32.4,20.7,6.3,14.7,.425,1.9,4.7,.400,6.3,7.0,.895,0.9,3.0,3.9,3.5,1.7,0.1,3.3,3.1
2001,7,Gregor Fucka,BOL,17,33.4,19.7,7.5,13.3,.562,0.7,1.8,.387,4.1,6.5,.627,2.5,5.9,8.4,0.7,2.3,0.8,2.2,2.2
2001,8,Patrick Baldwin,ZAD,9,32.0,18.3,5.9,11.0,.535,1.0,2.1,.474,5.6,6.2,.893,1.7,1.9,3.6,2.3,2.9,0.3,2.2,3.1
2001,9,Kendrick Warren,LT,9,31.7,17.9,7.2,14.7,.492,1.0,2.9,.346,2.4,4.6,.537,2.2,5.4,7.7,0.8,1.0,0.0,3.2,3.9
2001,10,Kebu Stewart,HAPJ,9,31.5,17.4,5.1,10.1,.505,0.0,0.0,.000,7.2,9.7,.747,2.8,5.4,8.2,0.2,1.1,0.2,2.0,2.8
2001,11,Kris Hill,OVA,10,34.4,17.2,7.3,11.9,.613,0.1,0.8,.125,2.5,3.8,.658,3.4,4.2,7.6,1.5,1.9,0.0,3.5,2.9
2001,12,Tony Dorsey,HAPJ,7,33.4,16.9,6.9,13.6,.505,0.4,1.9,.231,2.7,4.3,.633,2.1,2.9,5.0,1.7,1.1,0.1,2.6,2.1
2001,13,Mike Batiste,SPI,10,28.6,16.1,6.6,13.2,.500,0.3,1.0,.300,2.6,3.4,.765,3.1,6.1,9.2,0.4,0.9,0.3,2.7,3.2
