PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,Year,Season,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,JERSEY_NUMBER,POSITION,HEIGHT,WEIGHT,FROM_YEAR,TO_YEAR,PLAYER_HEIGHT_METERS
717,Arvydas Sabonis,1610612757,POR,32.0,69,43,26,0.623,51.3,9.6,19.2,0.498,1.4,3.8,0.371,6.5,8.4,0.777,3.3,12.6,15.9,4.3,4.4,1.8,2.4,1.0,5.9,0.0,27.0,1996-97,Regular Season,,Lithuania,1986,1,24,11,C,7-3,292.0,1995,2002,2.21
717,Arvydas Sabonis,1610612757,POR,32.0,4,1,3,0.25,53.9,9.0,21.1,0.429,1.0,4.0,0.25,3.5,4.0,0.875,4.0,9.0,13.1,4.5,4.5,1.5,1.5,2.5,9.5,4.0,22.6,1996-97,Playoffs,,Lithuania,1986,1,24,11,C,7-3,292.0,1995,2002,2.21
717,Arvydas Sabonis,1610612757,POR,33.0,73,40,33,0.548,52.1,9.1,18.5,0.493,0.7,2.6,0.261,7.2,9.1,0.798,3.3,13.0,16.3,4.9,4.2,1.5,1.8,1.0,6.0,0.0,26.1,1997-98,Regular Season,,Lithuania,1986,1,24,11,C,7-3,292.0,1995,2002,2.21
717,Arvydas Sabonis,1610612757,POR,33.0,4,1,3,0.25,53.0,9.0,19.9,0.45,0.5,1.0,0.5,6.0,7.0,0.857,3.5,11.9,15.4,3.0,5.0,3.5,1.5,3.5,9.5,0.0,24.4,1997-98,Playoffs,,Lithuania,1986,1,24,11,C,7-3,292.0,1995,2002,2.21
717,Arvydas Sabonis,1610612757,POR,34.0,50,35,15,0.7,53.3,9.2,18.9,0.485,0.3,0.9,0.292,5.3,6.9,0.771,3.5,12.1,15.5,4.7,3.4,1.3,2.5,1.3,5.8,0.0,23.9,1998-99,Regular Season,,Lithuania,1986,1,24,11,C,7-3,292.0,1995,2002,2.21
717,Arvydas Sabonis,1610612757,POR,34.0,13,7,6,0.538,55.9,6.4,16.1,0.398,0.1,0.7,0.2,5.6,6.1,0.907,1.7,14.6,16.3,4.1,2.7,2.1,2.1,1.4,5.0,0.0,18.6,1998-99,Playoffs,,Lithuania,1986,1,24,11,C,7-3,292.0,1995,2002,2.21
717,Arvydas Sabonis,1610612757,POR,35.0,66,50,16,0.758,52.2,9.4,18.5,0.505,0.2,0.6,0.368,5.2,6.1,0.843,3.0,12.9,15.9,3.7,3.0,1.3,2.4,0.7,5.7,0.4,24.1,1999-00,Regular Season,,Lithuania,1986,1,24,11,C,7-3,292.0,1995,2002,2.21
717,Arvydas Sabonis,1610612757,POR,35.0,16,10,6,0.625,55.8,7.7,17.0,0.453,0.7,2.4,0.286,4.4,5.6,0.796,2.2,10.0,12.1,3.5,2.9,1.6,1.5,1.0,6.7,0.3,20.5,1999-00,Playoffs,,Lithuania,1986,1,24,11,C,7-3,292.0,1995,2002,2.21
717,Arvydas Sabonis,1610612757,POR,36.0,61,37,24,0.607,52.1,9.9,20.8,0.479,0.0,0.6,0.067,4.9,6.3,0.776,2.1,11.3,13.3,3.7,3.4,1.6,2.5,1.0,5.5,0.0,24.8,2000-01,Regular Season,,Lithuania,1986,1,24,11,C,7-3,292.0,1995,2002,2.21
717,Arvydas Sabonis,1610612757,POR,36.0,3,0,3,0.0,51.8,6.9,14.4,0.483,0.0,1.0,0.0,3.0,4.0,0.75,4.0,8.4,12.4,4.0,1.0,0.5,3.5,0.5,5.9,0.0,16.8,2000-01,Playoffs,,Lithuania,1986,1,24,11,C,7-3,292.0,1995,2002,2.21
