Year,Position,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,3PM/FGM,APG_TOV,FG3A%,HT,League,Nationality,League Country
2019,G,Nikola Ivanovic,BUD,8.0,22.25,23.62,5.12,15.25,0.42,3.0,7.62,0.49,10.5,11.88,1.12,1.25,2.12,3.38,8.88,3.38,0.0,2.5,3.75,0.59,3.55,0.5,1.91,Adriatic ABA,Montenegro,Montenegro
2020,G,Nikola Ivanovic,BUD,18.0,28.62,25.5,8.25,18.62,0.56,3.62,9.62,0.47,5.25,6.5,1.0,0.62,5.5,6.12,11.0,3.38,0.0,3.0,5.88,0.44,3.67,0.52,1.91,Adriatic ABA,Montenegro,Montenegro
2021,G,Nikola Ivanovic,BUD,31.0,32.75,29.5,8.62,19.88,0.54,3.12,9.88,0.39,9.25,10.88,1.06,1.25,5.12,6.38,11.25,3.25,0.0,3.88,4.12,0.36,2.9,0.5,1.91,Adriatic ABA,Montenegro,Montenegro
2020,G,Luka Bozic,BUD,15.0,14.12,18.5,7.12,14.62,0.61,2.12,5.38,0.5,2.12,3.5,0.75,2.12,6.0,8.12,3.88,2.88,0.0,3.5,5.62,0.3,1.11,0.37,1.96,Adriatic ABA,Croatia,Montenegro
2019,G,Nemanja Gordic,BUD,30.0,30.38,23.25,7.62,18.38,0.52,2.0,7.38,0.33,5.88,8.62,0.86,0.38,4.25,4.62,10.75,1.38,0.0,4.12,5.38,0.26,2.61,0.4,1.93,Adriatic ABA,Bosnia and Herzegovina,Montenegro
2024,G,Marko Jeremic,IGO,25.0,28.0,23.38,6.75,17.12,0.49,6.25,16.12,0.49,3.5,3.88,1.15,0.75,2.62,3.38,3.75,1.88,0.0,1.88,5.62,0.93,2.0,0.94,1.93,Adriatic ABA,Serbia,Bosnia and Herzegovina
2021,G,Stefan Pot,IGO,25.0,22.75,25.38,8.0,19.38,0.52,2.62,6.62,0.5,6.75,9.62,0.87,1.12,6.38,7.5,10.75,1.0,0.25,4.62,6.38,0.33,2.32,0.34,1.96,Adriatic ABA,Serbia,Bosnia and Herzegovina
2021,G,Edin Atic,IGO,25.0,33.0,24.25,8.75,18.5,0.59,3.12,10.12,0.39,3.5,4.5,0.95,2.0,8.25,10.25,7.25,3.12,1.25,3.12,4.88,0.36,2.32,0.55,2.01,Adriatic ABA,Bosnia and Herzegovina,Bosnia and Herzegovina
2022,F,Edin Atic,BUD,28.0,22.88,19.25,7.12,17.5,0.51,3.0,9.12,0.42,1.88,2.62,0.91,2.75,11.0,13.75,5.25,2.25,0.75,3.5,7.12,0.42,1.5,0.52,2.01,Adriatic ABA,Bosnia and Herzegovina,Montenegro
2023,F,Edin Atic,BUD,27.0,20.75,21.62,8.12,15.5,0.66,2.38,7.75,0.39,3.0,4.62,0.79,1.38,7.0,8.25,5.12,2.0,1.88,3.75,7.62,0.29,1.37,0.5,2.01,Adriatic ABA,Bosnia and Herzegovina,Montenegro
2024,F,Edin Atic,IGO,19.0,31.12,25.62,8.5,23.25,0.46,3.38,12.38,0.35,5.25,6.75,0.97,1.25,7.25,8.5,11.0,3.0,1.0,4.0,5.25,0.4,2.75,0.53,2.01,Adriatic ABA,Bosnia and Herzegovina,Bosnia and Herzegovina
2019,F,Suad Sehovic,BUD,28.0,19.88,17.62,5.5,12.5,0.55,4.62,11.12,0.51,2.0,3.25,0.78,2.38,7.25,9.62,1.38,1.88,0.12,0.5,7.5,0.84,2.75,0.89,1.98,Adriatic ABA,Montenegro,Montenegro
2020,F,Suad Sehovic,BUD,19.0,22.0,22.75,6.75,14.12,0.6,6.25,13.25,0.59,2.88,3.38,1.05,1.25,9.0,10.25,1.25,1.62,0.12,0.75,4.25,0.93,1.67,0.94,1.98,Adriatic ABA,Montenegro,Montenegro
2021,G,Suad Sehovic,BUD,31.0,15.75,14.0,4.5,11.88,0.47,4.38,11.38,0.47,0.75,0.88,1.04,2.0,7.0,9.0,0.25,1.12,0.0,0.62,5.38,0.97,0.4,0.96,1.98,Adriatic ABA,Montenegro,Montenegro
2022,G,Suad Sehovic,BUD,11.0,19.0,15.75,4.25,13.25,0.4,4.0,12.88,0.38,3.25,3.25,1.25,2.88,5.0,7.88,0.38,1.75,0.0,0.0,6.88,0.94,inf,0.97,1.98,Adriatic ABA,Montenegro,Montenegro
2023,G,Suad Sehovic,BUD,12.0,7.88,33.5,9.62,21.5,0.56,8.75,19.88,0.55,5.62,5.62,1.25,1.62,7.12,8.75,2.38,2.38,0.0,3.25,3.25,0.91,0.73,0.92,1.98,Adriatic ABA,Montenegro,Montenegro
2023,F,Aleksandar Lazic,BUD,28.0,15.25,33.5,11.25,18.25,0.77,4.0,7.0,0.72,7.0,8.75,1.0,4.25,6.88,11.0,2.75,2.75,0.88,3.38,8.62,0.36,0.81,0.38,2.01,Adriatic ABA,Bosnia and Herzegovina,Montenegro
2019,F,Sava Lesic,IGO,22.0,34.25,33.25,10.88,23.5,0.58,1.25,6.12,0.24,10.12,13.38,0.95,4.88,9.12,14.0,3.5,2.12,0.12,3.38,5.5,0.11,1.04,0.26,2.06,Adriatic ABA,Croatia,Bosnia and Herzegovina
2020,F,Sava Lesic,IGO,21.0,27.5,28.25,9.75,21.75,0.56,1.88,6.0,0.38,7.0,11.75,0.74,4.38,8.75,13.12,2.0,3.38,0.38,4.0,5.75,0.19,0.5,0.28,2.06,Adriatic ABA,Croatia,Bosnia and Herzegovina
2021,F,Stefan Fundic,IGO,23.0,19.38,18.88,8.62,16.38,0.66,0.0,0.0,0.0,1.62,3.25,0.66,8.25,5.75,14.0,1.38,1.38,0.0,1.0,7.88,0.0,1.38,0.0,2.01,Adriatic ABA,Serbia,Bosnia and Herzegovina
2022,F,Stefan Fundic,IGO,23.0,11.75,18.38,8.62,16.12,0.67,0.0,0.25,0.0,1.12,3.62,0.38,7.0,7.25,14.12,5.0,0.88,0.0,1.62,8.88,0.0,3.08,0.02,2.01,Adriatic ABA,Serbia,Bosnia and Herzegovina
2021,C,Dragan Apic,BUD,23.0,16.38,23.62,8.75,15.5,0.7,0.25,0.25,1.25,6.0,9.5,0.78,5.0,4.38,9.38,3.0,1.38,0.75,5.0,10.75,0.03,0.6,0.02,2.06,Adriatic ABA,Serbia,Montenegro
2019,C,Alen Omic,BUD,13.0,22.5,20.88,6.62,12.62,0.66,0.0,0.0,0.0,7.5,10.5,0.88,8.25,9.5,17.75,4.88,1.25,0.75,2.62,5.88,0.0,1.86,0.0,2.18,Adriatic ABA,Bosnia and Herzegovina,Montenegro
2022,F,Aleksa Radanov,IGO,28.0,28.5,21.62,7.62,17.0,0.56,1.38,4.88,0.34,5.12,7.5,0.84,3.12,6.62,9.75,8.88,1.88,0.25,6.12,5.25,0.18,1.45,0.29,2.01,Adriatic ABA,Serbia,Bosnia and Herzegovina
2020,G,Petar Popovic,BUD,19.0,20.0,16.12,6.5,16.0,0.51,0.62,4.75,0.16,2.5,3.38,0.96,0.25,2.38,2.5,3.75,2.5,0.25,2.5,3.12,0.1,1.5,0.3,1.91,Adriatic ABA,Montenegro,Montenegro
2021,G,Petar Popovic,BUD,27.0,21.5,16.25,6.12,15.25,0.5,2.12,6.38,0.41,2.0,2.25,1.1,0.88,2.88,3.75,3.12,3.12,0.25,3.25,5.25,0.35,0.96,0.42,1.91,Adriatic ABA,Montenegro,Montenegro
2022,G,Petar Popovic,BUD,27.0,23.62,24.62,8.5,18.25,0.58,3.25,9.0,0.46,4.5,5.88,0.95,0.88,3.88,4.75,4.62,2.88,0.12,4.25,5.25,0.38,1.09,0.49,1.91,Adriatic ABA,Montenegro,Montenegro
2023,G,Petar Popovic,BUD,27.0,26.88,19.75,7.25,16.62,0.54,2.12,6.75,0.38,3.25,3.75,1.08,1.0,2.12,3.25,6.75,2.12,0.25,3.38,5.5,0.29,2.0,0.41,1.91,Adriatic ABA,Montenegro,Montenegro
2024,G,Petar Popovic,BUD,22.0,23.38,18.5,6.88,15.75,0.54,1.75,5.88,0.38,3.12,3.62,1.05,0.88,3.75,4.62,5.75,2.5,0.12,3.5,3.75,0.25,1.64,0.37,1.91,Adriatic ABA,Montenegro,Montenegro
2021,F,Marko Josilo,IGO,27.0,34.0,22.75,8.12,15.0,0.68,3.88,7.25,0.68,2.5,3.38,0.89,2.5,6.0,8.62,3.38,1.5,0.38,2.25,4.38,0.48,1.5,0.48,2.01,Adriatic ABA,Serbia,Bosnia and Herzegovina
2022,F,Marko Josilo,IGO,28.0,32.75,20.5,7.0,15.88,0.55,3.62,8.62,0.52,3.0,3.88,0.94,1.62,6.62,8.25,4.5,2.5,0.62,2.38,3.88,0.52,1.89,0.54,2.01,Adriatic ABA,Serbia,Bosnia and Herzegovina
2023,F,Marko Josilo,IGO,25.0,36.5,11.25,4.25,11.25,0.46,1.38,4.88,0.34,1.5,2.75,0.7,3.12,7.75,10.88,3.25,2.25,0.5,2.12,4.88,0.32,1.53,0.43,2.01,Adriatic ABA,Serbia,Bosnia and Herzegovina
2024,F,Marko Josilo,IGO,22.0,30.62,19.12,7.25,14.38,0.63,3.0,7.12,0.53,1.62,2.5,0.85,3.62,7.75,11.38,2.12,1.62,0.88,1.5,6.12,0.41,1.42,0.5,2.01,Adriatic ABA,Serbia,Bosnia and Herzegovina
2020,F,Darko Talic,IGO,13.0,15.12,18.25,6.88,16.0,0.54,3.38,9.5,0.45,1.12,1.88,0.75,0.38,2.62,3.0,4.5,1.88,0.0,3.75,10.25,0.49,1.2,0.59,1.98,Adriatic ABA,Bosnia and Herzegovina,Bosnia and Herzegovina
2021,G,Darko Talic,IGO,27.0,20.5,17.0,5.38,14.5,0.47,3.12,8.88,0.44,3.0,4.75,0.79,0.38,5.12,5.5,6.75,2.25,0.0,5.5,8.88,0.58,1.23,0.61,1.98,Adriatic ABA,Bosnia and Herzegovina,Bosnia and Herzegovina
2022,G,Darko Talic,IGO,24.0,16.25,13.5,4.62,17.12,0.34,2.75,11.5,0.29,1.5,3.25,0.59,0.38,5.62,6.0,8.62,2.25,0.0,4.25,7.5,0.59,2.03,0.67,1.98,Adriatic ABA,Bosnia and Herzegovina,Bosnia and Herzegovina
2020,F,Dorde Simeunovic,IGO,16.0,15.62,14.62,5.75,14.12,0.5,1.75,6.62,0.34,1.5,2.75,0.7,2.75,7.75,10.5,2.12,2.38,1.25,3.62,5.75,0.3,0.59,0.47,2.01,Adriatic ABA,Serbia,Bosnia and Herzegovina
2020,F,Aleksa Ilic,BUD,19.0,19.62,13.25,6.5,10.62,0.76,0.0,0.0,0.0,0.38,2.38,0.21,4.25,13.5,17.75,2.38,1.62,3.0,3.25,8.25,0.0,0.73,0.0,2.06,Adriatic ABA,Montenegro,Montenegro
2023,F,Aleksa Ilic,BUD,18.0,15.12,17.88,7.38,11.88,0.78,0.5,1.12,0.62,2.5,3.0,1.02,5.0,11.5,16.5,1.12,1.12,4.12,3.62,9.12,0.07,0.31,0.09,2.06,Adriatic ABA,Montenegro,Montenegro
