"Year_x","Position","#","Player","Team_x","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","Year_y","Pos","HT","WT","Team_y","Birth City","Draft Status","Nationality","League"
2019,G,1,Kenny Chery,BBD,34.0,36.75,34.0,11.75,27.0,0.54625,5.25,12.875,0.50625,5.25,5.625,1.17,1.625,5.25,7.0,8.75,2.875,0.0,3.5,3.375,2019,PG,"5-11",180,Nanterre 92,Montreal,"2015 NBA Draft, Undrafted",Canada,French Jeep Elite
2020,G,9,Kenny Chery,N92,24.0,36.0,29.0,10.125,23.375,0.54375,4.0,10.875,0.45625,4.75,5.0,1.20625,1.75,4.125,5.875,7.5,2.75,0.125,4.375,4.125,2019,PG,"5-11",180,Nanterre 92,Montreal,"2015 NBA Draft, Undrafted",Canada,French Jeep Elite
2019,G,2,Jeremy Senglin,N92,36.0,35.25,28.75,10.125,21.375,0.59,4.25,10.125,0.51625,4.375,5.5,0.98375,1.125,4.375,5.5,7.0,1.875,0.0,3.0,3.25,2021,G,"6-0",190,Nanterre 92,Kansas City (MO),"2017 NBA Draft, Undrafted",United States,French Jeep Elite
2022,G,20,Jeremy Senglin,N92,33.0,34.0,25.0,8.875,18.25,0.61125,3.375,7.625,0.5525,3.875,5.75,0.83875,1.125,4.5,5.625,5.375,1.625,0.125,2.875,3.625,2021,G,"6-0",190,Nanterre 92,Kansas City (MO),"2017 NBA Draft, Undrafted",United States,French Jeep Elite
2019,G,3,David Holston,DIJ,38.0,36.75,28.5,9.375,20.25,0.58,5.375,12.875,0.5175,4.375,5.125,1.06625,0.875,4.125,5.0,14.125,3.125,0.125,4.875,5.375,2019,PG,"5-8",160,JDA Dijon Basket,Pontiac (MI),"2009 NBA Draft, Undrafted",United States,French Jeep Elite
2020,G,15,David Holston,DIJ,23.0,32.875,25.5,8.375,18.0,0.58,4.625,11.375,0.505,4.25,5.125,1.03375,1.5,3.625,5.125,13.5,3.25,0.125,5.125,6.0,2019,PG,"5-8",160,JDA Dijon Basket,Pontiac (MI),"2009 NBA Draft, Undrafted",United States,French Jeep Elite
2021,G,8,David Holston,DIJ,36.0,37.0,29.5,9.625,20.125,0.595,4.75,11.375,0.52625,5.5,6.25,1.10375,0.75,4.25,5.0,12.5,3.125,0.125,5.25,5.125,2019,PG,"5-8",160,JDA Dijon Basket,Pontiac (MI),"2009 NBA Draft, Undrafted",United States,French Jeep Elite
2022,G,11,David Holston,DIJ,38.0,38.625,30.375,9.75,22.125,0.55125,4.875,12.875,0.47125,6.0,7.0,1.06,0.875,2.875,3.75,13.5,3.25,0.125,4.625,5.625,2019,PG,"5-8",160,JDA Dijon Basket,Pontiac (MI),"2009 NBA Draft, Undrafted",United States,French Jeep Elite
2023,G,12,David Holston,DIJ,33.0,33.75,30.25,10.125,21.625,0.5875,5.625,13.375,0.5275,4.125,4.75,1.1075,0.5,3.25,3.875,13.75,3.5,0.25,4.75,5.75,2019,PG,"5-8",160,JDA Dijon Basket,Pontiac (MI),"2009 NBA Draft, Undrafted",United States,French Jeep Elite
2024,G,11,David Holston,DIJ,25.0,33.5,28.875,10.0,22.0,0.56625,5.75,15.125,0.47375,3.375,3.625,1.15625,1.625,2.375,4.0,10.0,1.875,0.0,4.625,5.5,2019,PG,"5-8",160,JDA Dijon Basket,Pontiac (MI),"2009 NBA Draft, Undrafted",United States,French Jeep Elite
2019,G,4,Dominic Waters,N92,20.0,31.75,27.125,9.625,20.375,0.5925,2.375,5.375,0.555,5.375,6.25,1.085,0.25,3.625,3.875,10.375,2.125,0.125,5.5,6.5,2020,G,"6-1",180,Chalons-Reims CB,Portland (OR),"2010 NBA Draft, Undrafted",United States,French Jeep Elite
2021,G,22,Dominic Waters,RCB,24.0,32.625,23.875,8.375,17.25,0.60375,3.0,7.125,0.51625,4.25,5.125,1.04125,0.375,4.5,4.875,12.75,0.75,0.125,7.5,7.25,2020,G,"6-1",180,Chalons-Reims CB,Portland (OR),"2010 NBA Draft, Undrafted",United States,French Jeep Elite
2019,G,6,David Michineau,PLV,34.0,32.0,26.0,9.625,22.5,0.53125,2.625,6.625,0.495,4.25,5.25,1.00625,1.0,6.0,7.0,6.875,2.375,0.0,3.875,7.0,2019,PG,"6-4",180,Boulogne-Levallois,Les Abymes,"2016 Rnd 2 Pick 9",France,French Jeep Elite
2020,G,13,David Michineau,PLV,21.0,29.875,27.625,10.625,22.75,0.585,1.25,5.0,0.2975,5.125,7.125,0.89625,1.375,3.875,5.125,7.125,2.875,0.75,5.125,6.125,2019,PG,"6-4",180,Boulogne-Levallois,Les Abymes,"2016 Rnd 2 Pick 9",France,French Jeep Elite
2021,G,16,David Michineau,PLV,34.0,31.875,26.75,9.875,21.625,0.5675,3.125,8.375,0.465,4.0,4.75,1.0475,0.875,4.75,5.5,9.75,2.125,0.5,4.0,5.125,2019,PG,"6-4",180,Boulogne-Levallois,Les Abymes,"2016 Rnd 2 Pick 9",France,French Jeep Elite
2022,G,29,David Michineau,PLV,21.0,26.5,22.125,6.875,20.0,0.4275,2.0,6.5,0.39125,6.375,7.25,1.0875,0.625,5.25,5.875,11.25,2.5,0.75,4.25,5.0,2019,PG,"6-4",180,Boulogne-Levallois,Les Abymes,"2016 Rnd 2 Pick 9",France,French Jeep Elite
2019,G,7,Justin Robinson,CHA,34.0,44.25,25.75,8.625,21.0,0.51625,3.75,11.0,0.43,4.625,5.5,1.05625,0.875,4.25,5.125,13.875,2.25,0.0,4.625,3.0,2019,G,"5-8",175,Chalon-Sur-Saone,Lake Katrine (NY),"2017 NBA Draft, Undrafted",United States,French Jeep Elite
2020,G,20,Justin Robinson,CHA,25.0,39.125,22.375,7.5,16.625,0.55875,3.25,8.5,0.4775,4.25,5.25,0.99625,1.25,3.875,5.25,11.25,2.25,0.125,5.0,4.125,2019,G,"5-8",175,Chalon-Sur-Saone,Lake Katrine (NY),"2017 NBA Draft, Undrafted",United States,French Jeep Elite
2023,G,25,Justin Robinson,GRV,33.0,39.0,22.875,8.25,20.875,0.4925,3.25,9.75,0.40875,3.25,4.0,1.03,1.125,3.5,4.75,12.875,2.75,0.0,4.375,4.125,2019,G,"5-8",175,Chalon-Sur-Saone,Lake Katrine (NY),"2017 NBA Draft, Undrafted",United States,French Jeep Elite
