"Year_x","Position","#","Player","Team_x","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","Year_y","Pos","HT","WT","Team_y","Birth City","Draft Status","Nationality","League"
2019,G,2,Deandre Lansdowne,BLB,34,40.25,34.625,12.5,28.25,0.55,4.75,12.625,0.4675,5.0,6.5,0.975,1.5,4.75,6.25,6.75,2.875,0.25,3.875,4.875,2023,G,"6-2",175,BV Chemnitz 99,Albuquerque (NM),"2011 NBA Draft, Undrafted",United States,German BBL
2024,G,17,Deandre Lansdowne,BVC,26,33.625,28.625,10.875,22.75,0.59875,2.75,7.25,0.47,4.125,5.625,0.9225,1.5,5.375,6.75,9.75,3.125,0.125,5.625,6.125,2023,G,"6-2",175,BV Chemnitz 99,Albuquerque (NM),"2011 NBA Draft, Undrafted",United States,German BBL
2019,G,7,Jordan Hulls,OLI,28,30.625,31.5,10.875,21.625,0.625,6.75,14.25,0.59,3.0,3.125,1.215,1.25,4.875,6.125,7.75,3.125,0.125,4.375,4.875,2019,G,"6-0",182,s.Oliver Baskets,Bloomington (IN),"2013 NBA Draft, Undrafted",United States,German BBL
2020,G,9,Jordan Hulls,OLI,21,27.25,30.5,10.75,24.375,0.55125,4.75,12.25,0.48375,4.25,4.5,1.17625,1.0,3.375,4.5,7.125,2.375,0.0,3.75,4.375,2019,G,"6-0",182,s.Oliver Baskets,Bloomington (IN),"2013 NBA Draft, Undrafted",United States,German BBL
2021,G,22,Jordan Hulls,LUD,41,37.75,24.75,8.125,18.125,0.56,5.75,12.625,0.565,2.75,3.125,1.11375,1.25,3.375,4.5,7.5,2.125,0.0,3.125,4.0,2019,G,"6-0",182,s.Oliver Baskets,Bloomington (IN),"2013 NBA Draft, Undrafted",United States,German BBL
2022,G,26,Jordan Hulls,LUD,34,36.125,22.625,8.0,17.125,0.58,5.0,11.875,0.5225,1.75,2.0,1.09875,1.0,3.125,4.125,8.0,2.125,0.0,2.375,4.0,2019,G,"6-0",182,s.Oliver Baskets,Bloomington (IN),"2013 NBA Draft, Undrafted",United States,German BBL
2019,G,9,Dewayne Russell,CRA,32,27.5,31.0,10.625,23.375,0.56625,3.125,8.5,0.4625,6.625,8.875,0.9375,0.875,4.75,5.625,11.375,2.5,0.125,5.875,5.75,2019,G,"5-11",155,HARKO Merlins Crailsheim,Peoria (AZ),"2017 NBA Draft, Undrafted",United StatesItaly,German BBL
2020,G,11,Dewayne Russell,CRA,22,36.0,29.125,9.625,21.875,0.5525,2.5,7.25,0.44375,7.25,9.125,0.98,1.75,4.125,5.75,13.125,2.5,0.125,5.125,6.0,2019,G,"5-11",155,HARKO Merlins Crailsheim,Peoria (AZ),"2017 NBA Draft, Undrafted",United StatesItaly,German BBL
2023,G,3,Dewayne Russell,EWE,36,38.875,39.75,14.25,32.5,0.54875,4.0,11.625,0.42625,7.25,8.875,1.0225,1.125,4.125,5.25,14.375,2.5,0.0,6.25,5.125,2019,G,"5-11",155,HARKO Merlins Crailsheim,Peoria (AZ),"2017 NBA Draft, Undrafted",United StatesItaly,German BBL
2024,G,7,Dewayne Russell,EWE,28,33.25,34.25,12.375,28.75,0.53625,3.0,9.0,0.42375,6.5,8.25,0.9925,1.25,4.5,5.75,14.625,2.0,0.125,7.375,5.375,2019,G,"5-11",155,HARKO Merlins Crailsheim,Peoria (AZ),"2017 NBA Draft, Undrafted",United StatesItaly,German BBL
