"Year_x","Position","#","Player","Team_x","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","Year_y","Pos","HT","WT","Team_y","Birth City","Draft Status","Nationality","League"
2019,G,1,Tomas Delininkaitis,NEP,44,27.65625,44.375,12.65625,26.71875,0.7421875,9.375,20.3125,0.725,9.53125,10.3125,1.4328125,0.78125,5.78125,6.5625,7.65625,2.65625,0.0,5.625,8.59375,2019,G,"6-3",176,Neptunas,Klaipeda,"2004 NBA Draft, Undrafted",Lithuania,Lithuanian LKL
2020,G,2,Tomas Delininkaitis,NEP,20,24.21875,37.8125,10.9375,25.625,0.6640625,8.4375,19.375,0.684375,7.5,8.90625,1.309375,0.3125,2.1875,2.34375,3.90625,2.34375,0.0,5.15625,7.8125,2019,G,"6-3",176,Neptunas,Klaipeda,"2004 NBA Draft, Undrafted",Lithuania,Lithuanian LKL
2022,G,18,Tomas Delininkaitis,JUV,17,19.53125,28.28125,7.8125,20.46875,0.5921875,6.40625,17.65625,0.5625,6.40625,7.03125,1.40625,0.78125,5.625,6.40625,5.0,3.59375,0.3125,5.625,9.53125,2019,G,"6-3",176,Neptunas,Klaipeda,"2004 NBA Draft, Undrafted",Lithuania,Lithuanian LKL
2019,G,2,Ken Brown,DZU,35,38.90625,42.1875,13.90625,32.34375,0.66875,6.5625,17.8125,0.58125,7.8125,8.90625,1.3671875,1.09375,7.03125,8.125,11.25,2.5,0.15625,7.34375,7.8125,2019,G,"5-10",160,Lietkabelis,St. Louis (MO),"2012 NBA Draft, Undrafted",United States,Lithuanian LKL
2019,G,3,Chauncey Collins,KED,20,41.5625,41.40625,13.75,31.71875,0.68125,5.9375,17.1875,0.5375,7.96875,10.0,1.2328125,1.5625,7.03125,8.59375,8.59375,2.1875,0.0,6.5625,5.15625,2019,G,"6-1",175,Dzukija,Oklahoma City (OK),"2017 NBA Draft, Undrafted",United States,Lithuanian LKL
2020,G,3,Chauncey Collins,DZU,20,50.15625,37.34375,11.875,27.96875,0.6609375,6.25,16.5625,0.5984375,7.5,10.625,1.0984375,1.25,8.4375,9.6875,8.125,1.5625,0.46875,5.46875,5.15625,2019,G,"6-1",175,Dzukija,Oklahoma City (OK),"2017 NBA Draft, Undrafted",United States,Lithuanian LKL
2024,G,16,Chauncey Collins,MAZ,28,39.6875,29.375,7.96875,24.0625,0.5203125,4.375,15.78125,0.4265625,9.0625,12.1875,1.1578125,1.09375,5.15625,6.25,7.65625,2.1875,0.46875,4.6875,7.8125,2019,G,"6-1",175,Dzukija,Oklahoma City (OK),"2017 NBA Draft, Undrafted",United States,Lithuanian LKL
2019,G,5,Ignas Vaitkus,SIA,30,41.25,34.6875,12.34375,29.21875,0.6625,3.90625,11.875,0.525,5.9375,7.5,1.2265625,1.09375,12.34375,13.4375,5.625,2.5,0.46875,5.0,5.625,2019,F,"6-2",145,Juventus,Siauliai,"2015 NBA Draft, Undrafted",Lithuania,Lithuanian LKL
2020,G,14,Ignas Vaitkus,JUV,20,34.84375,25.46875,8.59375,22.34375,0.5984375,3.28125,10.78125,0.4890625,5.0,6.25,1.2671875,0.9375,7.5,8.59375,6.875,2.1875,0.78125,6.40625,7.34375,2019,F,"6-2",145,Juventus,Siauliai,"2015 NBA Draft, Undrafted",Lithuania,Lithuanian LKL
2021,F,6,Ignas Vaitkus,JUV,34,41.875,34.0625,12.03125,24.84375,0.753125,4.0625,10.9375,0.575,5.9375,7.1875,1.3109375,1.25,10.46875,11.71875,8.4375,2.96875,1.09375,6.25,5.46875,2019,F,"6-2",145,Juventus,Siauliai,"2015 NBA Draft, Undrafted",Lithuania,Lithuanian LKL
2022,F,13,Ignas Vaitkus,JUV,28,36.25,26.71875,9.21875,20.625,0.6984375,2.65625,8.125,0.50625,5.46875,6.71875,1.29375,1.71875,9.53125,11.25,6.875,2.8125,0.625,4.0625,5.625,2019,F,"6-2",145,Juventus,Siauliai,"2015 NBA Draft, Undrafted",Lithuania,Lithuanian LKL
2023,F,26,Ignas Vaitkus,PZV,30,46.40625,23.28125,8.28125,17.96875,0.71875,1.875,7.03125,0.4140625,4.84375,5.78125,1.3328125,0.9375,9.375,10.3125,3.59375,1.71875,0.625,5.15625,4.84375,2019,F,"6-2",145,Juventus,Siauliai,"2015 NBA Draft, Undrafted",Lithuania,Lithuanian LKL
2024,F,12,Ignas Vaitkus,KED,25,43.125,30.3125,10.15625,20.3125,0.7859375,1.875,7.5,0.384375,7.96875,10.3125,1.2171875,2.03125,9.6875,11.5625,5.9375,2.34375,0.3125,7.1875,5.3125,2019,F,"6-2",145,Juventus,Siauliai,"2015 NBA Draft, Undrafted",Lithuania,Lithuanian LKL
2019,G,9,Dovis Bickauskis,JUV,39,44.0625,27.1875,8.125,21.71875,0.5796875,3.59375,9.6875,0.5828125,7.34375,9.0625,1.26875,1.875,5.46875,7.34375,15.15625,4.0625,0.3125,6.875,5.625,2019,G,"6-2",167,Lietuvos Rytas,Siauliai,"2015 NBA Draft, Undrafted",Lithuania,Lithuanian LKL
