"Year","Position","#","Player","Team","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","Year_x","Position_x","#_x","Team_x","GP_x","MPG_x","PPG_x","FGM_x","FGA_x","FG%_x","3PM_x","3PA_x","3P%_x","FTM_x","FTA_x","FT%_x","ORB_x","DRB_x","RPG_x","APG_x","SPG_x","BPG_x","TOV_x","PF_x","Year_y","Position_y","#_y","Team_y","GP_y","MPG_y","PPG_y","FGM_y","FGA_y","FG%_y","3PM_y","3PA_y","3P%_y","FTM_y","FTA_y","FT%_y","ORB_y","DRB_y","RPG_y","APG_y","SPG_y","BPG_y","TOV_y","PF_y","League"
2012,G,1,Domagoj Basic,ZAB,31,21.1,24.6,8.7,18.1,0.48,5.2,11.8,0.444,2.1,2.2,0.933,0.3,2.1,2.4,2.3,1.5,0.1,2.9,3.5,2012,G,1,ZAB,31,21.1,24.6,8.7,18.1,0.48,5.2,11.8,0.444,2.1,2.2,0.933,0.3,2.1,2.4,2.3,1.5,0.1,2.9,3.5,2012,PG,1,ZAB,31,21.1,24.6,8.7,18.1,0.48,5.2,11.8,0.444,2.1,2.2,0.933,0.3,2.1,2.4,2.3,1.5,0.1,2.9,3.5,Greek Basketball League
2012,G,1,Domagoj Basic,ZAB,31,21.1,24.6,8.7,18.1,0.48,5.2,11.8,0.444,2.1,2.2,0.933,0.3,2.1,2.4,2.3,1.5,0.1,2.9,3.5,2012,G,1,ZAB,31,21.1,24.6,8.7,18.1,0.48,5.2,11.8,0.444,2.1,2.2,0.933,0.3,2.1,2.4,2.3,1.5,0.1,2.9,3.5,2014,SG,1,SIB,32,29.3,24.3,8.5,17.5,0.485,4.4,9.6,0.46,2.8,3.2,0.887,0.4,2.7,3.1,2.4,1.2,0.1,2.4,3.9,Greek Basketball League
2012,G,1,Domagoj Basic,ZAB,31,21.1,24.6,8.7,18.1,0.48,5.2,11.8,0.444,2.1,2.2,0.933,0.3,2.1,2.4,2.3,1.5,0.1,2.9,3.5,2012,G,1,ZAB,31,21.1,24.6,8.7,18.1,0.48,5.2,11.8,0.444,2.1,2.2,0.933,0.3,2.1,2.4,2.3,1.5,0.1,2.9,3.5,2015,SG,2,SIB,30,24.2,21.9,7.3,17.7,0.414,4.3,10.7,0.401,3.0,3.4,0.882,0.4,2.2,2.6,1.9,1.3,0.1,2.6,4.0,Greek Basketball League
2012,G,1,Domagoj Basic,ZAB,31,21.1,24.6,8.7,18.1,0.48,5.2,11.8,0.444,2.1,2.2,0.933,0.3,2.1,2.4,2.3,1.5,0.1,2.9,3.5,2012,G,1,ZAB,31,21.1,24.6,8.7,18.1,0.48,5.2,11.8,0.444,2.1,2.2,0.933,0.3,2.1,2.4,2.3,1.5,0.1,2.9,3.5,2016,SG,7,SIB,30,30.4,20.9,7.4,16.6,0.444,4.3,9.7,0.438,2.1,2.4,0.848,0.5,3.7,4.3,2.3,1.2,0.0,1.8,3.6,Greek Basketball League
2012,G,1,Domagoj Basic,ZAB,31,21.1,24.6,8.7,18.1,0.48,5.2,11.8,0.444,2.1,2.2,0.933,0.3,2.1,2.4,2.3,1.5,0.1,2.9,3.5,2012,G,1,ZAB,31,21.1,24.6,8.7,18.1,0.48,5.2,11.8,0.444,2.1,2.2,0.933,0.3,2.1,2.4,2.3,1.5,0.1,2.9,3.5,2017,SG,8,SIB,29,18.1,19.1,6.5,15.2,0.428,4.6,11.3,0.403,1.6,2.0,0.773,0.5,3.1,3.6,2.5,0.6,0.0,0.9,3.5,Greek Basketball League
2012,G,1,Domagoj Basic,ZAB,31,21.1,24.6,8.7,18.1,0.48,5.2,11.8,0.444,2.1,2.2,0.933,0.3,2.1,2.4,2.3,1.5,0.1,2.9,3.5,2012,G,1,ZAB,31,21.1,24.6,8.7,18.1,0.48,5.2,11.8,0.444,2.1,2.2,0.933,0.3,2.1,2.4,2.3,1.5,0.1,2.9,3.5,2017,SG,23,SIB,1,24.4,0.0,0.0,13.8,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.9,0.0,3.9,3.9,Greek Basketball League
2012,G,1,Domagoj Basic,ZAB,31,21.1,24.6,8.7,18.1,0.48,5.2,11.8,0.444,2.1,2.2,0.933,0.3,2.1,2.4,2.3,1.5,0.1,2.9,3.5,2012,G,1,ZAB,31,21.1,24.6,8.7,18.1,0.48,5.2,11.8,0.444,2.1,2.2,0.933,0.3,2.1,2.4,2.3,1.5,0.1,2.9,3.5,2018,SG,10,SIB,19,29.0,17.9,6.1,12.9,0.473,3.8,8.7,0.44,1.9,2.1,0.917,0.3,3.1,3.5,3.0,1.7,0.3,1.2,3.8,Greek Basketball League
2012,G,1,Domagoj Basic,ZAB,31,21.1,24.6,8.7,18.1,0.48,5.2,11.8,0.444,2.1,2.2,0.933,0.3,2.1,2.4,2.3,1.5,0.1,2.9,3.5,2012,G,1,ZAB,31,21.1,24.6,8.7,18.1,0.48,5.2,11.8,0.444,2.1,2.2,0.933,0.3,2.1,2.4,2.3,1.5,0.1,2.9,3.5,2019,SG,7,SIB,23,23.9,20.4,7.2,15.4,0.472,4.2,8.9,0.471,1.7,2.1,0.833,0.8,3.4,4.2,2.4,0.8,0.0,1.5,3.2,Greek Basketball League
2012,G,1,Domagoj Basic,ZAB,31,21.1,24.6,8.7,18.1,0.48,5.2,11.8,0.444,2.1,2.2,0.933,0.3,2.1,2.4,2.3,1.5,0.1,2.9,3.5,2012,G,1,ZAB,31,21.1,24.6,8.7,18.1,0.48,5.2,11.8,0.444,2.1,2.2,0.933,0.3,2.1,2.4,2.3,1.5,0.1,2.9,3.5,2020,SG,9,SIB,21,14.5,20.8,7.4,18.1,0.409,5.4,12.1,0.442,0.6,0.6,1.0,0.8,2.8,3.6,3.8,1.6,0.2,2.7,4.1,Greek Basketball League
2012,G,1,Domagoj Basic,ZAB,31,21.1,24.6,8.7,18.1,0.48,5.2,11.8,0.444,2.1,2.2,0.933,0.3,2.1,2.4,2.3,1.5,0.1,2.9,3.5,2012,G,1,ZAB,31,21.1,24.6,8.7,18.1,0.48,5.2,11.8,0.444,2.1,2.2,0.933,0.3,2.1,2.4,2.3,1.5,0.1,2.9,3.5,2021,SG,18,SIB,31,19.6,16.5,5.3,12.7,0.416,4.0,8.9,0.455,1.9,1.9,1.0,0.6,1.8,2.4,1.9,1.5,0.0,0.8,3.4,Greek Basketball League
