"Year_x","Position","#","Player","Team_x","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","Year_y","Pos","HT","WT","Team_y","Birth City","Draft Status","Nationality","League"
2019,G,4,Tadej Ferme,SIX,34.0,21.625,29.125,9.125,20.375,0.5625,6.375,14.25,0.55375,4.5,5.375,1.0375,0.875,4.75,5.5,6.625,1.875,0.0,3.0,5.625,2019,G,"6-2","172",Rogaska Crystal,Celje,"2013 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2020,G,3,Tadej Ferme,ROG,16.0,32.5,26.875,9.25,20.5,0.56375,4.875,12.625,0.48875,3.5,4.25,1.035,0.875,4.625,5.5,7.625,3.125,0.0,4.375,5.625,2019,G,"6-2","172",Rogaska Crystal,Celje,"2013 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2021,G,5,Tadej Ferme,DOM,30.0,31.375,27.625,8.625,21.75,0.49625,5.5,14.75,0.46625,5.0,6.125,1.02,0.75,3.875,4.625,9.125,2.5,0.125,4.375,4.625,2019,G,"6-2","172",Rogaska Crystal,Celje,"2013 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2022,G,10,Tadej Ferme,DOM,34.0,27.25,27.875,8.75,20.5,0.53625,6.125,14.875,0.51,4.25,4.875,1.08375,0.625,4.375,5.0,6.0,2.625,0.125,3.875,5.0,2019,G,"6-2","172",Rogaska Crystal,Celje,"2013 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2023,G,8,Tadej Ferme,DOM,31.0,22.0,27.5,8.75,22.75,0.4775,6.25,17.0,0.46,3.875,4.875,0.99375,0.5,4.0,4.375,8.125,1.5,0.125,3.875,5.0,2019,G,"6-2","172",Rogaska Crystal,Celje,"2013 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2024,G,6,Tadej Ferme,ILI,21.0,33.5,24.25,7.75,17.75,0.55,5.625,13.5,0.52125,3.0,3.5,1.06,0.5,5.125,5.625,10.625,2.5,0.0,4.875,4.0,2019,G,"6-2","172",Rogaska Crystal,Celje,"2013 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2019,G,5,Miroslav Pasajlic,DOM,31.0,32.625,28.875,9.5,21.875,0.545,3.625,11.625,0.39,6.125,7.875,0.97875,0.875,4.25,5.125,6.0,1.875,0.25,2.75,4.375,2021,PG,"6-1","175",Helios Domzale,Novi Sad,"2017 NBA Draft, Undrafted",Serbia,Slovenian SKL
2022,G,7,Miroslav Pasajlic,DOM,31.0,23.625,29.5,10.0,24.625,0.51,4.375,13.75,0.40125,5.0,6.5,0.9725,1.25,6.0,7.25,7.625,1.875,0.125,4.25,6.75,2021,PG,"6-1","175",Helios Domzale,Novi Sad,"2017 NBA Draft, Undrafted",Serbia,Slovenian SKL
2019,G,6,Jan Span,OLI,21.0,33.25,27.0,9.5,21.25,0.55875,4.25,12.0,0.435,3.875,4.5,1.07125,0.5,4.125,4.625,12.625,3.625,0.0,3.75,3.25,2022,PG,"6-1","190",Krka Novo Mesto,Ljubljana,"2014 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2023,G,5,Jan Span,KRK,28.0,33.625,28.125,10.5,22.375,0.5875,4.25,11.0,0.48,2.875,3.5,1.0225,0.375,4.125,4.5,11.125,3.0,0.0,5.375,4.5,2022,PG,"6-1","190",Krka Novo Mesto,Ljubljana,"2014 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2024,G,2,Jan Span,KRK,19.0,32.625,29.875,9.875,21.875,0.56625,5.375,13.25,0.505,4.75,5.375,1.1075,0.875,3.625,4.5,13.75,1.875,0.0,5.125,4.75,2022,PG,"6-1","190",Krka Novo Mesto,Ljubljana,"2014 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2019,G,7,Nejc Baric,ZLA,29.0,44.375,27.0,9.25,20.5,0.56125,3.5,11.0,0.405,5.0,6.0,1.03125,0.75,4.5,5.25,8.75,2.5,0.125,4.5,4.5,2019,PG,"6-0",-,Sixt Primorska,Trbovlje,"2019 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2020,G,19,Nejc Baric,SIX,17.0,26.625,12.875,4.75,13.625,0.4425,0.5,4.625,0.13375,2.875,3.5,1.0125,0.875,4.75,5.625,12.25,4.5,0.0,3.625,7.25,2019,PG,"6-0",-,Sixt Primorska,Trbovlje,"2019 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2021,G,14,Nejc Baric,KRK,36.0,30.0,19.75,7.0,16.625,0.52875,3.25,9.125,0.44875,2.375,3.625,0.84125,1.0,4.875,5.875,11.625,2.625,0.125,3.875,6.375,2019,PG,"6-0",-,Sixt Primorska,Trbovlje,"2019 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2023,G,19,Nejc Baric,SGG,11.0,24.0,19.25,6.5,17.875,0.45625,2.5,11.625,0.275,3.625,4.5,1.01625,1.125,4.0,5.125,9.125,1.75,0.25,4.0,4.875,2019,PG,"6-0",-,Sixt Primorska,Trbovlje,"2019 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2024,G,20,Nejc Baric,DOM,11.0,38.125,15.375,5.125,15.75,0.4125,3.0,9.625,0.39375,2.0,3.0,0.80875,0.75,4.125,4.875,11.25,2.0,0.0,3.625,5.0,2019,PG,"6-0",-,Sixt Primorska,Trbovlje,"2019 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2019,G,8,Marko Popadic,SGG,29.0,37.375,25.75,7.625,18.875,0.50375,3.25,9.25,0.43875,7.375,8.0,1.1525,0.375,3.375,3.625,6.75,1.75,0.0,2.5,5.0,2019,PG,"6-1","179",Sencur Gorenjska Gradbena Druzba Kranj,Pancevo,"2011 NBA Draft, Undrafted",Serbia,Slovenian SKL
2020,G,4,Marko Popadic,SGG,16.0,29.75,26.25,7.25,18.5,0.49125,5.625,12.5,0.57,6.0,6.625,1.13125,0.75,3.375,4.125,5.375,2.25,0.0,4.375,4.25,2019,PG,"6-1","179",Sencur Gorenjska Gradbena Druzba Kranj,Pancevo,"2011 NBA Draft, Undrafted",Serbia,Slovenian SKL
2019,G,9,Domen Bratoz,KRK,21.0,23.0,23.625,7.25,19.5,0.47,4.25,11.25,0.46875,4.875,6.375,0.945,1.75,4.875,6.5,9.125,3.0,0.0,4.5,7.75,2019,PG,"6-0","185",KK Cedevita Olimpija Ljubljana,Novo Mesto,"2015 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2022,G,14,Domen Bratoz,ROG,23.0,29.875,27.0,8.0,21.5,0.46375,3.875,12.375,0.3875,7.25,9.625,0.9375,1.0,6.0,7.0,8.875,3.875,0.25,4.875,6.25,2019,PG,"6-0","185",KK Cedevita Olimpija Ljubljana,Novo Mesto,"2015 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2024,G,10,Domen Bratoz,POD,13.0,40.125,23.75,7.5,19.0,0.4925,4.0,12.625,0.3975,4.75,6.125,0.95875,1.75,6.625,8.375,9.75,5.125,0.0,7.125,5.0,2019,PG,"6-0","185",KK Cedevita Olimpija Ljubljana,Novo Mesto,"2015 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2019,G,12,Tjaz Rotar,POL,30.0,30.0,20.625,7.375,17.375,0.52875,3.25,9.625,0.42,2.625,3.125,1.0525,1.25,2.375,3.625,6.375,0.625,0.125,3.25,5.625,2019,G,"6-2",-,Sencur Gorenjska Gradbena Druzba Kranj,Jesenice,"2016 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2020,G,17,Tjaz Rotar,SGG,11.0,12.875,13.25,4.75,13.25,0.45,2.625,8.0,0.41625,1.125,1.125,1.25,1.625,3.25,4.75,2.625,1.625,0.0,2.125,6.375,2019,G,"6-2",-,Sencur Gorenjska Gradbena Druzba Kranj,Jesenice,"2016 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2019,G,14,Alen Hodzic,SIX,35.0,25.25,18.625,6.0,13.25,0.56125,4.375,10.0,0.54,2.375,2.75,1.06,0.625,4.625,5.125,3.25,2.5,0.125,2.0,7.375,2019,SF,"6-3","180",Sixt Primorska,Koper,"2014 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2020,F,6,Alen Hodzic,SIX,17.0,27.25,26.375,9.375,19.75,0.59375,5.625,13.0,0.5475,2.0,2.75,0.8825,1.125,3.125,4.25,7.875,2.125,0.0,2.0,5.375,2019,SF,"6-3","180",Sixt Primorska,Koper,"2014 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2021,F,9,Alen Hodzic,COL,12.0,25.5,23.5,8.625,15.375,0.695,5.125,10.25,0.625,1.25,2.0,0.78125,1.75,3.875,5.625,4.375,2.0,0.75,2.5,6.125,2019,SF,"6-3","180",Sixt Primorska,Koper,"2014 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2022,F,17,Alen Hodzic,COL,12.0,29.125,17.875,6.25,14.75,0.525,3.625,9.5,0.4825,1.75,2.125,1.0,2.125,4.75,6.875,4.5,2.625,0.0,3.375,6.625,2019,SF,"6-3","180",Sixt Primorska,Koper,"2014 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2019,G,15,Zan Kosic,ROG,25.0,22.75,17.75,5.625,16.875,0.42,3.625,12.125,0.38,2.75,3.0,1.14125,0.625,2.125,2.75,8.25,1.0,0.0,3.125,7.625,2019,PG,"6-1","174",Terme Olimia Podcetrtek,Maribor,"2015 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2020,G,9,Zan Kosic,POD,14.0,39.125,21.375,7.875,18.375,0.54125,3.125,9.5,0.41625,2.375,2.625,1.11875,0.25,4.0,4.25,7.625,2.625,0.25,5.5,4.875,2019,PG,"6-1","174",Terme Olimia Podcetrtek,Maribor,"2015 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2021,G,4,Zan Kosic,POL,25.0,44.125,28.375,9.5,21.5,0.555,3.875,11.125,0.435,5.5,6.5,1.04125,0.875,5.25,6.125,10.25,1.25,0.125,4.875,3.125,2019,PG,"6-1","174",Terme Olimia Podcetrtek,Maribor,"2015 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2023,G,11,Zan Kosic,POD,23.0,39.75,24.0,8.25,18.625,0.55125,4.375,10.875,0.4975,3.25,3.75,1.06,0.875,4.125,5.0,8.75,1.125,0.375,5.375,4.375,2019,PG,"6-1","174",Terme Olimia Podcetrtek,Maribor,"2015 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2019,G,16,Uros Zadnik,SGG,14.0,29.75,15.5,5.75,13.375,0.54,1.75,5.0,0.44625,2.125,3.25,0.83375,1.125,5.75,6.875,8.25,2.0,0.0,2.125,6.0,2019,PG,"6-2","186",Sencur Gorenjska Gradbena Druzba Kranj,Novo Mesto,"2012 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2020,G,18,Uros Zadnik,SGG,12.0,26.375,13.25,4.75,11.875,0.5,1.125,5.0,0.2975,2.625,4.75,0.6875,1.375,3.375,4.75,9.25,4.0,0.0,3.125,3.5,2019,PG,"6-2","186",Sencur Gorenjska Gradbena Druzba Kranj,Novo Mesto,"2012 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2019,G,3,Paolo Marinelli,KRK,27.0,24.125,25.75,8.875,19.0,0.58375,4.25,9.875,0.5375,3.75,4.125,1.14625,1.0,4.5,5.5,11.0,1.625,0.125,4.5,7.125,2019,G,"6-4","181",Krka Novo Mesto,Rijeka,"2017 NBA Draft, Undrafted",Croatia,Slovenian SKL
2019,G,4,Luka Lapornik,KRK,29.0,29.25,24.625,7.875,18.125,0.54,3.5,10.0,0.4425,5.375,6.5,1.03,2.625,5.5,8.25,6.5,2.0,0.75,4.25,6.75,2019,SG,"6-4","194",Krka Novo Mesto,Celje,"2010 NBA Draft, Undrafted",Slovenia,Slovenian SKL
